key	value
G_THIEFSKILL_0	%s trộm %d bạc của bạn cho tiền tuyến!
G_THIEFSKILL_1	Từ %s bạn trộm được %d bạc cho tiền tuyến!
G_THIEFSKILL_2	 đã bị trộm
G_THIEFSKILL_3	 trộm thành công
G_THIEFSKILL_4	%s thử trộm tiền bạn, nhưng thất bại!
G_THIEFSKILL_5	Trộm %s thất bại!
G_THIEFSKILL_6	 chưa bị trộm
G_THIEFSKILL_7	 trộm chưa được
G_THIEFSKILL_8	Sinh lực hiện tại của %s: %d / %d 
G_THIEFSKILL_9	Tình báo
G_THIEFSKILL_10	Nội lực hiện tại của %s: %d / %d 
G_THIEFSKILL_11	Tiền hiện tại của %s: %d lượng
G_FACTION_0	Thiếu Lâm
G_S_METAL	Kim
G_S_WOOD	Mộc
G_S_WATER	Thủy
G_S_FIRE	Hỏa
G_S_EARTH	Thổ
G_S_NONE	Không
G_LUCKSTAR	AddGlobalNews([[Chúc mừng! %s là ngôi sao may mắn hôm nay!]]);
G_FACTION_NEW	Sơ nhập
G_FACTION_OLD	Hiệp khách
G_PLAYERTONG_0	Đang lôi đài, thao tác đuổi khỏi bang bị khóa!
G_PLAYERTONG_1	Đang công thành, thao tác đuổi khỏi bang bị khóa!
G_PLAYERTONG_2	Chuyển vị bang hội bị khóa!
G_PLAYERTONG_3	Bạn bị đuổi khỏi bang!
G_PLAYERTONG_4	Chức vị trong bang của bạn có thay đổi!
G_PLAYERTONG_5	Bang đang liên minh, không thể đổi phe!
G_PLAYERTONG_6	Mỗi lần chỉ cất %d vạn lượng!
G_PLAYERTONG_7	Mỗi lần chỉ rút %d vạn lượng!
G_PLAYERTONG_8	Rút tiền quá nhiều!
G_PLAYERTONG_9	Thao tác bang bị khóa, không thể lập liên minh!
G_PLAYERTONG_10	Minh Chủ
G_PLAYERTONG_11	Bạn không có quyền quản lý liên minh!
G_PLAYERTONG_12	Thành viên liên minh bang không thể vào liên minh bang khác!
G_PLAYERTONG_13	Bạn mời %s vào liên minh bang!
G_PLAYERTONG_14	Số lượng tiền phát bị lỗi!
G_PLAYERTONG_15	Mỗi người mỗi lần chỉ phát 100 triệu!
G_PLAYERTONG_16	Bang chủ mới được phát tiền!
G_PLAYERTONG_17	Chỉ được phát tiền cho bang chúng đang trên mạng!
G_NPC_0	MainMan
G_NPC_1	MainLady
G_NPC_2	Băng
G_NPC_3	Độc
G_NPC_4	Loạn
G_NPC_5	Choáng
G_PLAYER_0	WriteLog([[PlayerIndex Error:%s:%s]])
G_PLAYER_1	Kỹ năng %s không thể cộng điểm.
G_PLAYER_2	Thông tin tăng kỹ năng
G_PLAYER_3	Kỹ năng %s đạt tối đa, không thể cộng thêm.
G_PLAYER_3_	Kỹ năng chiến đấu không đủ tiềm năng
G_PLAYER_4	Kỹ năng chiến đấu phải đạt cấp %d mới được tăng kỹ năng %s.
G_PLAYER_5	Kim Nguyên Bảo đổi điểm thành công!
G_PLAYER_6	Kim Nguyên Bảo sẽ đổi điểm vào đợt bảo trì lần sau!
G_PLAYER_7	Kim Nguyên Bảo đổi 25 ngày thành công!
G_PLAYER_8	Kim Nguyên Bảo sẽ đổi 25 ngày vào đợt bảo trì lần sau!
G_PLAYER_9	Ngân Nguyên Bảo đổi điểm thành công!
G_PLAYER_10	Ngân Nguyên Bảo sẽ đổi điểm vào đợt bảo trì lần sau!
G_PLAYER_11	Ngân Nguyên Bảo đổi 6 ngày thành công!
G_PLAYER_12	Ngân Nguyên Bảo sẽ đổi 6 ngày vào đợt bảo trì lần sau!
G_PLAYER_13	Tin tức hệ thống
G_PLAYER_14	Tiếp tục
G_PLAYER_15	Hoàn thành
G_PLAYER_16	Chúc mừng! Bạn được %d tử đối, thắng %d lượng!
G_PLAYER_17	Chúc mừng! Bạn giành được giải thưởng lớn, được %d lượng!
G_PLAYER_18	Chúc mừng! Bạn được thuận tử %d %d %d, thắng %d lượng!
G_PLAYER_19	Chúc mừng bạn đã trúng thưởng!
G_PLAYER_20	Ngân phiếu đổi điểm thành công!
G_PLAYER_21	Ngân phiếu sẽ đổi điểm vào đợt bảo trì lần sau!
G_PLAYER_22	Ngân phiếu đổi 7 ngày thành công!
G_PLAYER_23	Ngân phiếu sẽ đổi 7 ngày vào đợt bảo trì lần sau!
G_PLAYER_24	Hủy giao dịch, xin kiểm tra tổng bạc nhận được với bạc túi có vượt giới hạn không!
G_PLAYER_25	Hủy giao dịch, đối phương không đủ điều kiện!
G_PLAYER_26	Bạn bị trọng thương và tự hồi sinh!
G_PLAYER_27	Hủy giao dịch, bạc túi không đủ!
G_PLAYER_28	Hủy giao dịch, khoảng cách quá xa!
G_PLAYER_29	Mời giao dịch quá giờ!
G_PLAYER_30	%s hiện không trên mạng, sau khi lên mạng sẽ nhận được tin nhắn của bạn.
G_PLAYER_31	Hộp thư đã đầy, không thể gửi bưu kiện!
G_PLAYER_32	Không thể nhận bạc trong bưu kiện, xin kiểm tra tổng bạc nhận được với bạc túi có vượt giới hạn không!
G_PLAYER_33	Đang chế tạo!
G_PLAYER_34	Tăng thân mật thất bại: Đã đạt mức trong ngày!
G_PLAYER_35	Chỗ trống túi không đủ, không thể giao dịch!
G_PLAYER_36	Hủy giao dịch, chỗ trống túi đối phương không đủ!
G_PLAYER_37	Hủy giao dịch, bạc túi đối phương không đủ!
G_PLAYER_38	Hủy giao dịch, bạc túi đối phương vượt quá giới hạn!
G_PLAYER_39	Giao dịch vật phẩm thất bại, không thể giao dịch!
G_PLAYER_40	Hủy giao dịch, đối phương giao dịch vật phẩm thất bại!
G_PLAYER_41	Lúc này không thể mở Kỳ Trân Các!
G_PLAYER_42	Người chơi không tồn tại!
G_PLAYER_43	Bạn bị cấm nói, tạm thời không thể tán gẫu!
G_PLAYER_44	Hộp thư chưa tải xong, xin thử lại sau.
G_PLAYERSET_0	<color=green>%s<color=restore> ta đến đây, các ngươi mau bái kiến.
G_PLAYERSET_1	<color=green>%s<color=restore> dùng Lăng Ba Vi Bộ lướt đến.
G_PLAYERSET_2	Một tia chớp, <color=green>%s<color=restore> từ trên trời rơi xuống.
G_PLAYERSET_3	Quản gia Ngô Phủ
G_PlayerStall_0	Mua đồ
G_PlayerStall_2	Quay lại sau
G_PlayerStall_3	[Bán]
G_PlayerStall_4	[Mua]
G_PLAYER_TITLE_ADD	Nhận danh hiệu \"%s\"
G_PLAYER_TITLE_TIMEOUT	Danh hiệu \"%s\" của bạn đã quá hạn.
G_PARTNER_0	Bạn đặt tên không hợp lệ!
G_ITEM_0	<color=White>Vật phẩm hiện tại:
G_ITEM_1	Cấp: %d\n
G_ITEM_2	Giá: %d %s
G_ITEM_10	Nón
G_ITEM_11	Áo
G_ITEM_12	Lưng
G_ITEM_13	Vũ khí
