MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	备注
188	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	九曲之战(凤翔一)
191	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	五丈原之战(凤翔一)
194	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	蟠龙谷之战(凤翔一)
1549	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会会场（1）
1550	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会会场（2）
1551	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会会场（3）
1552	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会会场（4）
1553	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会会场（5）
1554	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	武林大会会场（6）
1555	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	武林大会会场（7）
1556	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会会场（8）
1557	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会会场（9）
1558	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会会场（10）
1559	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会会场（11）
1560	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会会场（12）
1561	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会准备场（1）
1562	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会准备场（2）
1563	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会准备场（3）
1564	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会准备场（4）
1565	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会准备场（5）
1566	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	武林大会准备场（6）
1567	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	武林大会准备场（7）
1568	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会准备场（8）
1569	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会准备场（9）
1570	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会准备场（10）
1571	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会准备场（11）
1572	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会准备场（12）
1573	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会比赛场（1_1）
1574	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会比赛场（2_1）
1575	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会比赛场（3_1）
1576	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会比赛场（4_1）
1577	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会比赛场（5_1）
1578	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	武林大会比赛场（6_1）
1579	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	武林大会比赛场（7_1）
1580	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会比赛场（8_1）
1581	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会比赛场（9_1）
1582	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会比赛场（10_1）
1583	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会比赛场（11_1）
1584	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会比赛场（12_1）
1585	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会比赛场（1_2）
1586	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会比赛场（2_2）
1587	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会比赛场（3_2）
1588	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会比赛场（4_2）
1589	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会比赛场（5_2）
1590	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	武林大会比赛场（6_2）
1591	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	武林大会比赛场（7_2）
1592	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会比赛场（8_2）
1593	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会比赛场（9_2）
1594	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会比赛场（10_2）
1595	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会比赛场（11_2）
1596	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会比赛场（12_2）
1597	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会多人比赛场（1_1）
1598	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会多人比赛场（2_1）
1599	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会多人比赛场（3_1）
1600	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会多人比赛场（4_1）
1601	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会多人比赛场（5_1）
1602	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	武林大会多人比赛场（6_1）
1603	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	武林大会多人比赛场（7_1）
1604	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会多人比赛场（8_1）
1605	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会多人比赛场（9_1）
1606	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会多人比赛场（10_1）
1607	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会多人比赛场（11_1）
1608	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会多人比赛场（12_1）
1609	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	英雄岛（1）
1610	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	英雄岛（2）
1611	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	英雄岛（3）
1612	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	英雄岛（4）
1613	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	英雄岛（5）
1614	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	英雄岛（6）
1615	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	英雄岛（7）
1616	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	试炼谷（1）
1617	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	试炼谷（2）
1618	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	试炼谷（3）
1619	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	试炼谷（4）
1620	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	试炼谷（5）
1621	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	试炼谷（6）
1622	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	试炼谷（7）
1623	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会团体赛准备场（1）
1624	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会团体赛准备场（2）
1625	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会团体赛准备场（3）
1626	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会团体赛准备场（4）
1627	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会团体赛准备场（5）
1628	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	武林大会团体赛准备场（6）
1629	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会团体赛赛场（5）
1630	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	武林大会团体赛赛场（6）
1631	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会团体赛赛场（1）
1632	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会团体赛赛场（2）
1633	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会团体赛赛场（3）
1634	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会团体赛赛场（4）
1638	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	嘉峪关之战凤翔一
1644	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	英雄岛（8）
1645	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	英雄岛（9）
1646	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	英雄岛（10）
1647	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	英雄岛（11）
1648	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	英雄岛（12）
1649	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	英雄岛（13）
1650	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	英雄岛（14）
1651	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	跨服宋金报名点
1401	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级联赛会场（1）
1402	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	初级联赛会场（2）
1403	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级联赛会场（3）
1404	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级联赛会场（4）
1405	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级联赛会场（5）
1406	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	初级联赛会场（6）
1407	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级联赛会场（7）
1408	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级联赛会场（8）
1409	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级联赛会场（9）
1410	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级联赛会场（10）
1411	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级联赛会场（11）
1412	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级联赛会场（12）
1413	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级联赛准备场（1）
1414	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	初级联赛准备场（2）
1415	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级联赛准备场（3）
1416	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级联赛准备场（4）
1417	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级联赛准备场（5）
1418	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	初级联赛准备场（6）
1419	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级联赛准备场（7）
1420	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级联赛准备场（8）
1421	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级联赛准备场（9）
1422	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级联赛准备场（10）
1423	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级联赛准备场（11）
1424	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级联赛准备场（12）
1425	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级联赛比赛场（1）
1426	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	初级联赛比赛场（2）
1427	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级联赛比赛场（3）
1428	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级联赛比赛场（4）
1429	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级联赛比赛场（5）
1430	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	初级联赛比赛场（6）
1431	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级联赛比赛场（7）
1432	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级联赛比赛场（8）
1433	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级联赛比赛场（9）
1434	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级联赛比赛场（10）
1435	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级联赛比赛场（11）
1436	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级联赛比赛场（12）
1437	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级联赛会场（1）
1438	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	高级联赛会场（2）
1439	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级联赛会场（3）
1440	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级联赛会场（4）
1441	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级联赛会场（5）
1442	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	高级联赛会场（6）
1443	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级联赛会场（7）
1444	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级联赛会场（8）
1445	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级联赛会场（9）
1446	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级联赛会场（10）
1447	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级联赛会场（11）
1448	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级联赛会场（12）
1449	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级联赛准备场（1）
1450	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	高级联赛准备场（2）
1451	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级联赛准备场（3）
1452	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级联赛准备场（4）
1453	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级联赛准备场（5）
1454	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	高级联赛准备场（6）
1455	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级联赛准备场（7）
1456	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级联赛准备场（8）
1457	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级联赛准备场（9）
1458	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级联赛准备场（10）
1459	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级联赛准备场（11）
1460	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级联赛准备场（12）
1461	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级联赛比赛场（1）
1462	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	高级联赛比赛场（2）
1463	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级联赛比赛场（3）
1464	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级联赛比赛场（4）
1465	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级联赛比赛场（5）
1466	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	高级联赛比赛场（6）
1467	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级联赛比赛场（7）
1468	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级联赛比赛场（8）
1469	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级联赛比赛场（9）
1470	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级联赛比赛场（10）
1471	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级联赛比赛场（11）
1472	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级联赛比赛场（12）
1473	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级多人赛比赛场（1）
1474	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	初级多人赛比赛场（2）
1475	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级多人赛比赛场（3）
1476	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级多人赛比赛场（4）
1477	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级多人赛比赛场（5）
1478	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	初级多人赛比赛场（6）
1479	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级多人赛比赛场（7）
1480	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级多人赛比赛场（8）
1481	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级多人赛比赛场（9）
1482	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级多人赛比赛场（10）
1483	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级多人赛比赛场（11）
1484	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级多人赛比赛场（12）
1485	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级多人赛比赛场（1）
1486	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	高级多人赛比赛场（2）
1487	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级多人赛比赛场（3）
1488	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级多人赛比赛场（4）
1489	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级多人赛比赛场（5）
1490	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	高级多人赛比赛场（6）
1491	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级多人赛比赛场（7）
1492	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级多人赛比赛场（8）
1493	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级多人赛比赛场（9）
1494	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级多人赛比赛场（10）
1495	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级多人赛比赛场（11）
1496	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级多人赛比赛场（12）
1508	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级联赛比赛场（1）
1509	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	初级联赛比赛场（2）
1510	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级联赛比赛场（3）
1511	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级联赛比赛场（4）
1512	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级联赛比赛场（5）
1513	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	初级联赛比赛场（6）
1514	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级联赛比赛场（7）
1515	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级联赛比赛场（8）
1516	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级联赛比赛场（9）
1517	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级联赛比赛场（10）
1518	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级联赛比赛场（11）
1519	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级联赛比赛场（12）
1520	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级联赛比赛场（1）
1521	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	高级联赛比赛场（2）
1522	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级联赛比赛场（3）
1523	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级联赛比赛场（4）
1524	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级联赛比赛场（5）
1525	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	高级联赛比赛场（6）
1526	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级联赛比赛场（7）
1527	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级联赛比赛场（8）
1528	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级联赛比赛场（9）
1529	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级联赛比赛场（10）
1530	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级联赛比赛场（11）
1531	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级联赛比赛场（12）
1694	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级跨服联赛比赛场（1）
1695	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	高级跨服联赛比赛场（2）
1696	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级跨服联赛比赛场（3）
1697	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级跨服联赛比赛场（4）
1698	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级跨服联赛比赛场（5）
1699	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	高级跨服联赛比赛场（6）
1700	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级跨服联赛比赛场（7）
1701	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级跨服联赛比赛场（8）
1702	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级跨服联赛比赛场（9）
1703	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级跨服联赛比赛场（10）
1704	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级跨服联赛比赛场（11）
1705	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级跨服联赛比赛场（12）
1706	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级跨服联赛比赛场（1）
1707	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	高级跨服联赛比赛场（2）
1708	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级跨服联赛比赛场（3）
1709	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级跨服联赛比赛场（4）
1710	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级跨服联赛比赛场（5）
1711	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	高级跨服联赛比赛场（6）
1712	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级跨服联赛比赛场（7）
1713	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级跨服联赛比赛场（8）
1714	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级跨服联赛比赛场（9）
1715	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级跨服联赛比赛场（10）
1716	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级跨服联赛比赛场（11）
1717	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级跨服联赛比赛场（12）
