key	value
KD_STR_SYSTEM	Hệ thống
KD_STR_ANNOUNCE	Thông báo
KD_STR_TRAINING_APPLYINGTEACHER	Xin chào! Tôi muốn nhận bạn làm Sư phụ, đồng ý chứ? [Gợi ý: Có thể nhấn phím H mở giao diện Sư đồ, nhấp tắt\"Ta muốn bái sư\", sẽ không còn nhận được tin chat mật này nữa]
KD_STR_TRAINING_APPLYINGSTUDENT	Xin chào! Tôi muốn nhận bạn làm đệ tử, đồng ý chứ? [Gợi ý: Có thể nhấn phím H mở giao diện Sư đồ, nhấp tắt\"Ta muốn bái sư\", sẽ không còn nhận được tin chat mật này nữa]
KD_STR_TRAINING_REFUSEAPPLYINGTEACHER	"%s từ chối làm sư phụ của bạn, tán gẫu hoặc vào giao diện Sư đồ để chọn sư phụ khác"
KD_STR_TRAINING_REFUSEAPPLYINGSTUDENT	"%s từ chối làm đồ đệ của bạn, tán gẫu hoặc vào giao diện Sư đồ để chọn đồ đệ khác"
KD_STR_TRAINING_BREAK_CAPTION	Thông báo hủy quan hệ sư đồ
KD_STR_TRAINING_BREAK_TEACHERMAIL	"Do %s quá %d ngày không liên lạc, đã bị bạn hủy quan hệ sư đồ. Có thể liên hệ %s thiết lập lại!"
KD_STR_TRAINING_BREAK_STUDENTMAIL	"Do bạn vượt quá %d ngày không liên lạc, đã bị %s hủy quan hệ sư đồ. Có thể liên hệ %s thiết lập lại!"
KD_STR_TRAINING_STUDENTONLINEHINT	Giờ bạn có thể bái sư! Mở giao diện sư đồ để xem hướng dẫn.
KD_STR_TRAINING_TEACHERONLINEHINT	Giờ bạn có thể nhận đồ đệ! Mở giao diện sư đồ để xem hướng dẫn.
KD_STR_TRAINING_STUDENTONLINEMAIL	<pic=\\image\\ui\\001a\\mail\\training.spr><goto=0,0> Hiện giờ bạn đã có thể bái sư! Sư phụ sẽ giúp ít cho bạn rất nhiều trong quá trình hành tẩu giang hồ! Bạn chỉ có thể nhận một người làm sư phụ, vì vậy phải biết tôn kính sư phụ! Chi tiết có thể xem tại <link=openwnd:Cẩm nang trợ giúp,UI_HELPSPRITE>
KD_STR_TRAINING_TEACHERONLINEMAIL	<pic=\\image\\ui\\001a\\mail\\training.spr><goto=0,0>   Bạn bây giờ đã có thể thu đồ đệ. Đồ đệ sẽ trở thành mật hữu của bạn. Chi tiết có thể xem thêm trong <link=openwnd:Giao diện sư đồ,UI_TEACHER>
KD_STR_TRAINING_CREATERELATION	Bạn đã tạo quan hệ sư đồ với %s!
KD_STR_TRAINING_MAILHEAD_STUDENTHINT	Cách thăng cấp nhanh nhất!
KD_STR_TRAINING_MAILHEAD_TEACHERHINT	Thông báo nhận đồ đệ
KD_STR_TRAINING_BUDDY1	Bạn đã trở thành mật hữu của %s
KD_STR_TRAINING_BUDDY2	%s đã trở thành mật hữu của bạn
KD_STR_TRAINING_GRADUATE_TOSTUDENT	Chúc mừng! Bạn đã xuất sư!
KD_STR_TRAINING_GRADUATE_TOTEACHER	Đệ tử %s của bạn đã xuất sư!
KD_STR_NO_MAILCOST	"Không đủ tiền, gửi thất bại!"
