key	value
G_THIEFSKILL_0	%s 从你身上偷到%d两银子捐给前线!
G_THIEFSKILL_1	你成功的从%s 那里偷到%d两银子捐给前线!
G_THIEFSKILL_2	被偷成功 
G_THIEFSKILL_3	偷窃成功 
G_THIEFSKILL_4	%s 试图偷你的钱,但未成功!
G_THIEFSKILL_5	你偷%s 失败!
G_THIEFSKILL_6	被偷未遂
G_THIEFSKILL_7	偷窃未遂
G_THIEFSKILL_8	%s 当前生命值情况: %d / %d 
G_THIEFSKILL_9	对方情报
G_THIEFSKILL_10	%s 当前内力值情况: %d / %d 
G_THIEFSKILL_11	%s 当前现金情况: %d 两 
G_FACTION_0	少林派
G_S_METAL	金系
G_S_WOOD	木系
G_S_WATER	水系
G_S_FIRE	火系
G_S_EARTH	土系
G_S_NONE	无系
G_LUCKSTAR	AddGlobalNews([[恭喜！恭喜！玩家:%s 成为本日的幸运之星!]]);
G_FACTION_NEW	初入江湖
G_FACTION_OLD	江湖游侠
G_PLAYERTONG_0	擂台赛期间帮会踢人操作被锁定！
G_PLAYERTONG_1	攻城战期间帮会踢人操作被锁定！
G_PLAYERTONG_2	帮会传位操作被锁定！
G_PLAYERTONG_3	您被踢出帮会！
G_PLAYERTONG_4	您在帮会中的职位发生了变化！
G_PLAYERTONG_5	帮会联盟中，不能修改阵营！
G_PLAYERTONG_6	每次最多只能存 %d 万两！
G_PLAYERTONG_7	每次最多只能取 %d 万两！
G_PLAYERTONG_8	取太多钱了，放不下！
G_PLAYERTONG_9	帮会操作被锁定，不能创建联盟！
G_PLAYERTONG_10	盟主
G_PLAYERTONG_11	您没有联盟管理权限！
G_PLAYERTONG_12	帮会联盟成员不能加入别的帮会联盟！
G_PLAYERTONG_13	您向 %s 申请加入帮会联盟！
G_PLAYERTONG_14	帮会发钱数量错误！
G_PLAYERTONG_15	每人每次最多只能发 1 亿！
G_PLAYERTONG_16	帮主才能发钱！
G_PLAYERTONG_17	只能给在线的帮众发钱！
G_NPC_0	MainMan
G_NPC_1	MainLady
G_NPC_2	冰
G_NPC_3	毒
G_NPC_4	乱
G_NPC_5	晕
G_PLAYER_0	WriteLog([[PlayerIndex Error:%s:%s]])
G_PLAYER_1	您的%s技能无法使用技能点升级。
G_PLAYER_2	技能升级消息
G_PLAYER_3	您的%s技能等级已经达到极限，不能再升级了。
G_PLAYER_3_	您的战斗技能潜能点不足
G_PLAYER_4	您的等级必须达到%d级才能升级%s技能。
G_PLAYER_5	金元宝转为点数成功!
G_PLAYER_6	金元宝将在下次停机维护时转为点数!
G_PLAYER_7	金元宝转为25天成功!
G_PLAYER_8	金元宝将在下次停机维护时转为25天!
G_PLAYER_9	银元宝转为点数成功!
G_PLAYER_10	银元宝将在下次停机维护时转为点数
G_PLAYER_11	银元宝转为6天成功!
G_PLAYER_12	银元宝将在下次停机维护时转为6天!
G_PLAYER_13	系统消息
G_PLAYER_14	继续
G_PLAYER_15	完成
G_PLAYER_16	恭喜您！得了%d子对，赢得奖励%d两！
G_PLAYER_17	恭喜您！得了%d子刻，恭喜你，赢得大奖，并获得部分积累彩金，共计%d两！
G_PLAYER_18	恭喜您！得了%d %d %d 的顺子，赢得奖励%d两!
G_PLAYER_19	恭喜你，你获得了奖励！
G_PLAYER_20	银票转为点数成功！
G_PLAYER_21	银票将在下次停机维护时转为点数！
G_PLAYER_22	银票转为7天成功！
G_PLAYER_23	银票将在下次停机维护时转为7天！
G_PLAYER_24	交易取消，请检查背包银两与交易获取的银两总和是否超过上限！
G_PLAYER_25	交易取消，对方未符合交易条件！
G_PLAYER_26	你身受重伤，并自动重生！
G_PLAYER_27	交易取消，背包银两不足！
G_PLAYER_28	交易取消，超出交易距离范围!
G_PLAYER_29	交易申请超时！
G_PLAYER_30	%s不在游戏中，他(/她)在下次上线时才会收到您刚才发送的消息。
G_PLAYER_31	邮箱已满，不能发送邮件！
G_PLAYER_32	不能获取邮件中的银两，请检查背包银两与获取的银两总和是否超过上限！
