key	value
G_THIEFSKILL_0	%s 從你身上偷到%d兩銀子捐給前線!
G_THIEFSKILL_1	你成功的從%s 那裏偷到%d兩銀子捐給前線!
G_THIEFSKILL_2	被偷成功 
G_THIEFSKILL_3	偷竊成功 
G_THIEFSKILL_4	%s 試圖偷你的錢,但未成功!
G_THIEFSKILL_5	你偷%s 失敗!
G_THIEFSKILL_6	被偷未遂
G_THIEFSKILL_7	偷竊未遂
G_THIEFSKILL_8	%s 當前生命值情況: %d / %d 
G_THIEFSKILL_9	對方情報
G_THIEFSKILL_10	%s 當前內力值情況: %d / %d 
G_THIEFSKILL_11	%s 當前現金情況: %d 兩 
G_FACTION_0	少林派
G_S_METAL	金系
G_S_WOOD	木系
G_S_WATER	水系
G_S_FIRE	火系
G_S_EARTH	土系
G_S_NONE	無系
G_LUCKSTAR	AddGlobalNews([[恭喜！恭喜！玩家:%s 成為本日的幸運之星!]]);
G_FACTION_NEW	初入江湖
G_FACTION_OLD	江湖遊俠
G_PLAYERTONG_0	擂臺賽期間幫會踢人操作被鎖定！
G_PLAYERTONG_1	攻城戰期間幫會踢人操作被鎖定！
G_PLAYERTONG_2	幫會傳位操作被鎖定！
G_PLAYERTONG_3	您被踢出幫會！
G_PLAYERTONG_4	您在幫會中的職位發生了變化！
G_PLAYERTONG_5	幫會聯盟中，不能修改陣營！
G_PLAYERTONG_6	每次最多只能存 %d 萬兩！
G_PLAYERTONG_7	每次最多只能取 %d 萬兩！
G_PLAYERTONG_8	取太多錢了，放不下！
G_PLAYERTONG_9	幫會操作被鎖定，不能創建聯盟！
G_PLAYERTONG_10	盟主
G_PLAYERTONG_11	您沒有聯盟管理權限！
G_PLAYERTONG_12	幫會聯盟成員不能加入別的幫會聯盟！
G_PLAYERTONG_13	您向 %s 申請加入幫會聯盟！
G_PLAYERTONG_14	幫會發錢數量錯誤！
G_PLAYERTONG_15	每人每次最多只能發 1 億！
G_PLAYERTONG_16	幫主才能發錢！
G_PLAYERTONG_17	只能給在線的幫眾發錢！
G_NPC_0	MainMan
G_NPC_1	MainLady
G_NPC_2	冰
G_NPC_3	毒
G_NPC_4	亂
G_NPC_5	暈
G_PLAYER_0	WriteLog([[PlayerIndex Error:%s:%s]])
G_PLAYER_1	您的%s技能無法使用技能點升級。
G_PLAYER_2	技能升級消息
G_PLAYER_3	您的%s技能等級已經達到極限，不能再升級了。
G_PLAYER_3_	您的戰鬥技能潛能點不足
G_PLAYER_4	您的等級必須達到%d級才能升級%s技能。
G_PLAYER_5	金元寶轉為點數成功!
G_PLAYER_6	金元寶將在下次停機維護時轉為點數!
G_PLAYER_7	金元寶轉為25天成功!
G_PLAYER_8	金元寶將在下次停機維護時轉為25天!
G_PLAYER_9	銀元寶轉為點數成功!
G_PLAYER_10	銀元寶將在下次停機維護時轉為點數
G_PLAYER_11	銀元寶轉為6天成功!
G_PLAYER_12	銀元寶將在下次停機維護時轉為6天!
G_PLAYER_13	系統消息
G_PLAYER_14	繼續
G_PLAYER_15	完成
G_PLAYER_16	恭喜您！得了%d子對，贏得獎勵%d兩！
G_PLAYER_17	恭喜您！得了%d子刻，恭喜你，贏得大獎，並獲得部分積累彩金，共計%d兩！
G_PLAYER_18	恭喜您！得了%d %d %d 的順子，贏得獎勵%d兩!
G_PLAYER_19	恭喜你，你獲得了獎勵！
G_PLAYER_20	銀票轉為點數成功！
G_PLAYER_21	銀票將在下次停機維護時轉為點數！
G_PLAYER_22	銀票轉為7天成功！
G_PLAYER_23	銀票將在下次停機維護時轉為7天！
G_PLAYER_24	交易取消，請檢查背包銀兩與交易獲取的銀兩總和是否超過上限！
G_PLAYER_25	交易取消，對方未符合交易條件！
G_PLAYER_26	你身受重傷，並自動重生！
G_PLAYER_27	交易取消，背包銀兩不足！
G_PLAYER_28	交易取消，超出交易距離範圍!
G_PLAYER_29	交易申請超時！
G_PLAYER_30	%s不在遊戲中，他(/她)在下次上線時才會收到您剛才發送的消息。
G_PLAYER_31	郵箱已滿，不能發送郵件！
G_PLAYER_32	不能獲取郵件中的銀兩，請檢查背包銀兩與獲取的銀兩總和是否超過上限！
G_PLAYER_33	制作中！
G_PLAYER_34	增加親密度失敗：已達到本日限額或者好友關系接觸！
