TaiKhoan	TenNhanVat	VPKhuyenMai	ThoiGianNhan	IP		
minhtungkg	XiaoXiao	1680	2023-11-23 09:27:54	42.114.3.39:48357
nganmap001	HaiDang	840	2023-11-24 16:37:21	118.71.106.185:4544
sakernd	x0TrumCaKhia0x	336	2023-11-26 22:33:03	171.251.237.9:3652
minhtungkg	XiaoXiao	5040	2023-12-01 09:33:11	42.118.93.31:50404
satthan1	Skulll	1176	2023-12-02 17:58:08	116.98.206.41:36037
sakernd	x0TrumCaKhia0x	336	2023-12-02 23:16:25	58.186.166.161:15305
longtkhuc	PhongCa	1680	2023-12-09 14:42:11	14.191.161.115:56679
kentb1988	LaCuong	504	2023-12-15 17:57:57	113.184.33.81:30408
satthan1	Skulll	1680	2023-12-15 19:25:07	116.98.206.41:21444
ngocnhuy1	ngocnhuyy	400	2023-12-15 22:59:02	27.70.226.3:19964
satthan1	Skulll	400	2023-12-16 06:59:35	116.98.206.41:58569
buithohk	MìTômThanhLong	900	2023-12-19 10:55:17	171.224.178.171:7586
satthan2	Krulll	500	2023-12-19 17:56:40	116.98.206.41:63171
satthan1	Skulll	1800	2023-12-19 18:00:01	116.98.206.41:62915
ngocnhuy1	ngocnhuyy	840	2023-12-20 10:29:53	27.70.227.65:56532
buithohk	MìTômThanhLong	1000	2023-12-21 18:24:10	171.224.178.171:8881
docnhan30	NoNoName	1000	2023-12-25 09:51:39	116.102.106.120:64208
buithohk	MìTômThanhLong	2000	2023-12-26 15:38:35	171.224.178.219:56775
lingnga	ShenNana	2000	2023-12-27 17:50:38	14.251.125.181:36323
buithohk	MìTômThanhLong	1000	2023-12-30 17:01:08	171.224.179.40:21194
kiemthest2	AdminGame	336	2024-01-01 09:07:37	116.108.180.118:65225
satthan2	Krulll	336	2024-01-01 09:33:53	117.0.100.249:23767
satthan2	Krulll	840	2024-01-01 09:34:41	117.0.100.249:23767
sakernd	x0TrumCaKhia0x	336	2024-01-01 10:35:06	171.251.236.145:11454
kentb1988	LaCuong	336	2024-01-01 15:43:56	117.0.100.249:46810
docnhan30	NoNoName	336	2024-01-02 05:41:30	115.72.34.68:1731
lingnga	ShenNana	1800	2024-01-03 17:52:48	123.26.144.136:39899
satthan2	Krulll	1000	2024-01-07 16:41:55	117.0.100.249:49641
lingnga	ShenNana	1000	2024-01-08 09:23:29	123.26.144.136:203
satthan2	Krulll	336	2024-01-08 11:26:09	117.0.100.249:17860
vuhasooo	QuynhTrang	336	2024-01-09 09:18:18	42.115.196.104:4002
satthan2	Krulll	900	2024-01-10 12:24:59	117.0.100.249:64196
kiemthest2	AdminGame	1800	2024-01-13 11:56:51	116.108.180.118:50650
satthan1	Skulll	1800	2024-01-13 13:02:59	117.0.100.249:26054
satthan1	Skulll	200	2024-01-13 13:06:37	117.0.100.249:26054
satthan1	Skulll	2000	2024-01-13 17:20:40	117.0.100.249:56009
doantuan	HạtBụiNhỏ	336	2024-01-13 17:29:43	27.65.227.227:33530
lingnga	ShenNana	900	2024-01-13 18:19:43	123.26.144.136:47559
doantuan	HạtBụiNhỏ	900	2024-01-13 19:28:13	27.65.227.227:26875
minhtungkg	XiaoXiao	1800	2024-01-13 19:59:32	42.118.93.167:8423
vuhasoo	BeoCaca	1800	2024-01-13 20:53:34	58.186.166.244:8752
minhtungkg	XiaoXiao	1800	2024-01-14 11:01:34	42.118.93.182:55269
satthan1	Skulll	2000	2024-01-14 12:21:17	117.0.100.249:12738
vuhasoo	BeoCaca	2000	2024-01-14 15:37:35	58.186.166.244:35347
vuhasoo	BeoCaca	2000	2024-01-14 17:14:38	58.186.166.244:11320
minhtungkg	XiaoXiao	2000	2024-01-14 17:39:38	42.118.93.182:59112
longtkhuc	PhongCa	3000	2024-01-14 17:55:33	14.191.166.17:13180
buithohk	MìTômThanhLong	900	2024-01-14 21:50:28	171.224.179.78:21072
satthan1	Skulll	2000	2024-01-16 12:19:48	117.5.152.222:17937
satthan1	Skulll	2000	2024-01-16 17:53:38	117.5.152.222:267
satthan2	Krulll	500	2024-01-17 18:30:21	117.5.153.169:24787
vuhasoo	BeoCaca	5000	2024-01-17 18:34:29	58.186.166.244:48445
satthan1	Skulll	2000	2024-01-17 18:45:11	117.5.153.169:3000
vuhasoo	BeoCaca	900	2024-01-17 21:27:33	58.186.166.244:32531
lingnga	ShenNana	2000	2024-01-18 10:06:17	123.26.144.136:42715
satthan1	Skulll	2500	2024-01-18 17:27:17	117.5.153.169:52161
minhtungkg	XiaoXiao	2800	2024-01-18 17:49:23	42.118.93.59:50416
satthan1	Skulll	2500	2024-01-18 17:52:29	117.5.153.169:22780
satthan1	Skulll	1260	2024-01-19 11:04:50	117.5.153.169:1851
bodauto	Satthuonline	1260	2024-01-19 15:21:50	171.236.57.82:5359
vuhasooo	QuynhTrang	2520	2024-01-20 08:46:42	58.186.166.244:45118
longtkhuc	PhongCa	5000	2024-01-20 09:48:04	14.191.166.17:25890
bodauto	Satthuonline	1260	2024-01-21 16:23:22	171.236.57.82:33620
nvphat	HoanhKhả	1260	2024-01-22 09:52:12	183.80.38.20:8855
minhtungkg	XiaoXiao	3000	2024-01-22 15:15:07	42.118.93.131:60052
minhtungw	XiaoHee	2040	2024-01-22 15:15:14	42.118.93.131:52121
longtkhuc	PhongCa	3000	2024-01-23 19:16:46	14.191.166.17:59758
satthan2	Krulll	3000	2024-01-23 19:27:09	117.5.153.169:11720
