STT	MaCoDe	TenNhanVat	TenTaiKhoan	ThoiGianNhan	IP	HWID
1	5SMIXICNL9AB	VongĐộc	vechaith	2024-01-01 12:47:09	171.234.13.82:63884	1041978035
2	PUFQW09Y1TBH	XinhDungHoi	haiphong	2024-01-03 08:04:51	14.188.98.56:41439	908984496
3	QIJY8A4GN3DV	KuBinEm	tamgia13	2024-01-04 10:42:47	14.241.86.121:53773	1231617943
4	EMR8LYY6JPUM	VõTắcThở	tamgia14	2024-01-04 16:05:22	14.241.86.121:55318	1231617943
5	MR6HSTJW4SBG	Tokuda	namphong	2024-01-04 17:51:23	1.55.142.160:41831	2113877129
6	PCT1UAIJB7IY	MotThoiDeNho	whynot2872	2024-01-04 21:19:58	171.252.189.135:36893	374938
7	W0BWNMAYFQI7	Satthuonline	bodauto	2024-01-05 13:06:59	14.163.216.75:52931	1306791277
8	RVGUU4MRI88M	BăngTGF	bangbangqq	2024-01-05 19:23:23	42.113.220.40:144	611585305
9	MR009IEJFW4C	KenKing	vanqui95	2024-01-06 12:26:25	115.79.56.98:56516	2888328118
10	K35MJ85BNTUT	NguyệtNhi	cuongnv086	2024-01-06 17:02:03	113.188.250.90:62150	2712549929
11	5EV1CF8XAJJ2	zzzTzzz	phuemxxx	2024-01-08 11:51:16	58.186.180.29:22982	3733356803
12	LY6Y29MOAFM1	ITachiFake	kemkem	2024-01-08 18:57:28	171.234.13.124:41093	169526134
13	N0YKT5ZMXX0J	TiểuXuyên	kaixuhp	2024-01-10 18:37:17	1.54.212.18:8494	285223631
14	0UVN2T1ZSCP7	BéBắp	hoanghai2103	2024-01-10 19:40:42	14.232.39.138:23509	2990955082
15	R6BRQ9MLNZRS	onehunter	jangwu	2024-01-11 05:15:55	182.31.100.56:17403	1724213102
16	7JH68DW5RW8E	hahong	hahongyen	2024-01-11 18:12:06	42.113.156.239:59605	3765934732
17	20UZQVPZ7PU0	BiaViệt	quockhanh	2024-01-12 15:14:24	115.72.128.49:26577	978752260
18	R62QY7KXW717	HạtBụiNhỏ	doantuan	2024-01-12 16:17:45	27.65.227.227:14836	194282262
19	7S747G8A1KSX	ChipChipXinh	tranvuhai89	2024-01-12 17:36:37	115.73.176.95:38599	2543764074
20	3WLC0N8MRJXT	HoaVôKhuyết	topbear	2024-01-13 18:05:01	171.251.239.233:123	3213234648
21	AI0CCPTINFE6	Bullzz	mamma1994	2024-01-13 20:16:05	113.185.74.52:45651	1461588562
22	IBENIEQRMICQ	Babytb	hieubep	2024-01-14 12:16:47	14.229.238.189:52933	526966680
23	T9JWPF7BZ84B	KaKaKa	quockhanh11	2024-01-14 16:52:22	115.72.128.49:16591	978752260
24	DZ3ETSSLCPRC	tầmbảo	longlninh	2024-01-14 18:06:08	14.191.166.17:86	4146358605
25	174SWIKEBIQD	20Centimet	nqhai1	2024-01-14 20:15:00	171.250.164.240:59036	2304714797
26	7XXLMY91WOQ2	nhokdan	nhokdanpy	2024-01-14 22:46:44	171.254.192.75:27087	3501391915
27	U9Z5R6FTDR0X	MộtThời	doantuana	2024-01-14 23:03:59	27.65.227.227:53990	3372289208
28	DL422IEICVJE	ZxHunterxZ	valkynn	2024-01-15 09:27:35	14.171.92.137:46553	3724562880
29	APN2OF3J9DRP	HIHIHIII	hoangangadg	2024-01-15 13:51:00	113.161.217.54:465	97165374
30	NUR6D7OI1MTV	ASDZXCCCC	hsonnnn	2024-01-15 16:02:14	42.115.238.236:8069	273937577
31	3R2E0CNOQXI3	loilai	nhokdanpy1	2024-01-15 20:06:32	171.254.192.75:56559	3521931855
32	1MNHSAX35R3H	Gojooo	lequankt	2024-01-16 18:38:26	27.69.244.150:53211	428447676
33	H7JL09TK85D5	LậpCập	mrte96	2024-01-17 14:23:46	116.96.46.111:42266	2436155093
34	WVKZFFTGM7HL	thancon9xx	ckipcoi9x	2024-01-18 10:06:26	123.17.151.223:19652	4204038627
35	IYCAPNSDDRTZ	ZzTuanAnhzZ	anhkoem2024	2024-01-18 12:41:29	14.176.110.137:40688	931856392
36	EQ87M4IAZONR	KiemThanh	thanhvip90	2024-01-19 12:35:06	117.0.113.252:56266	1990385117
37	3Y7C4L59DE4L	emlacuaanh	vuhuan	2024-01-19 14:50:58	222.255.110.61:57545	2275460453
38	FNU5GRRI3MLS	Satthuoffline	khanhvpvn	2024-01-20 21:32:57	171.236.57.82:29835	1324817362
39	KDRKDSCRUIT6	ongthanchemgio	ckipcoi9xx	2024-01-21 17:41:01	123.17.151.223:43511	924835939
40	Z8JKZIRKARVD	NFxKriss	phamtai	2024-01-22 12:20:02	1.53.37.190:29638	336077478
41	2AXE57OJ2OG7	NXT2208	thang22	2024-01-22 22:18:09	183.80.38.75:27949	3015534776
42	041POXWYCY1C	NXT220893	thang23	2024-01-22 22:35:17	183.80.38.75:53106	3015534776
