TaiKhoan	TenNhanVat	SoVatPhamSuKien	ThoiGianNhan	IP		
kiemthest2	AdminGame	600	2023-10-24 09:32:36	27.65.218.21:52721
nghialataodo17	ĐựccCute	600	2023-10-24 20:11:24	171.225.248.227:4684
ngotuankaka	OneGame	150	2023-10-25 11:24:11	125.234.57.11:7923
minhtungkg	XiaoXiao	25	2023-10-27 15:48:55	14.227.94.214:37626
minhtungq	XiaoBiao	25	2023-10-27 17:06:58	14.227.94.214:39935
minhtungw	XiaoHee	25	2023-10-27 17:47:45	14.227.94.214:54145
tranlamvanminh	Xiaooo	25	2023-10-27 18:06:53	14.227.94.214:24195
luuhuan1993	zzTCFzz	50	2023-10-29 18:24:43	171.236.49.143:41913
satthan1	Skulll	50	2023-10-29 18:51:45	171.234.191.168:44997
satthan1	Skulll	25	2023-10-29 18:52:38	171.234.191.168:44997
luuhuan1993	zzTCFzz	100	2023-10-29 19:55:23	171.236.49.143:49157
vuhasoo	BeoCaca	600	2023-10-29 20:18:16	58.187.64.46:50776
vuhasoo	BeoCaca	600	2023-10-29 20:19:13	58.187.64.46:50776
vuhasoo	BeoCaca	600	2023-10-29 20:19:43	58.187.64.46:50776
kennybeen	TuệLinhNhi	300	2023-10-29 23:37:50	180.93.163.235:60382
hoangngankiem	TheMyth	25	2023-10-30 11:05:50	1.52.40.207:13326
satthan1	Skulll	600	2023-10-30 11:12:48	171.234.191.168:57796
kennybeen	TuệLinhNhi	300	2023-10-30 13:01:45	180.93.163.235:47330
ngotuankaka	OneGame	300	2023-10-30 13:51:21	117.6.195.205:9673
minhtungkg	XiaoXiao	600	2023-10-31 09:50:53	14.227.94.214:25081
minhtungkg	XiaoXiao	600	2023-10-31 10:02:04	14.227.94.214:31993
minhtungkg	XiaoXiao	600	2023-10-31 10:10:20	14.227.94.214:31993
minhtungkg	XiaoXiao	600	2023-10-31 10:11:54	14.227.94.214:31993
minhtungkg	XiaoXiao	300	2023-10-31 10:13:16	14.227.94.214:31993
tranlamlp	VoDanh	25	2023-11-01 15:53:28	58.187.25.166:1878
satthan1	Skulll	600	2023-11-02 21:33:07	171.234.191.168:36547
hoanghainn	PhuongOanh	50	2023-11-05 20:06:23	14.232.129.122:19142
minhtungkg	XiaoXiao	300	2023-11-08 11:06:06	42.114.3.29:35045
sakernd	x0TrumCaKhia0x	25	2023-11-13 19:38:51	171.251.237.9:11268
pklovecanh	Jackiee	25	2023-11-13 21:49:49	115.76.49.108:13948
hungbim	AnhBimNghien	100	2023-11-16 20:23:10	123.24.149.229:16324
khoaphan	NghĩaHòaĐoàn	50	2023-11-18 09:39:27	203.210.234.109:51945
longtkhuc	PhongCa	600	2023-11-18 20:12:13	14.191.165.114:28249
minhtungkg	XiaoXiao	600	2023-11-23 09:28:16	42.114.3.39:48357
longtkhuc	PhongCa	600	2023-11-28 15:10:14	14.191.161.115:35623
havinh	saomai	300	2023-12-05 13:44:19	171.240.132.196:39368
havinh	saomai	100	2023-12-05 13:49:42	171.240.132.196:39368
