TaiKhoan	TenNhanVat	DiemDanhVongNhanDuoc	Time	IP		
kiemthest2	AdminGame	40000	2024-08-01 11:35:57	27.65.220.141:32484
kiemthest2	AdminGame	40000	2024-08-02 08:05:57	27.65.220.141:14278
675112	SweetHoney	40000	2024-08-02 08:06:35	171.234.9.130:25434
675112	SweetHoney	20000	2024-08-02 19:59:57	171.234.9.130:52451
kentb1988	LaCuong	40000	2024-08-06 17:19:57	117.5.153.102:21736
giahan	GiaHân	40000	2024-08-07 09:46:35	14.191.160.122:3379
dong165	FirstPunch	40000	2024-08-08 08:50:27	218.152.230.195:31181
675111	TàThânVNES	32000	2024-08-09 10:38:44	171.234.9.4:18356
675113	Kimduyên	40000	2024-08-12 11:51:18	27.66.53.189:8211
675113	Kimduyên	20000	2024-08-12 12:11:48	27.66.53.189:8211
675111	TàThânVNES	24000	2024-08-12 15:52:01	27.66.53.189:36848
