TaiKhoan	TenNhanVat	TaiLocNhan	DiemTanNienNhan	ThoiGianNhan	IP		
kiemthest2	AdminGame	16800	72000	2025-01-16 16:39:26	27.65.221.206:9680
minhtrong90	GauMapDiz	16800	72000	2025-01-16 16:48:46	117.6.99.97:52146
minhtrong90	GauMapDiz	2800	12000	2025-01-17 11:53:39	117.6.99.97:45303
kiemthest2	AdminGame	2800	12000	2025-01-17 22:15:33	27.65.221.206:22218
kiemthest2	AdminGame	600	2750	2025-01-17 22:17:09	27.65.221.206:22218
duykss	CoLang	600	2750	2025-01-17 22:19:06	222.252.139.41:10707
khoaiso09	ThậpMaQuân	600	2750	2025-01-18 02:35:51	27.51.129.80:4500
keomutdo	TeeLàTrà	1400	6000	2025-01-18 12:58:14	176.6.145.186:2282
keomutdo	TeeLàTrà	2000	8750	2025-01-18 16:25:08	176.6.145.186:63721
kiemthest2	AdminGame	2000	8750	2025-01-19 12:44:40	104.28.237.72:20017
675112	SweetHoney	2000	8750	2025-01-19 12:46:20	113.185.110.252:58416
keomutdo	TeeLàTrà	2800	12000	2025-01-19 20:20:24	176.6.139.131:18106
satthan1	Skulll	4200	18000	2025-01-19 21:35:20	117.5.153.205:17281
minhtrong90	GauMapDiz	7000	30000	2025-01-20 09:10:15	117.6.99.97:29641
minhtrong90	GauMapDiz	2800	12000	2025-01-20 09:12:02	117.6.99.97:29641
keomutdo	TeeLàTrà	6000	24000	2025-01-20 18:16:41	176.6.142.33:41371
keomutdo	TeeLàTrà	3000	15000	2025-01-20 20:50:06	176.6.142.33:58523
keomutdo1	Verdamm	1200	3000	2025-01-20 20:51:48	176.6.142.33:59035
satthan1	Skulll	1400	6000	2025-01-21 08:45:37	14.249.153.18:48608
satthan1	Skulll	7000	30000	2025-01-21 15:36:58	14.249.153.18:64740
congaconvn	Kingdoms	1400	6000	2025-01-21 15:41:54	14.232.50.30:49091
congaconvn	Kingdoms	600	2750	2025-01-21 15:49:04	14.232.50.30:49091
satthan1	Skulll	1400	6000	2025-01-21 22:03:21	117.5.153.205:20730
satthan1	Skulll	1400	6000	2025-01-21 22:25:00	117.5.153.205:20730
lingnga	ShenNana	8400	36000	2025-01-24 17:03:40	14.163.147.38:10742
congaconvn	Kingdoms	3400	14750	2025-01-25 14:24:44	14.232.50.30:36042
lingnga	ShenNana	6000	20000	2025-01-26 10:42:46	14.163.147.38:60666
satthan2	Krulll	2999	6999	2025-01-29 00:22:44	117.5.153.205:3775
kiemthest2	AdminGame	999	2999	2025-01-29 07:31:50	27.65.221.206:34556
keomutdo	TeeLàTrà	999	2999	2025-01-29 22:12:20	176.3.66.136:44906
minhtrong90	GauMapDiz	7000	30000	2025-01-30 11:46:46	42.117.78.70:44491
minhtrong2	MapDiz	250	1125	2025-02-04 08:14:49	117.6.99.97:53189
