TaiKhoan	TenNhanVat	SoLuongTienNhan	ThoiGianNhan	IP		
hnk	HoangNganKiem	75	2024-12-01 09:33:25	192.168.2.14:15300
kiemthest2	AdminGame	75	2024-12-01 12:06:45	116.109.85.142:63170
kiemthest2	AdminGame	5000	2024-12-01 12:15:27	116.109.85.142:63170
minhtrong90	GauMapDiz	5000	2024-12-01 12:17:48	117.6.99.97:4431
kiemthest2	AdminGame	200	2024-12-02 09:04:08	116.109.85.142:47054
minhtrong90	GauMapDiz	200	2024-12-02 09:31:10	117.6.99.97:38736
satthan1	Skulll	3000	2024-12-02 15:19:47	113.179.62.52:40181
minhtrong90	GauMapDiz	5000	2024-12-03 09:16:07	117.6.99.97:21446
minhtrong90	GauMapDiz	6000	2024-12-03 14:58:08	117.6.99.97:41431
kiemthest2	AdminGame	4000	2024-12-05 15:57:18	116.109.85.142:30447
satthan1	Skulll	4000	2024-12-05 15:58:37	113.179.62.52:11722
minhtrong90	GauMapDiz	6500	2024-12-05 16:38:00	117.6.99.97:52260
satthan1	Skulll	3500	2024-12-06 11:55:48	117.5.152.147:14223
minhtrong90	GauMapDiz	6000	2024-12-07 16:52:53	117.6.99.97:34533
kiemthest2	AdminGame	6000	2024-12-08 08:44:33	116.109.85.142:62157
minhtrong90	GauMapDiz	6000	2024-12-08 08:45:14	117.6.99.97:42823
minhtrong90	GauMapDiz	7000	2024-12-10 09:26:53	117.6.99.97:30933
giakiem	Đoàn	2000	2024-12-11 19:52:30	171.227.91.151:30680
giakiem	Đoàn	3000	2024-12-11 22:27:32	171.227.91.151:11237
minhtrong90	GauMapDiz	7000	2024-12-12 17:04:32	117.6.99.97:42524
minhtrong90	GauMapDiz	2000	2024-12-13 17:04:25	117.6.99.97:6938
satthan1	Skulll	5000	2024-12-14 08:32:28	117.5.152.147:58762
nguyenbg	MinhAnh	300	2024-12-14 18:25:59	14.235.157.90:6624
satthan1	Skulll	2500	2024-12-14 19:35:04	117.5.152.147:43255
kiemthest2	AdminGame	6000	2024-12-15 09:54:44	104.28.227.231:23714
minhtrong90	GauMapDiz	6000	2024-12-15 10:03:31	113.167.96.30:12268
minhtrong90	GauMapDiz	6000	2024-12-19 16:42:26	117.6.99.97:5523
congaconvn	Kingdoms	2000	2024-12-25 10:59:54	123.25.15.179:21101
sonlhedura	Killer	2000	2024-12-30 09:56:26	14.160.140.119:35788
congaconvn	Kingdoms	3000	2024-12-31 09:07:36	113.163.6.77:54731
675112	SweetHoney	6000	2025-01-01 18:58:51	14.191.253.36:9846
satthan2	Krulll	3000	2025-01-02 14:05:02	14.249.153.18:62660
675112	SweetHoney	1000	2025-01-02 15:05:40	113.185.108.234:36994
congaconvn	Kingdoms	800	2025-01-03 17:04:48	123.25.15.179:12341
675112	SweetHoney	2000	2025-01-04 12:24:21	113.185.111.189:30677
meomap	MeoMap	2000	2025-01-07 22:24:40	14.186.66.141:29401
satthan2	Krulll	4000	2025-01-09 15:45:25	14.249.153.18:52685
675112	SweetHoney	4000	2025-01-10 17:41:24	113.185.111.189:48395
satthan2	Krulll	3000	2025-01-14 15:49:35	27.65.221.206:52162
satthan2	Krulll	1200	2025-01-14 20:17:47	117.5.153.205:35148
satthan2	Krulll	1200	2025-01-14 21:39:40	117.5.153.205:35148
