TaiKhoan	TenNhanVat	SoLuongTienNhan	ThoiGianNhan	IP		
kiemthest2	AdminGame	1000	2024-10-11 09:48:21	115.73.32.82:30404
675112	SweetHoney	1000	2024-10-11 09:48:52	113.185.107.117:46925
lingnga	ShenNana	2000	2024-10-16 15:07:35	14.239.169.136:17352
satthan1	Skulll	1000	2024-10-16 15:14:58	113.181.66.59:55259
675113	Kimduyên	1000	2024-10-21 11:06:19	113.185.109.239:18679
kiemthest2	AdminGame	1000	2024-10-21 11:06:48	171.232.166.81:35016
kiemthest2	AdminGame	1000	2024-10-22 17:35:52	171.232.166.81:41442
thanghp	LãoBạch	1000	2024-10-22 17:39:00	112.220.35.28:12261
kiemthest2	AdminGame	1000	2024-10-27 09:55:16	171.232.166.81:7642
675113	Kimduyên	500	2024-10-27 10:07:33	113.185.106.243:33841
ngotuankaka	OneGame	1000	2024-10-27 16:03:47	117.5.146.116:33168
kiemthest2	AdminGame	1000	2024-10-28 14:01:42	171.232.166.81:50890
675111	TàThânVNES	1000	2024-10-28 14:07:18	113.185.110.238:50533
675111	TàThânVNES	1000	2024-10-28 14:58:43	113.185.110.238:50533
keomutdo	TeeLàTrà	1000	2024-10-28 21:58:01	171.243.84.69:48322
ngotuankaka	OneGame	3000	2024-11-13 09:27:29	113.186.225.67:59589
sieuvirus	xXxMOZAxXx	1500	2024-11-14 16:03:25	171.224.177.155:29759
kiemthest2	AdminGame	1500	2024-11-14 16:53:58	27.65.213.111:40700
minhtrong90	GauMapDiz	1500	2024-11-15 12:51:13	117.6.99.97:38631
minhtrong90	GauMapDiz	1500	2024-11-15 13:01:38	117.6.99.97:38631
minhtrong90	GauMapDiz	200	2024-11-15 20:37:38	117.6.99.97:61194
sieuvirus	xXxMOZAxXx	800	2024-11-16 11:50:01	171.224.177.231:17130
sieuvirus	xXxMOZAxXx	600	2024-11-16 16:06:39	171.224.177.231:17130
minhtrong90	GauMapDiz	2100	2024-11-17 08:27:35	117.6.99.97:33733
minhtrong90	GauMapDiz	2100	2024-11-18 10:47:44	117.6.99.97:52430
sieuvirus	xXxMOZAxXx	600	2024-11-18 19:00:50	171.224.177.18:39645
minhtrong90	GauMapDiz	1500	2024-11-20 11:44:00	117.6.99.97:47050
kiemthest2	AdminGame	1500	2024-11-22 22:05:46	116.109.174.33:48851
buiduya	xMrDuyx	1500	2024-11-22 22:07:30	14.191.171.46:12812
minhtrong90	GauMapDiz	1000	2024-11-26 09:01:51	117.6.99.97:11578
shrimpvip	StingRed	1000	2024-11-26 16:45:34	171.243.51.147:48986
buiduya	xMrDuyx	600	2024-11-26 18:32:29	14.191.171.46:21797
kiemthest2	AdminGame	600	2024-11-27 11:46:47	116.109.174.33:26823
shrimpvip	StingRed	600	2024-11-27 11:51:37	171.243.51.147:43862
buiduya	xMrDuyx	200	2024-11-27 15:43:34	14.191.171.46:9289
kentb1988	LaCuong	1000	2024-12-06 11:57:19	117.5.152.147:64012
giakiem	Đoàn	2000	2024-12-11 22:27:11	171.227.91.151:11237
nguyenbg	MinhAnh	1000	2024-12-14 18:25:50	14.235.157.90:6624
congaconvn	Kingdoms	1000	2024-12-25 10:59:42	123.25.15.179:21101
kiemthest2	AdminGame	1000	2024-12-25 14:56:39	115.73.32.11:62973
sonlhedura	Killer	2000	2024-12-30 12:40:36	14.160.140.119:35788
meomap	MeoMap	2000	2025-01-07 22:25:39	14.186.66.141:29401
quanln	Thienvuong	3000	2025-02-10 09:36:45	116.98.246.78:1302
minhkn123	NhatMinh	2000	2025-02-12 19:34:38	113.164.96.125:20721
minhkn123	NhatMinh	100	2025-02-12 21:38:58	113.164.96.125:961
kiemthest2	AdminGame	4000	2025-02-23 12:36:11	116.109.86.224:7622
tuyenphan123	tuyenbesclean	4000	2025-02-23 12:37:18	42.113.114.132:62260
