MapId	ToaDoX	ToaDoY
2115	1487	2875
2115	1562	3209
2115	1577	3168
2115	1553	3105
2115	1611	3118
2115	1660	3126
2115	1721	3059
2115	1686	2969
2115	1708	2895
2115	1747	2851
2115	1788	2882
2115	1646	2901
2115	1594	2905
2115	1591	2991
2115	1624	2998
2115	1619	3069
2115	1663	3221
2115	1717	3256
2115	1746	3245
2115	1787	3251
2115	1832	3307
2115	1817	3443
2115	1782	3439
2115	1734	3403
2115	1710	3467
2115	1678	3462
2115	1664	3548
2115	1626	3551
2115	1612	3472
2115	1582	3423
2115	1548	3431
2115	1509	3448
2115	1490	3396
2115	1512	3316
2115	1778	3544
2115	1754	3493
2115	1717	3577
2115	1751	3624
2115	1838	3626
2115	1632	3330
2115	1665	3008
2115	1825	2889
2115	1775	2986
2115	1731	3007
2115	1785	3301
2115	1671	3611
2115	1630	3617
2115	1563	3621
2115	1507	3607
2115	1499	3505
2115	1557	3491
2115	1589	3388
2115	1546	3377
2115	1540	3136
2115	1579	3052
