Name	Genre	DetailType	ParticularType	Level
Hoàng Kim Hiệp Lữ	4	9	3000	10
Hoàng Kim Hiệp Lữ	4	3	3000	10
Hoàng Kim Hiệp Lữ	4	8	3000	10
Hoàng Kim Hiệp Lữ	4	10	3000	10
Hoàng Kim Hiệp Lữ	4	7	3000	10
Hoàng Kim Hiệp Lữ	4	5	3000	10
Hoàng Kim Hiệp Lữ	4	4	3000	10
Hoàng Kim Hiệp Lữ	4	11	3000	10
Hoàng Kim Hiệp Lữ	4	6	3000	10
Hoàng Kim Hiệp Lữ	4	9	3001	10
Hoàng Kim Hiệp Lữ	4	3	3001	10
Hoàng Kim Hiệp Lữ	4	8	3001	10
Hoàng Kim Hiệp Lữ	4	10	3001	10
Hoàng Kim Hiệp Lữ	4	7	3001	10
Hoàng Kim Hiệp Lữ	4	5	3001	10
Hoàng Kim Hiệp Lữ	4	4	3001	10
Hoàng Kim Hiệp Lữ	4	11	3001	10
Hoàng Kim Hiệp Lữ	4	6	3001	10
Phổ Độ Hoàng Kim	4	9	3010	10
Phổ Độ Hoàng Kim	4	3	3010	10
Phổ Độ Hoàng Kim	4	8	3010	10
Phổ Độ Hoàng Kim	4	10	3010	10
Phổ Độ Hoàng Kim	4	7	3010	10
Phổ Độ Hoàng Kim	4	5	3010	10
Phổ Độ Hoàng Kim	4	4	3010	10
Phổ Độ Hoàng Kim	4	11	3010	10
Phổ Độ Hoàng Kim	4	6	3010	10
Tu La Hoàng Kim	4	9	3011	10
Tu La Hoàng Kim	4	3	3011	10
Tu La Hoàng Kim	4	8	3011	10
Tu La Hoàng Kim	4	10	3011	10
Tu La Hoàng Kim	4	7	3011	10
Tu La Hoàng Kim	4	5	3011	10
Tu La Hoàng Kim	4	4	3011	10
Tu La Hoàng Kim	4	11	3011	10
Tu La Hoàng Kim	4	6	3011	10
Kế Nghiệp Chiến Tướng	4	9	3020	10
Kế Nghiệp Chiến Tướng	4	3	3020	10
Kế Nghiệp Chiến Tướng	4	8	3020	10
Kế Nghiệp Chiến Tướng	4	10	3020	10
Kế Nghiệp Chiến Tướng	4	7	3020	10
Kế Nghiệp Chiến Tướng	4	5	3020	10
Kế Nghiệp Chiến Tướng	4	4	3020	10
Kế Nghiệp Chiến Tướng	4	11	3020	10
Kế Nghiệp Chiến Tướng	4	6	3020	10
