STT	MaCoDe
1	8KRWK6KCG9NR
2	NB35N0AKG4UG
3	ACYETCX49U8R
4	J2RRWYZZSMLL
5	YMJV7EETTRRA
6	2NRQJ6EYAE0B
7	7TGFFT3SKGJU
8	1W2M7FZHANLV
9	GYGGXG05CR1P
10	NOWVORUDQHLA
11	HFIN73BCW6S1
12	O68J80L2LC9R
13	OSKB49D7KZO0
14	LT9O8TBYD8IF
15	LLZRC3HRZG93
16	W1YI1G8HNM30
17	R8DG4793UZM5
18	TISU6H0WG432
19	21LPV2ML87NL
20	SHZ6I5GMPCSY
21	D9LO271O8ZU0
22	MME58F8O5UVA
23	MVYPZ955UYCU
24	VVVK4KNJAFHJ
25	7GUP7XUV2KB3
26	09YDOYRGEC23
27	VXN8L0NVEPBJ
28	7S9TEWLV0W5Q
29	DJ0FXZJ73FL3
30	X9AF43JNQIUI
31	XOL653GVUNIW
32	R58HN2VDSTAL
33	H6ZFQ8FYWZCL
34	HWS0AZCS5WLT
35	ASV61M8P0EJS
36	9TVSBK8MMCHU
37	QEFB2UM3SBXM
38	Z1KYANDAM8FN
39	3AOB2176V217
40	0G56PLBNOAR3
41	VTB9389IDSEF
42	R8VTXBBYT1NC
43	6VVQNPYH52BP
44	TYL1Q82L1VC2
45	7G3N1S6YI15T
46	QIZ55MZ5EMVV
47	KUHSRJB3IBNU
48	M31HC10V1D8V
49	5LRVS1PGDE1P
50	T1QOQTE7WWUR
51	4MDJQ5SJZ01N
52	NSRPFALGV5W3
53	ZRUV4CYQY1ST
54	007YYAHVM5J1
55	0TBIHWL7Z6FM
56	FQ5P38NA2S95
57	41B0SOA0GY9O
58	PS7EZEWUCDLO
59	OQH8JPYG6HWM
60	GBXUC090IKT0
61	6EDY6RF0HX73
62	2E6OURVVJA4X
63	4LDIV9P3VE1R
64	1XV3G4QWW9YW
65	DHNNNA72XJ2Z
66	LRJJXV75GW2G
67	3FTWM26QF1V7
68	5KRAFMOT0ONW
69	M9JIYDL50NQ5
70	D2R8UG3P75BL
71	2QC70E9AR6VV
72	92D94EV2EK3A
73	OLTJNS6L4XSZ
74	OTS08PGTLX0X
75	H5D8GTJVH5A3
76	2KH4LUMFEAUQ
77	172FUJ0LWNTJ
78	Y0OPYF73H0ZH
79	Q47G722PP8LH
80	ZKJMJO7GJ81K
81	XSDHG9VQMSZW
82	L3Y03TLK668Y
83	EMQTKCEXH8GD
84	64RT7NLQ0H17
85	MKRPZS00O3HG
86	FQJ1H4JL0U2S
87	R3HYW4A8X1A4
88	U3L5GBBJ2JBM
89	KYX4Y51G79YI
90	38THAM2KMI7H
91	BESYGWX5DFWM
92	UQ17ZK9MXA0I
93	5E4OSHQ9KRRS
94	7XODFNP6L0MT
95	OQ7D8V38HJYR
96	EFJIGQBLZN4G
97	QWNG96B5KYB2
98	7N8YLVV8S7GZ
99	UVCJXP0R8913
100	97O8SHFOSYKC
101	HFBR1GPI1JRP
102	H1EX5L744F49
103	DXLWMR2MZ2UV
104	E6K23HSHQXPO
105	WTGEMC1BK96S
106	LHJOZMM5JBAC
107	8MG9O646YPQY
108	C8FZSFUKE7O8
109	7TA2QVZID3XB
110	42OBNNU4OQ60
111	CMLSJKNQODVL
112	VNQA1KW6AZUI
113	359R1SHCC3IL
114	RLDO212594O0
115	10ULLHN591LY
116	8SMDX30NGRIA
117	1NZA6LYN81UB
118	T0AZFVYHOT6U
119	WF4MCJFWKIN0
120	99YWI10X4XSR
121	Z6SLRGYGWXHZ
