Ten Vat Pham	So Luong	Time	Nguoi Choi
Dương Gia Quyết Cấp 30	1	2025-04-21 09:54:53	Viper99
Trấn Lôi Liệt Quyết Cấp 30	1	2025-04-21 09:54:53	Viper99
Như Lai Quyết Cấp 30	1	2025-04-21 09:54:53	Viper99
Đường Gia Quyết Cấp 30	1	2025-04-21 09:54:53	Viper99
Thánh Hỏa Minh Tâm Cấp 30	2	2025-04-21 09:54:53	Viper99
Tuyệt Thế Trấn Phái Thúy Yên Tầng 40	1	2025-04-21 09:55:00	Viper99
Tuyệt Thế Trấn Phái Minh Giáo Tầng 40	2	2025-04-21 09:55:00	Viper99
Tuyệt Thế Trấn Phái Đoàn Thị Tầng 40	1	2025-04-21 09:55:00	Viper99
Tuyệt Thế Trấn Phái Nga My Tầng 40	2	2025-04-21 09:55:00	Viper99
Tuyệt Thế Trấn Phái Võ Đang Tầng 40	1	2025-04-21 09:55:00	Viper99
Tuyệt Thế Trấn Phái Thiên Vương Tầng 40	3	2025-04-21 09:55:00	Viper99
Đoàn Gia Tâm Quyết Cấp 30	1	2025-04-21 10:53:38	TeeLàTrà
Tuyệt Thế Trấn Phái Đoàn Thị Tầng 39	1	2025-04-21 10:53:38	TeeLàTrà
Tuyệt Thế Trấn Phái Thiên Vương Tầng 40	1	2025-04-21 10:54:40	TeeLàTrà
Băng Tâm Quyết Cấp 30	1	2025-04-21 10:54:40	TeeLàTrà
Thánh Hỏa Minh Tâm Cấp 30	1	2025-04-21 10:54:40	TeeLàTrà
Như Lai Quyết Cấp 30	1	2025-04-21 10:54:40	TeeLàTrà
Đường Gia Quyết Cấp 30	1	2025-04-21 10:54:40	TeeLàTrà
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 40	1	2025-04-21 10:54:40	TeeLàTrà
Dương Gia Quyết Cấp 30	1	2025-04-21 10:54:40	TeeLàTrà
Liệt Hỏa Tâm Pháp Cấp 27	1	2025-04-21 10:54:40	TeeLàTrà
Cuồng Long Quyết Cấp 30	1	2025-04-21 10:54:40	TeeLàTrà
Tuyệt Thế Trấn Phái Thúy Yên Tầng 40	1	2025-04-21 10:54:40	TeeLàTrà
