Ten Vat Pham	So Luong	Time	Nguoi Choi
Thanh Sa Khoáng	4	2025-04-22 08:40:55	Viper99
Tử Sa Khoáng	4	2025-04-22 08:41:12	Viper99
Mật Thư Tình Báo	4	2025-04-22 08:41:20	Viper99
Mảnh Giáp Lan Sơn	4	2025-04-22 08:41:24	Viper99
Anh Hùng Tửu	4	2025-04-22 08:41:28	Viper99
Du Long Giác	10	2025-04-22 10:12:23	Killer
Du Long Giác	457	2025-04-22 10:13:10	Viper99
Du Long Giác	22	2025-04-22 10:13:43	Viper99
Tử Sa Khoáng	5	2025-04-22 10:35:39	Killer
Thanh Sa Khoáng	5	2025-04-22 10:35:43	Killer
Mật Thư Tình Báo	5	2025-04-22 10:35:50	Killer
Mảnh Giáp Lan Sơn	5	2025-04-22 10:35:55	Killer
Anh Hùng Tửu	5	2025-04-22 10:35:58	Killer
Mật Thư Tình Báo	2	2025-04-22 10:47:01	Killer
Du Long Giác	100	2025-04-22 11:01:53	Viper99
Du Long Giác	92	2025-04-22 11:26:11	Killer
Du Long Giác	1	2025-04-22 13:59:22	Viper99
Du Long Giác	613	2025-04-22 18:49:36	Viper99
Du Long Giác	513	2025-04-22 18:50:56	Viper99
Du Long: Tuyệt Thế Giang Hồ	4	2025-04-22 18:52:41	Viper99
Du Long: Vũ khí Thương Phong	51	2025-04-22 18:53:02	Viper99
Du Long: Trang bị Vô Cực	62	2025-04-22 18:53:09	Viper99
Du Long: Vũ khí Thanh Hạ	39	2025-04-22 18:53:18	Viper99
Du Long: Mặt Nạ Cao cấp	57	2025-04-22 18:53:22	Viper99
Du Long: Ngoại Trang Vip	54	2025-04-22 18:53:26	Viper99
Du Long: Phi Phong Cao Cấp	43	2025-04-22 18:53:30	Viper99
Du Long: Tuyệt kỹ Trấn Phái	43	2025-04-22 18:53:35	Viper99
Du Long: Bí kiếp Môn phái	79	2025-04-22 18:53:40	Viper99
Du Long: Ngựa Cao Cấp	44	2025-04-22 18:53:43	Viper99
Du Long: Đồng Hành Cao Cấp	39	2025-04-22 18:53:47	Viper99
Du Long: Tuyệt Thế Giang Hồ	44	2025-04-22 18:53:50	Viper99
Tử Sa Khoáng	20	2025-04-22 19:00:16	Killer
Tử Sa Khoáng	5	2025-04-23 16:34:47	Viper99
Thanh Sa Khoáng	5	2025-04-23 16:34:54	Viper99
Mật Thư Tình Báo	5	2025-04-23 16:34:58	Viper99
Mảnh Giáp Lan Sơn	5	2025-04-23 16:35:02	Viper99
Anh Hùng Tửu	5	2025-04-23 16:35:06	Viper99
Du Long: Trang bị Vô Cực	62	2025-04-24 09:45:07	Killer
Du Long: Vũ khí Thương Phong	51	2025-04-24 09:45:16	Killer
Du Long: Ngoại Trang Vip	54	2025-04-24 09:45:21	Killer
Du Long: Phi Phong Cao Cấp	43	2025-04-24 09:45:27	Killer
Du Long: Vũ khí Thanh Hạ	39	2025-04-24 09:45:31	Killer
Du Long: Ngựa Cao Cấp	44	2025-04-24 09:45:36	Killer
Du Long: Bí kiếp Môn phái	79	2025-04-24 09:45:44	Killer
Tử Sa Khoáng	5	2025-04-24 10:17:45	Killer
Thanh Sa Khoáng	5	2025-04-24 10:17:50	Killer
Mật Thư Tình Báo	5	2025-04-24 10:17:53	Killer
Mảnh Giáp Lan Sơn	5	2025-04-24 10:17:57	Killer
Anh Hùng Tửu	5	2025-04-24 10:18:01	Killer
Anh Hùng Tửu	1	2025-04-24 10:27:14	Killer
Tử Sa Khoáng	3	2025-04-24 11:37:02	Viper99
Anh Hùng Tửu	2	2025-04-24 11:39:31	Viper99
Du Long Giác	435	2025-04-24 19:59:08	Killer
Du Long Giác	432	2025-04-25 16:11:22	Killer
Bản đồ Bích Ba Động	6	2025-04-25 16:12:45	Viper99
Bản đồ Bích Ba Động	5	2025-04-25 16:16:23	Killer
Du Long Giác	22	2025-04-25 16:16:33	Killer
Du Long Giác	1858	2025-04-25 16:50:04	Viper99
Du Long: Vũ khí Thương Phong	174	2025-04-25 16:56:56	Viper99
Du Long: Mặt Nạ Cao cấp	90	2025-04-25 16:57:01	Viper99
Du Long: Tuyệt kỹ Trấn Phái	167	2025-04-25 16:57:14	Viper99
Du Long: Bí kiếp Môn phái	108	2025-04-25 16:57:19	Viper99
Du Long: Ngựa Cao Cấp	238	2025-04-25 16:57:24	Viper99
Du Long: Đồng Hành Cao Cấp	127	2025-04-25 16:57:31	Viper99
Du Long: Phi Phong Cao Cấp	126	2025-04-25 16:58:09	Viper99
Du Long: Ngoại Trang Vip	246	2025-04-25 16:58:14	Viper99
Du Long: Bí kiếp Môn phái	108	2025-04-25 18:53:37	Viper99
Du Long: Vũ khí Thương Phong	568	2025-04-27 17:56:54	Viper99
Du Long: Phi Phong Cao Cấp	476	2025-04-27 18:19:00	Viper99
Du Long: Trang bị Vô Cực	604	2025-04-27 19:09:19	Viper99
Du Long: Mặt Nạ Cao cấp	452	2025-04-27 19:09:30	Viper99
Du Long: Ngoại Trang Vip	685	2025-04-27 19:11:21	Viper99
Du Long: Bí kiếp Môn phái	311	2025-04-27 19:11:30	Viper99
Du Long: Ngựa Cao Cấp	631	2025-04-27 19:11:34	Viper99
Du Long: Đồng Hành Cao Cấp	464	2025-04-27 19:11:45	Viper99
Du Long: Trang bị Vô Cực	604	2025-04-27 19:13:06	Killer
Du Long: Bí kiếp Môn phái	2	2025-04-27 19:17:55	tuyenbesclean
Du Long: Phi Phong Cao Cấp	476	2025-04-27 19:18:07	Killer
Du Long: Đồng Hành Cao Cấp	464	2025-04-27 19:25:06	Killer
Du Long Giác	3413	2025-04-28 10:10:11	Viper99
Du Long: Trang bị Vô Cực	583	2025-04-28 10:27:46	Viper99
Du Long: Mặt Nạ Cao cấp	468	2025-04-28 11:19:13	Viper99
Du Long: Ngoại Trang Vip	572	2025-04-28 11:19:19	Viper99
Du Long: Bí kiếp Môn phái	489	2025-04-28 11:19:32	Viper99
Du Long: Ngựa Cao Cấp	605	2025-04-28 11:19:38	Viper99
Du Long: Đồng Hành Cao Cấp	464	2025-04-28 11:19:43	Viper99
Du Long: Vũ khí Thương Phong	626	2025-04-28 11:27:50	Viper99
Du Long: Mặt Nạ Cao cấp	920	2025-04-28 11:29:44	Killer
Du Long: Ngựa Cao Cấp	1236	2025-04-28 11:37:43	Killer
Du Long: Trang bị Vô Cực	339	2025-04-28 15:26:50	MiuuMiuu
Du Long: Vũ khí Thương Phong	839	2025-04-28 16:47:48	MiuuMiuu
