Ten Vat Pham	So Luong	Time	Nguoi Choi
Thương Phong Phệ Ảnh Thủ	1	2025-04-21 09:55:33	Viper99
Thương Phong Tuyệt Thổ Đao	1	2025-04-21 09:55:33	Viper99
Thương Phong Tuyệt Thổ Thủ	1	2025-04-21 09:55:33	Viper99
Thương Phong Tuyệt Thủy Thủ	1	2025-04-21 09:55:33	Viper99
Thương Phong Khu Hổ Chùy	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong U Minh Đao	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Tứ Hải Chùy	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Tuyệt Hỏa Đao	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Băng Tước Thủ	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Tuyệt Hỏa Cung Tiễn	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Tuyệt Kim Đao	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Phệ Ảnh Thủ	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Canh Phong Đao	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Trấn Nhạc Kiếm	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Tuyệt Kim Kiếm	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Cuồng Lan	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Tuyệt Mộc Kiếm	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Tuyệt Kim Thương	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Mạn Tú Kiếm	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Tuyệt Kim Bổng	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Du Long Thủ	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Tuyệt Thổ Đao	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Tuyệt Mộc Đao	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Tuyệt Hỏa Đao	1	2025-04-21 10:47:52	TeeLàTrà
Thương Phong Lược Địa Bổng	1	2025-04-21 10:48:06	TeeLàTrà
Thương Phong Tuyệt Thủy Đao	1	2025-04-21 10:48:06	TeeLàTrà
Thương Phong Tuyệt Thổ Kiếm	1	2025-04-21 10:48:06	TeeLàTrà
Thương Phong Quy Thiền Đao	1	2025-04-21 10:48:06	TeeLàTrà
Thương Phong Tuyệt Kim Thương	1	2025-04-21 10:48:06	TeeLàTrà
Thương Phong Cuồng Lan	1	2025-04-21 10:48:06	TeeLàTrà
Thương Phong Cực Lôi Kiếm	1	2025-04-21 10:48:06	TeeLàTrà
Thương Phong Tuyệt Hỏa Thương	1	2025-04-21 10:48:06	TeeLàTrà
Thương Phong Tuyệt Thổ Kiếm	1	2025-04-21 10:48:06	TeeLàTrà
Thương Phong Khổng Tước Vũ	1	2025-04-21 10:48:06	TeeLàTrà
Thương Phong Tuyệt Thổ Phi Đao	1	2025-04-21 15:29:07	Viper99
Thương Phong Mạn Tú Kiếm	1	2025-04-21 15:29:29	Viper99
Thương Phong Tuyệt Thổ Thủ	1	2025-04-21 15:29:29	Viper99
Thương Phong Tuyệt Kim Kiếm	1	2025-04-21 15:29:29	Viper99
Thương Phong Tuyệt Kim Chùy	1	2025-04-21 15:29:29	Viper99
Thương Phong Tuyệt Thổ Kiếm	1	2025-04-21 15:29:29	Viper99
Thương Phong Tuyệt Thủy Thương	1	2025-04-21 15:29:29	Viper99
Thương Phong Tuyệt Thổ Đao	1	2025-04-21 15:29:29	Viper99
Thương Phong Tuyệt Thổ Cung Tiễn	2	2025-04-21 15:29:29	Viper99
Thương Phong Vi Đà Côn	1	2025-04-21 15:29:29	Viper99
Thương Phong Tuyệt Thủy Phi Đao	1	2025-04-21 15:29:29	Viper99
Thương Phong Tuyệt Thổ Chùy	1	2025-04-21 15:29:29	Viper99
Thương Phong Du Long Thủ	1	2025-04-21 15:29:29	Viper99
Thương Phong Tuyệt Kim Đao	1	2025-04-21 15:29:29	Viper99
Thương Phong Vi Đà Côn	1	2025-04-21 15:29:29	Viper99
Thương Phong Tuyệt Thổ Chùy	1	2025-04-21 15:29:29	Viper99
Thương Phong Tuyệt Mộc Đao	1	2025-04-21 15:29:29	Viper99
Thương Phong Vi Đà Côn	1	2025-04-21 15:29:29	Viper99
Thương Phong Quy Thiền Đao	1	2025-04-21 15:29:29	Viper99
Thương Phong Tuyệt Kim Thương	1	2025-04-21 15:29:29	Viper99
