Genre	DetailType	ParticularType	Level		
1	25	100	2		
1	25	101	2		
1	25	102	2		
1	25	103	2		
1	25	104	2		
1	25	105	2		
1	25	106	2		
1	25	107	2		
1	25	108	2		
1	25	109	2		
1	25	110	2		
1	25	111	2		
1	25	112	2		
1	25	113	2		
1	25	114	2		
1	25	115	2		
1	25	116	2		
1	25	117	2		
1	25	118	2		
1	25	119	2		
1	25	120	2		
1	25	121	2		
1	25	122	2		
1	25	123	2		
1	25	124	2		
1	25	125	2		
1	25	126	2		
1	25	127	2		
1	25	128	2		
1	25	129	2		
1	25	130	2		
1	25	131	2		
1	25	132	2		
1	25	133	2		
1	25	134	2		
1	25	135	2		
1	25	136	2		
1	25	137	2		
1	25	138	2		
1	25	139	2		
1	25	140	2		
1	25	141	2		
1	25	142	2		
1	25	143	2		
1	25	144	2		
1	25	145	2		
1	25	146	2		
1	25	147	2		
1	25	148	2		
1	25	149	2		
1	25	150	2		
1	25	151	2		
1	25	152	2		
1	25	153	2		
1	25	154	2		
1	25	155	2		
1	25	156	2		
1	25	157	2		
1	25	158	2		
1	25	159	2		
1	25	160	2		
1	25	161	2		
1	25	162	2		
1	25	163	2		
1	25	164	2		
1	25	165	2		
1	25	166	2		
1	25	167	2		
1	25	168	2		
1	25	169	2		
1	25	170	2		
1	25	171	2		
1	25	172	2		
1	25	173	2		
1	25	174	2		
1	25	175	2		
1	25	180	2		
1	25	181	2		
1	25	182	2		
1	25	183	2		
1	25	184	2		
1	25	185	2		
1	25	186	2		
1	25	187	2		
1	25	188	2		
1	25	189	2		
1	25	190	2		
1	25	191	2		
1	25	192	2		
1	25	193	2		
1	25	194	2		
1	25	195	2		
1	25	196	2		
1	25	197	2		
1	25	198	2		
1	25	199	2		
1	25	200	2		
1	25	201	2		
1	25	202	2		
1	25	203	2		
1	25	204	2		
1	25	205	2		
1	25	206	2		
1	25	207	2		
1	25	208	2		
1	25	209	2		
1	25	210	2		
1	25	211	2		
1	25	212	2		
1	25	213	2		
1	25	214	2		
1	25	215	2		
1	25	216	2		
1	25	217	2		
1	25	218	2		
1	25	219	2		
1	25	220	2		
1	25	221	2		
1	25	222	2		
1	25	223	2		
1	25	225	2		
1	25	226	2		
1	25	227	2		
1	25	228	2		
