Genre	DetailType	ParticularType	Level		
1	25	1000	1		
1	25	1001	1		
1	25	1002	1		
1	25	1003	1		
1	25	1004	1		
1	25	1005	1		
1	25	1006	1		
1	25	1007	1		
1	25	1008	1		
1	25	1009	1		
1	25	1010	1		
1	25	1011	1		
1	25	1012	1		
1	25	1013	1		
1	25	1014	1		
1	25	1015	1		
1	25	1016	1		
1	25	1017	1		
1	25	1018	1		
1	25	1019	1		
1	25	1020	1		
1	25	1021	1		
1	25	1022	1		
1	25	1023	1		
1	25	1024	1		
1	25	1025	1		
1	25	1026	1		
1	25	1027	1		
1	25	1028	1		
1	25	1029	1		
1	25	1030	1		
1	25	1031	1		
1	25	1032	1		
1	25	1033	1		
1	25	1034	1		
1	25	1035	1		
1	25	1036	1		
1	25	1037	1		
1	25	1038	1		
1	25	1039	1		
1	25	1040	1		
1	25	1041	1		
1	25	1042	1		
1	25	1043	1		
1	25	1044	1		
1	25	1045	1		
1	25	1046	1		
1	25	1047	1		
1	25	1048	1		
1	25	1049	1		
1	25	1050	1		
1	25	1051	1		
1	25	1052	1		
1	25	1053	1		
1	25	1054	1		
1	25	1055	1		
1	25	1056	1		
1	25	1057	1		
1	25	1058	1		
1	25	1059	1		
1	25	1060	1		
1	25	1061	1		
1	25	1062	1		
1	25	1063	1		
1	25	1064	1		
1	25	1065	1		
1	25	1066	1		
1	25	1067	1		
1	25	1068	1		
1	25	1069	1		
1	25	1070	1		
1	25	1071	1		
1	25	1072	1		
1	25	1073	1		
1	25	1074	1		
1	25	1075	1		
1	25	1076	1		
1	25	1077	1		
1	25	1078	1		
1	25	1079	1		
1	25	1080	1		
1	25	1081	1		
1	25	1082	1		
1	25	1083	1		
1	25	1084	1		
1	25	1085	1		
1	25	1086	1		
1	25	1087	1		
1	25	1088	1		
1	25	1089	1		
1	25	1090	1		
1	25	1091	1		
1	25	1092	1		
1	25	1093	1		
1	25	1094	1		
1	25	1095	1		
1	25	1096	1		
1	25	1097	1		
1	25	1098	1		
1	25	1099	1		
1	25	1100	1		
1	25	1101	1		
1	25	1102	1		
1	25	1103	1		
1	25	1104	1		
1	25	1105	1		
1	25	1106	1		
1	25	1107	1		
1	25	1108	1		
1	25	1109	1		
1	25	1110	1		
1	25	1111	1		
1	25	1112	1		
1	25	1113	1		
1	25	1114	1		
1	25	1115	1		
1	25	1116	1		
1	25	1117	1		
1	25	1118	1		
1	25	1119	1		
1	25	1120	1		
1	25	1121	1		
1	25	1122	1		
1	25	1123	1		
1	25	1124	1		
1	25	1125	1		
1	25	1126	1		
1	25	1127	1		
1	25	1128	1		
1	25	1129	1		
1	25	1130	1		
1	25	1131	1		
1	25	1132	1		
1	25	1133	1		
1	25	1134	1		
1	25	1135	1		
1	25	1136	1		
1	25	1137	1		
1	25	1138	1		
1	25	1139	1		
1	25	1140	1		
1	25	1141	1		
1	25	1142	1		
1	25	1143	1		
1	25	1144	1		
1	25	1145	1		
1	25	1146	1		
1	25	1147	1		
1	25	1148	1		
1	25	1149	1		
1	25	1150	1		
1	25	1151	1		
1	25	1152	1		
1	25	1153	1		
1	25	1154	1		
1	25	1155	1		
1	25	1156	1		
1	25	1157	1		
1	25	1158	1		
1	25	1159	1		
1	25	1160	1		
1	25	1161	1		
1	25	1162	1		
1	25	1163	1		
1	25	1164	1		
1	25	1165	1		
1	25	1166	1		
1	25	1167	1		
1	25	1168	1		
1	25	1169	1		
1	25	1170	1		
1	25	1171	1		
1	25	1172	1		
1	25	1173	1		
1	25	1174	1		
1	25	1175	1		
1	25	1176	1		
1	25	1177	1		
1	25	1178	1		
1	25	1179	1		
1	25	1180	1		
1	25	1181	1		
1	25	1182	1		
1	25	1183	1		
1	25	1184	1		
1	25	1185	1		
1	25	1186	1		
1	25	1187	1		
1	25	1188	1		
1	25	1189	1		
1	25	1190	1		
1	25	1191	1		
1	25	1192	1		
1	25	1193	1		
1	25	1194	1		
1	25	1195	1		
1	25	1196	1		
1	25	1197	1		
1	25	1198	1		
1	25	1199	1		
1	25	1200	1		
1	25	1201	1		
1	25	1202	1		
1	25	1203	1		
1	25	1204	1		
1	25	1205	1		
1	25	1206	1		
1	25	1207	1		
1	25	1208	1		
1	25	1209	1		
1	25	1210	1		
1	25	1211	1		
1	25	1212	1		
1	25	1213	1		
1	25	1214	1		
1	25	1215	1		
1	25	1216	1		
1	25	1217	1		
1	25	1218	1		
1	25	1219	1		
1	25	1220	1		
1	25	1221	1		
1	25	1222	1		
1	25	1223	1		
1	25	1224	1		
1	25	1225	1		
1	25	1226	1		
1	25	1227	1		
1	25	1228	1		
1	25	1229	1		
1	25	1230	1		
1	25	1231	1		
1	25	1232	1		
1	25	1233	1		
1	25	1234	1		
1	25	1235	1		
1	25	1236	1		
1	25	1237	1		
1	25	1238	1		
1	25	1239	1		
1	25	1240	1		
1	25	1241	1		
1	25	1242	1		
1	25	1243	1		
1	25	1244	1		
1	25	1245	1		
1	25	1246	1		
1	25	1247	1		
1	25	1248	1		
1	25	1249	1		
1	25	1250	1		
1	25	1251	1		
1	25	1252	1		
1	25	1253	1		
1	25	1254	1		
1	25	1255	1		
1	25	1256	1		
1	25	1257	1		
1	25	1258	1		
1	25	1259	1		
1	25	1260	1		
1	25	1261	1		
1	25	1262	1		
1	25	1263	1		
1	25	1264	1		
1	25	1265	1		
1	25	1266	1		
1	25	1267	1		
1	25	1268	1		
1	25	1269	1		
1	25	1270	1		
1	25	1271	1		
1	25	1272	1		
1	25	1273	1		
1	25	1274	1		
1	25	1275	1		
1	25	1276	1		
1	25	1277	1		
1	25	1278	1		
1	25	1279	1		
1	25	1280	1		
1	25	1281	1		
1	25	1282	1		
1	25	1283	1		
1	25	1284	1		
1	25	1285	1		
1	25	1286	1		
1	25	1287	1		
1	25	1288	1		
1	25	1289	1		
1	25	1290	1		
1	25	1291	1		
1	25	1292	1		
1	25	1293	1		
1	25	1294	1		
1	25	1295	1		
1	25	1296	1		
1	25	1297	1		
1	25	1298	1		
1	25	1299	1		
1	25	1300	1		
1	25	1301	1		
1	25	1302	1		
1	25	1303	1		
1	25	1304	1		
1	25	1305	1		
1	25	1306	1		
1	25	1307	1		
1	25	1308	1		
1	25	1309	1		
1	25	1310	1		
1	25	1311	1		
1	25	1312	1		
1	25	1313	1		
1	25	1314	1		
1	25	1315	1		
1	25	1316	1		
1	25	1317	1		
1	25	1318	1		
1	25	1319	1		
1	25	1320	1		
1	25	1321	1		
1	25	1322	1		
1	25	1323	1		
1	25	1324	1		
1	25	1325	1		
1	25	1326	1		
1	25	1327	1		
1	25	1328	1		
1	25	1329	1		
1	25	1330	1		
1	25	1331	1		
1	25	1332	1		
1	25	1333	1		
1	25	1334	1		
1	25	1335	1		
1	25	1336	1		
1	25	1337	1		
1	25	1338	1		
1	25	1339	1		
1	25	1340	1		
1	25	1341	1		
1	25	1342	1		
1	25	1343	1		
1	25	1344	1		
1	25	1345	1		
1	25	1346	1		
1	25	1347	1		
1	25	1348	1		
1	25	1349	1		
1	25	1350	1		
1	25	1351	1		
1	25	1352	1		
1	25	1353	1		
1	25	1354	1		
1	25	1355	1		
1	25	1356	1		
1	25	1357	1		
1	25	1358	1		
1	25	1359	1		
1	25	1360	1		
1	25	1361	1		
1	25	1362	1		
1	25	1363	1		
1	25	1364	1		
1	25	1365	1		
1	25	1366	1		
1	25	1367	1		
1	25	1368	1		
1	25	1369	1		
1	25	1370	1		
1	25	1371	1		
1	25	1372	1		
1	25	1373	1		
1	25	1374	1		
1	25	1375	1		
1	25	1376	1		
1	25	1377	1		
1	25	1378	1		
1	25	1379	1		
1	25	1380	1		
1	25	1381	1		
