Name	Genre	DetailType	ParticularType	Level
Du Long Giác	18	1	4038	1
Du Long: Trang bị Vô Cực	18	1	4039	1
Du Long: Vũ khí Thanh Hạ	18	1	4039	2
Du Long: Vũ khí Thương Phong	18	1	4039	3
Du Long: Mặt Nạ Cao cấp	18	1	4039	4
Du Long: Ngoại Trang Vip	18	1	4039	5
Du Long: Phi Phong Cao Cấp	18	1	4039	6
Du Long: Tuyệt kỹ Trấn Phái	18	1	4039	7
Du Long: Bí kiếp Môn phái	18	1	4039	8
Du Long: Ngựa Cao Cấp	18	1	4039	9
Du Long: Đồng Hành Cao Cấp	18	1	4039	10
Du Long: Tuyệt Thế Giang Hồ	18	1	4039	11
Du Long: Nguyên Liệu Cao Cấp	18	1	4039	12
Rương Du Long: Trang bị Vô Cực-Sơ	18	1	4040	1
Rương Du Long: Trang bị Vô Cực-Trung	18	1	4040	2
Rương Du Long: Trang bị Vô Cực-Đại Viễn	18	1	4040	3
Tử Sa Khoáng	18	1	4041	1
Thanh Sa Khoáng	18	1	4041	2
Mật Thư Tình Báo	18	1	4041	3
Mảnh Giáp Lan Sơn	18	1	4041	4
Anh Hùng Tửu	18	1	4041	5
Bản đồ Bích Ba Động chưa giám định	18	1	4041	6
Bản đồ Bích Ba Động	18	1	4041	7
Nón Lv1_Vô Cực- Nam - Kim	4	9	3000	10
Áo Lv1_Vô Cực- Nam - Kim	4	3	3000	10
Lưng Lv1_Vô Cực- Nam - Kim	4	8	3000	10
Tay Lv1_Vô Cực- Nam - Kim	4	10	3000	10
Giày Lv1_Vô Cực- Nam - Kim	4	7	3000	10
Liên Lv1_Vô Cực- Nam - Kim	4	5	3000	10
Nhẫn Lv1_Vô Cực- Nam - Kim	4	4	3000	10
Bội Lv1_Vô Cực- Nam - Kim	4	11	3000	10
Phù Lv1_Vô Cực- Nam - Kim	4	6	3000	10
Nón Lv1_Vô Cực- Nam - Mộc	4	9	3002	10
Áo Lv1_Vô Cực- Nam - Mộc	4	3	3002	10
Lưng Lv1_Vô Cực- Nam - Mộc	4	8	3002	10
Tay Lv1_Vô Cực- Nam - Mộc	4	10	3002	10
Giày Lv1_Vô Cực- Nam - Mộc	4	7	3002	10
Liên Lv1_Vô Cực- Nam - Mộc	4	5	3002	10
Nhẫn Lv1_Vô Cực- Nam - Mộc	4	4	3002	10
Bội Lv1_Vô Cực- Nam - Mộc	4	11	3002	10
Phù Lv1_Vô Cực- Nam - Mộc	4	6	3002	10
Nón Lv1_Vô Cực- Nam - Thủy	4	9	3004	10
Áo Lv1_Vô Cực- Nam - Thủy	4	3	3004	10
Lưng Lv1_Vô Cực- Nam - Thủy	4	8	3004	10
Tay Lv1_Vô Cực- Nam - Thủy	4	10	3004	10
Giày Lv1_Vô Cực- Nam - Thủy	4	7	3004	10
Liên Lv1_Vô Cực- Nam - Thủy	4	5	3004	10
Nhẫn Lv1_Vô Cực- Nam - Thủy	4	4	3004	10
Bội Lv1_Vô Cực- Nam - Thủy	4	11	3004	10
Phù Lv1_Vô Cực- Nam - Thủy	4	6	3004	10
Nón Lv1_Vô Cực- Nam - Hỏa	4	9	3006	10
Áo Lv1_Vô Cực- Nam - Hỏa	4	3	3006	10
Lưng Lv1_Vô Cực- Nam - Hỏa	4	8	3006	10
Tay Lv1_Vô Cực- Nam - Hỏa	4	10	3006	10
Giày Lv1_Vô Cực- Nam - Hỏa	4	7	3006	10
Liên Lv1_Vô Cực- Nam - Hỏa	4	5	3006	10
Nhẫn Lv1_Vô Cực- Nam - Hỏa	4	4	3006	10
Bội Lv1_Vô Cực- Nam - Hỏa	4	11	3006	10
Phù Lv1_Vô Cực- Nam - Hỏa	4	6	3006	10
Nón Lv1_Vô Cực- Nam - Thổ	4	9	3008	10
Áo Lv1_Vô Cực- Nam - Thổ	4	3	3008	10
Lưng Lv1_Vô Cực- Nam - Thổ	4	8	3008	10
Tay Lv1_Vô Cực- Nam - Thổ	4	10	3008	10
Giày Lv1_Vô Cực- Nam - Thổ	4	7	3008	10
Liên Lv1_Vô Cực- Nam - Thổ	4	5	3008	10
Nhẫn Lv1_Vô Cực- Nam - Thổ	4	4	3008	10
Bội Lv1_Vô Cực- Nam - Thổ	4	11	3008	10
