Name	Genre	DetailType	ParticularType	Level		
Hoàng Kim Hiệp Lữ	4	9	3000	10		
Hoàng Kim Hiệp Lữ	4	3	3000	10		
Hoàng Kim Hiệp Lữ	4	8	3000	10		
Hoàng Kim Hiệp Lữ	4	10	3000	10		
Hoàng Kim Hiệp Lữ	4	7	3000	10		
Hoàng Kim Hiệp Lữ	4	5	3000	10		
Hoàng Kim Hiệp Lữ	4	4	3000	10		
Hoàng Kim Hiệp Lữ	4	11	3000	10		
Hoàng Kim Hiệp Lữ	4	6	3000	10		
Hoàng Kim Hiệp Lữ	4	9	3001	10		
Hoàng Kim Hiệp Lữ	4	3	3001	10		
Hoàng Kim Hiệp Lữ	4	8	3001	10		
Hoàng Kim Hiệp Lữ	4	10	3001	10		
Hoàng Kim Hiệp Lữ	4	7	3001	10		
Hoàng Kim Hiệp Lữ	4	5	3001	10		
Hoàng Kim Hiệp Lữ	4	4	3001	10		
Hoàng Kim Hiệp Lữ	4	11	3001	10		
Hoàng Kim Hiệp Lữ	4	6	3001	10		
Độc Lãng Tiêu Dao	4	9	3002	10		
Độc Lãng Tiêu Dao	4	3	3002	10		
Độc Lãng Tiêu Dao	4	8	3002	10		
Độc Lãng Tiêu Dao	4	10	3002	10		
Độc Lãng Tiêu Dao	4	7	3002	10		
Độc Lãng Tiêu Dao	4	5	3002	10		
Độc Lãng Tiêu Dao	4	4	3002	10		
Độc Lãng Tiêu Dao	4	11	3002	10		
Độc Lãng Tiêu Dao	4	6	3002	10		
Hiệp Độc Tiêu Dao	4	9	3003	10		
Hiệp Độc Tiêu Dao	4	3	3003	10		
Hiệp Độc Tiêu Dao	4	8	3003	10		
Hiệp Độc Tiêu Dao	4	10	3003	10		
Hiệp Độc Tiêu Dao	4	7	3003	10		
Hiệp Độc Tiêu Dao	4	5	3003	10		
Hiệp Độc Tiêu Dao	4	4	3003	10		
Hiệp Độc Tiêu Dao	4	11	3003	10		
Hiệp Độc Tiêu Dao	4	6	3003	10		
Bạch Hiệp	4	9	3004	10		
Bạch Hiệp	4	3	3004	10		
Bạch Hiệp	4	8	3004	10		
Bạch Hiệp	4	10	3004	10		
Bạch Hiệp	4	7	3004	10		
Bạch Hiệp	4	5	3004	10		
Bạch Hiệp	4	4	3004	10		
Bạch Hiệp	4	11	3004	10		
Bạch Hiệp	4	6	3004	10		
Băng Thanh	4	9	3005	10		
