Name	Genre	DetailType	ParticularType	Level
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 1	1	15	1001	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 2	1	15	1002	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 3	1	15	1003	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 4	1	15	1004	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 5	1	15	1005	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 6	1	15	1006	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 7	1	15	1007	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 8	1	15	1008	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 9	1	15	1009	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 10	1	15	1010	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 11	1	15	1011	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 12	1	15	1012	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 13	1	15	1013	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 14	1	15	1014	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 15	1	15	1015	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 16	1	15	1016	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 17	1	15	1017	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 18	1	15	1018	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 19	1	15	1019	7
Tuyệt Thế Trấn Phái Thiếu Lâm Tầng 20	1	15	1020	7
Tuyệt Thế Trấn Phái Thiên Vương Tầng 1	1	15	1021	7
Tuyệt Thế Trấn Phái Thiên Vương Tầng 2	1	15	1022	7
Tuyệt Thế Trấn Phái Thiên Vương Tầng 3	1	15	1023	7
Tuyệt Thế Trấn Phái Thiên Vương Tầng 4	1	15	1024	7
Tuyệt Thế Trấn Phái Thiên Vương Tầng 5	1	15	1025	7
Tuyệt Thế Trấn Phái Thiên Vương Tầng 6	1	15	1026	7
