Name	Genre	DetailType	ParticularType	Level
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Càn Khôn Thất Tinh Khải	1	25	100	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Tử Kim Thánh Nữ Y	1	25	101	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Như Ý Thanh Hồng Giáp	1	25	102	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Lưu Tiên Thủy Văn Sam	1	25	103	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Sí Nhiễm Hoa Y	1	25	104	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Long Dĩnh Sam	1	25	105	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Y Sơn Quan Lan Khải	1	25	106	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Phong Lộ Quy Mộng Sam	1	25	107	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Tử Tô Kim Bộ	1	25	108	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Nhã Thanh Song Điệp	1	25	109	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Liệt Thạch Đoàn Kim	1	25	110	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Thiều Hoa Bất Phụ	1	25	111	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Thần Long Đằng Vân	1	25	112	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Kim Phượng Hồng Hà	1	25	113	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Định Quốc	1	25	114	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Quốc Sắc	1	25	115	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Kiếm tâm hà ảnh sam	1	25	116	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Bạch ngọc bích hà la	1	25	117	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Mộ Quang Lưu Hà	1	25	118	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Đào Tịch Tuyết Y	1	25	119	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] U Long Ngự Vân Bào	1	25	120	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Phượng Hi Hoàng Bào	1	25	121	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Thanh Ngự Vĩ Bào	1	25	122	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Tuyết Vũ Lam Bào	1	25	123	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Quân Lâm Thiên Hạ	1	25	124	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Phượng Vũ Cửu Thiên	1	25	125	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Thanh Sương Dạ Nguyệt Y	1	25	126	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Tinh Sa Lãng Sa Y	1	25	127	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Kiếm Tâm Hà Ảnh Sam 	1	25	128	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Bạch Ngọc Bích Hà La	1	25	129	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Lam Hải Kim Lữ	1	25	130	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Lam Điệp Y	1	25	131	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Yến Vân Phi Sa 	1	25	132	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Yến Vân Lữ Sa	1	25	133	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Ly Mực Bàn Cánh Giáp	1	25	134	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Ly Mực Bàn Cánh Khải	1	25	135	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Nghịch Thế Trọng Thiên Khải	1	25	136	2
[Hủy-cần đổi]-[Ngoại Trang cấp 1] Cực Nghiệp Trọng Thiên Khải	1	25	137	2
[Hủy-cần đổi]-[Ngoại Trang cấp 2] Tử Sắc Vân Bào	1	25	138	2
[Hủy-cần đổi]-[Ngoại Trang cấp 2] Tử Sắc Vân Bào 	1	25	139	2
