Name	Genre	DetailType	ParticularType	Level
[Ngoại Trang cấp 1] Càn Khôn Thất Tinh Khải	1	25	1000	1
[Ngoại Trang cấp 1] Tử Kim Thánh Nữ Y	1	25	1001	1
[Ngoại Trang cấp 1] Như Ý Thanh Hồng Giáp	1	25	1002	1
[Ngoại Trang cấp 1] Lưu Tiên Thủy Văn Sam	1	25	1003	1
[Ngoại Trang cấp 1] Sí Nhiễm Hoa Y	1	25	1004	1
[Ngoại Trang cấp 1] Long Dĩnh Sam	1	25	1005	1
[Ngoại Trang cấp 1] Y Sơn Quan Lan Khải	1	25	1006	1
[Ngoại Trang cấp 1] Phong Lộ Quy Mộng Sam	1	25	1007	1
[Ngoại Trang cấp 1] Tử Tô Kim Bộ	1	25	1008	1
[Ngoại Trang cấp 1] Nhã Thanh Song Điệp	1	25	1009	1
[Ngoại Trang cấp 1] Liệt Thạch Đoàn Kim	1	25	1010	1
[Ngoại Trang cấp 1] Thiều Hoa Bất Phụ	1	25	1011	1
[Ngoại Trang cấp 1] Thần Long Đằng Vân	1	25	1012	1
[Ngoại Trang cấp 1] Kim Phượng Hồng Hà	1	25	1013	1
[Ngoại Trang cấp 1] Định Quốc	1	25	1014	1
[Ngoại Trang cấp 1] Quốc Sắc	1	25	1015	1
[Ngoại Trang cấp 1] Kiếm tâm hà ảnh sam	1	25	1016	1
[Ngoại Trang cấp 1] Bạch ngọc bích hà la	1	25	1017	1
[Ngoại Trang cấp 1] Mộ Quang Lưu Hà	1	25	1018	1
[Ngoại Trang cấp 1] Đào Tịch Tuyết Y	1	25	1019	1
[Ngoại Trang cấp 1] U Long Ngự Vân Bào	1	25	1020	1
[Ngoại Trang cấp 1] Phượng Hi Hoàng Bào	1	25	1021	1
[Ngoại Trang cấp 1] Thanh Ngự Vĩ Bào	1	25	1022	1
[Ngoại Trang cấp 1] Tuyết Vũ Lam Bào	1	25	1023	1
[Ngoại Trang cấp 1] Quân Lâm Thiên Hạ	1	25	1024	1
[Ngoại Trang cấp 1] Phượng Vũ Cửu Thiên	1	25	1025	1
[Ngoại Trang cấp 1] Thanh Sương Dạ Nguyệt Y	1	25	1026	1
[Ngoại Trang cấp 1] Tinh Sa Lãng Sa Y	1	25	1027	1
[Ngoại Trang cấp 1] Kiếm Tâm Hà Ảnh Sam 	1	25	1028	1
[Ngoại Trang cấp 1] Bạch Ngọc Bích Hà La	1	25	1029	1
[Ngoại Trang cấp 1] Lam Hải Kim Lữ	1	25	1030	1
[Ngoại Trang cấp 1] Lam Điệp Y	1	25	1031	1
[Ngoại Trang cấp 1] Yến Vân Phi Sa 	1	25	1032	1
[Ngoại Trang cấp 1] Yến Vân Lữ Sa	1	25	1033	1
[Ngoại Trang cấp 1] Ly Mực Bàn Cánh Giáp	1	25	1034	1
[Ngoại Trang cấp 1] Ly Mực Bàn Cánh Khải	1	25	1035	1
[Ngoại Trang cấp 1] Nghịch Thế Trọng Thiên Khải	1	25	1036	1
[Ngoại Trang cấp 1] Cực Nghiệp Trọng Thiên Khải	1	25	1037	1
[Ngoại Trang cấp 2] Tử Sắc Vân Bào	1	25	1038	1
[Ngoại Trang cấp 2] Tử Sắc Vân Bào 	1	25	1039	1
[Ngoại Trang cấp 2] Hồng Sắc Vân Bào	1	25	1040	1
[Ngoại Trang cấp 2] Hồng Sắc Vân Bào 	1	25	1041	1
[Ngoại Trang cấp 2] Hoàng Sắc Vân Bào	1	25	1042	1
[Ngoại Trang cấp 2] Hoàng Sắc Vân Bào 	1	25	1043	1
[Ngoại Trang cấp 2] Thanh Sắc Vân Bào	1	25	1044	1
[Ngoại Trang cấp 2] Thanh Sắc Vân Bào 	1	25	1045	1
[Ngoại Trang cấp 3] Thanh Vân Bạch Sắc Bào	1	25	1046	1
[Ngoại Trang cấp 3] Thanh Vân Bạch Sắc Bào	1	25	1047	1
[Ngoại Trang cấp 3] Kim Lưu Tự Thước Thường	1	25	1048	1
[Ngoại Trang cấp 3] Kim Lưu Tự Thước Thường	1	25	1049	1
[Ngoại Trang cấp 3] Hồng Tử Linh Diệp Bào	1	25	1050	1
[Ngoại Trang cấp 3] Hồng Tử Linh Diệp Bào	1	25	1051	1
[Ngoại Trang cấp 4] Uyên Lâm Tàn Tinh Bào	1	25	1052	1
[Ngoại Trang cấp 4] Uyên Lâm Tàn Tinh Bào	1	25	1053	1
[Ngoại Trang cấp 4] Uyên Lâm Phá Nguyệt Bào	1	25	1054	1
[Ngoại Trang cấp 4] Uyên Lâm Phá Nguyệt Bào	1	25	1055	1
[Ngoại Trang cấp 4] Uyên Lâm Tử Quang Bào	1	25	1056	1
[Ngoại Trang cấp 4] Uyên Lâm Tử Quang Bào	1	25	1057	1
[Ngoại Trang cấp 4] Uyên Lâm Phong Ngâm Bào	1	25	1058	1
[Ngoại Trang cấp 4] Uyên Lâm Phong Ngâm Bào	1	25	1059	1
Chung Linh Ngọc Thanh Bào	1	25	1060	1
Chung Linh Ngọc Thanh Thường	1	25	1061	1
Hoàng Sương Nhật Hi Bào	1	25	1062	1
Hoàng Sương Nhật Hi Thường	1	25	1063	1
[Ngoại Trang] Đào Thiển Lưu Ly	1	25	1064	1
[Ngoại Trang] Mặc Uyên Tố Hoa	1	25	1065	1
[Ngoại Trang] Liên Y Tạp Oa	1	25	1066	1
[Ngoại Trang] Thúy Lan Vân Văn	1	25	1067	1
[Ngoại Trang] Tử Tiêu Dật Thái Quần	1	25	1068	1
[Ngoại Trang] Tử Tiêu Lưu Kim Giáp	1	25	1069	1
[Ngoại Trang] Phong Vũ Hồng Loan Quần	1	25	1070	1
[Ngoại Trang] Tinh Động Hồng Loan Khải	1	25	1071	1
[Ngoại Trang VIP] Tinh Động Hồng Loan Khải	1	25	1072	1
[Ngoại Trang VIP] Phong Vũ Hồng Loan Quần	1	25	1073	1
[Ngoại Trang VIP] Thúy Lan Vân Văn	1	25	1074	1
[Ngoại Trang VIP] Liên Y Tạp Oa	1	25	1075	1
Càn Khôn Thất Tinh Khải	1	25	1076	1
Tử Kim Thánh Nữ Y	1	25	1077	1
Như Ý Thanh Hồng Giáp	1	25	1078	1
Lưu Tiên Thủy Văn Sam	1	25	1079	1
Liệt Thạch Đoàn Kim	1	25	1080	1
Thiều Hoa Bất Phụ	1	25	1081	1
Thần Long Đằng Vân	1	25	1082	1
Kim Phượng Hồng Hà	1	25	1083	1
Lam Hải Kim Lữ	1	25	1084	1
Lam Điệp Y	1	25	1085	1
Yến Vân Phi Sa 	1	25	1086	1
Yến Vân Lữ Sa	1	25	1087	1
Tử Sắc Vân Bào	1	25	1088	1
Tử Sắc Vân Bào 	1	25	1089	1
Hồng Sắc Vân Bào	1	25	1090	1
Hồng Sắc Vân Bào 	1	25	1091	1
Hoàng Sắc Vân Bào	1	25	1092	1
Hoàng Sắc Vân Bào 	1	25	1093	1
Thanh Sắc Vân Bào	1	25	1094	1
Thanh Sắc Vân Bào 	1	25	1095	1
Thanh Vân Bạch Sắc Bào	1	25	1096	1
Thanh Vân Bạch Sắc Bào	1	25	1097	1
Kim Lưu Tự Thước Thường	1	25	1098	1
Kim Lưu Tự Thước Thường	1	25	1099	1
Hồng Tử Linh Diệp Bào	1	25	1100	1
Hồng Tử Linh Diệp Bào	1	25	1101	1
Đào Thiển Lưu Ly	1	25	1102	1
Mặc Uyên Tố Hoa	1	25	1103	1
Liên Y Tạp Oa	1	25	1104	1
Thúy Lan Vân Văn	1	25	1105	1
Tử Tiêu Dật Thái Quần	1	25	1106	1
Tử Tiêu Lưu Kim Giáp	1	25	1107	1
Phong Vũ Hồng Loan Quần	1	25	1108	1
Tinh Động Hồng Loan Khải	1	25	1109	1
Tỏa Tử Giáp	1	25	1110	1
Minh Quang Khải	1	25	1111	1
Tế Lân Giáp	1	25	1112	1
Tỏa Tử Hoàng Kim Giáp	1	25	1113	1
Kính Hoa Khải	1	25	1114	1
Thích Khách Trang	1	25	1115	1
Mộng Mị Trang	1	25	1116	1
Tham Lang Trang	1	25	1117	1
Sơn Hồn Trang	1	25	1118	1
Vô Dung Kình Trang	1	25	1119	1
Sí Nhiễm Hoa Y	1	25	1120	1
Y Sơn Quan Lan Khải	1	25	1121	1
Tử Tô Kim Bộ	1	25	1122	1
U Long Ngự Vân Bào	1	25	1123	1
Thanh Ngự Vĩ Bào	1	25	1124	1
Quân Lâm Thiên Hạ	1	25	1125	1
Thanh Sương Dạ Nguyệt Y	1	25	1126	1
Kiếm Tâm Hà Ảnh Sam 	1	25	1127	1
Ly Mực Bàn Cánh Giáp	1	25	1128	1
Nghịch Thế Trọng Thiên Khải	1	25	1129	1
Uyên Lâm Tàn Tinh Bào	1	25	1130	1
Uyên Lâm Phá Nguyệt Bào	1	25	1131	1
Uyên Lâm Tử Quang Bào	1	25	1132	1
Uyên Lâm Phong Ngâm Bào	1	25	1133	1
Chung Linh Ngọc Thanh Bào	1	25	1134	1
Hoàng Sương Nhật Hi Bào	1	25	1135	1
Càn Khôn Thất Tinh Khải	1	25	1136	1
Như Ý Thanh Hồng Giáp	1	25	1137	1
Liệt Thạch Đoàn Kim	1	25	1138	1
Thần Long Đằng Vân	1	25	1139	1
Lam Hải Kim Lữ	1	25	1140	1
Yến Vân Phi Sa 	1	25	1141	1
Tử Sắc Vân Bào	1	25	1142	1
Hồng Sắc Vân Bào	1	25	1143	1
Hoàng Sắc Vân Bào	1	25	1144	1
Thanh Sắc Vân Bào	1	25	1145	1
Thanh Vân Bạch Sắc Bào	1	25	1146	1
Kim Lưu Tự Thước Thường	1	25	1147	1
Hồng Tử Linh Diệp Bào	1	25	1148	1
Mặc Uyên Tố Hoa	1	25	1149	1
Thúy Lan Vân Văn	1	25	1150	1
Tử Tiêu Lưu Kim Giáp	1	25	1151	1
Tinh Động Hồng Loan Khải	1	25	1152	1
Long Dĩnh Sam	1	25	1153	1
Phong Lộ Quy Mộng Sam	1	25	1154	1
Nhã Thanh Song Điệp	1	25	1155	1
Mộ Quang Lưu Hà	1	25	1156	1
Đào Tịch Tuyết Y	1	25	1157	1
Phượng Hi Hoàng Bào	1	25	1158	1
Tuyết Vũ Lam Bào	1	25	1159	1
Phượng Vũ Cửu Thiên	1	25	1160	1
Tinh Sa Lãng Sa Y	1	25	1161	1
Bạch Ngọc Bích Hà La	1	25	1162	1
Ly Mực Bàn Cánh Khải	1	25	1163	1
Cực Nghiệp Trọng Thiên Khải	1	25	1164	1
Uyên Lâm Tàn Tinh Bào	1	25	1165	1
Uyên Lâm Phá Nguyệt Bào	1	25	1166	1
Uyên Lâm Tử Quang Bào	1	25	1167	1
Uyên Lâm Phong Ngâm Bào	1	25	1168	1
Chung Linh Ngọc Thanh Thường	1	25	1169	1
Hoàng Sương Nhật Hi Thường	1	25	1170	1
Tử Kim Thánh Nữ Y	1	25	1171	1
Lưu Tiên Thủy Văn Sam	1	25	1172	1
Thiều Hoa Bất Phụ	1	25	1173	1
Kim Phượng Hồng Hà	1	25	1174	1
Lam Điệp Y	1	25	1175	1
Yến Vân Lữ Sa	1	25	1176	1
Tử Sắc Vân Bào 	1	25	1177	1
Hồng Sắc Vân Bào 	1	25	1178	1
