WareId	WareName	WareType	nGenre	nDetailType	nParticular	nLevel	nSeries	nCurrencyType	nUseType	nOrgPrice	nWareUseStyle	nDiscount	nRecommend	timeSaleStart	timeSaleClose	DiscountStart	DiscountClose	dwTimeout	nTimeFrameStartSale	nTimeFrameEndSale	Consumed
1	Bạch Câu Hoàn	102	18	1	71	1	1	0		1000								43200			100
2	Đại Bạch Câu Hoàn	102	18	1	71	2	1	0		1000								43200			100
3	Cường Hiệu Bạch Câu Hoàn	102	18	1	71	3	1	0		1000								43200			100
4	Thỏi vàng (đại)	102	18	1	118	2	1	0		1000								43200			0
5	Thỏi vàng	102	18	1	118	1	1	0		1000			1					43200			0
6	Thùng rượu (5 bình)	102	18	1	189	1	1	0		1000								43200			0
7	Thùng rượu (50 bình)	102	18	1	189	2	1	0		1000			1					43200			0
8	Vô Hạn Truyền Tống Phù (1 tuần)	102	18	1	195	1	1	0	1	1000			1					10080			0
9	Vô Hạn Truyền Tống Phù (1 tháng)	102	18	1	235	1	1	0	1	1000								43200			0
10	Vô Hạn Hồi Thành Phù (1 tuần)	102	18	1	23	1	1	0	1	1000								10080			0
11	Vô Hạn Hồi Thành Phù (1 tháng)	102	18	1	234	1	1	0	1	1000								43200			0
12	Càn Khôn Phù (10)	102	18	1	85	1	1	0		1000			1					43200			0
13	Lệnh bài triệu hồi gia tộc	102	18	1	87	1	1	0		1000			1					43200			0
14	Giấy phép bày bán	102	18	1	116	1	1	0		1000								43200			100
15	Cửu Chuyển Tục Mệnh Hoàn	102	18	1	24	1	1	0		1000			1					43200			100
16	Lệnh Bài Hình Bộ	102	18	1	17	1	1	0		1000								43200			100
17	Từ Bi Tâm Kinh	102	18	1	18	1	1	0		1000								43200			100
18	Không Bạch Tâm Thư (sơ)	102	20	1	463	1	1	0		1000								43200			100
19	Không Bạch Tâm Thư (trung)	102	20	1	464	1	1	0		1000								43200			100
20	Kim Tê (cấp 4)	102	18	1	2	4	1	0		1000								43200			0
21	Kim Tê (cấp 3)	102	18	1	2	3	1	0		1000			1					43200			0
22	Lệnh bài Tẩy Tủy Đảo	102	18	1	79	1	1	0		1000								43200			100
23	Tinh Khí Tán (500)	102	18	1	89	1	1	0		1000			1					43200			0
24	Hoạt Khí Tán (500)	102	18	1	90	1	1	0		1000			1					43200			0
25	Hoạt Khí Tán (1000)	102	18	1	90	2	1	0		1000			1					43200			0
26	Tinh Khí Tán (1000)	102	18	1	89	2	1	0		1000			1					43200			0
27	Tinh Khí Tán (1500)	102	18	1	89	3	1	0		1000			1					43200			0
28	Hoạt Khí Tán (1500)	102	18	1	90	3	1	0		1000			1					43200			0
29	Thiên Nhãn Phù	102	18	1	206	1	1	0		1000								43200			0
30	Bản đồ bí cảnh	102	18	1	251	1	0	0		1000								43200			16
31	Chìa khóa đồng	102	18	1	77	1	1	0		1000								43200			100
32	Chìa khóa bạc	102	18	1	82	1	1	0		1000								43200			100
33	Chìa khóa vàng	102	18	1	187	1	1	0		1000								43200			100
34	Ốc biển truyền thanh (tiểu)	102	18	1	113	1	1	0		1000		20	1					43200			100
35	Ốc biển truyền thanh (trung)	102	18	1	113	2	1	0		1000								43200			100
36	Đặc Hiệu Bạch Câu Hoàn	102	18	1	71	4	1	2		1000								43200	53	100000	
37	Bạch Câu Hoàn	102	18	1	71	1	1	2		1000								43200			100
38	Vô Hạn Truyền Tống Phù (1 tuần)	102	18	1	195	1	1	2	1	1000			1					10080			0
39	Vô Hạn Truyền Tống Phù (1 tháng)	102	18	1	235	1	1	2	1	1000								43200			0
40	Vô Hạn Hồi Thành Phù (1 tuần)	102	18	1	23	1	1	2	1	1000								10080			0
41	Vô Hạn Hồi Thành Phù (1 tháng)	102	18	1	234	1	1	2	1	1000								43200			0
42	Càn Khôn Phù (10)	102	18	1	85	1	1	2		1000			1					43200			0
43	Kim Tê (cấp 3)	102	18	1	2	3	1	2		1000			1					43200			0
44	Rương Linh Chi Tục Mệnh Hoàn	102	18	1	241	1	0	2		1000			1					43200			0
45	Rương Tuyết Sam Phản Khí Hoàn	102	18	1	242	1	0	2		1000			1					43200			0
46	Rương Diêu Trì Đại Hoàn Đơn	102	18	1	243	1	0	2		1000			1					43200			0
47	Ốc biển truyền thanh (tiểu)	102	18	1	113	1	1	2		1000		20	1					43200			100
48	Ốc biển truyền thanh (trung)	102	18	1	113	2	1	2		1000								43200			100
49	Ốc biển truyền thanh (đại)	102	18	1	113	3	1	2		1000								43200			100
50	Nguyệt ảnh thạch	102	18	1	476	1	0	0		1000								0			
51	Rương Linh Chi Tục Mệnh Hoàn	102	18	1	241	1	0	0		1000			1					43200			0
52	Rương Tuyết Sam Phản Khí Hoàn	102	18	1	242	1	0	0		1000			1					43200			0
53	Rương Diêu Trì Đại Hoàn Đơn	102	18	1	243	1	0	0		1000			1					43200			0
54	Lệnh bài mở rộng rương Lv2	102	18	1	216	2	0	0		1000								43200			
55	Nguyệt ảnh thạch rương	102	18	1	530	1	0	0		1000								0			
56	Ốc biển truyền thanh (đại)	102	18	1	113	3	1	0		1000								43200			100
57	Vạn Vật Quy Nguyên Đơn	102	18	1	384	1	0	0		1000			1								
58	Bách Luyện Hoàn	102	18	1	468	1	0	0		1000			1					43200			100
59	Tu Luyện Đơn	102	18	1	258	1	0	0		1000			1					43200			100
60	Bản đồ Vạn Hoa Cốc	103	18	1	245	1	0	0		1000								43200			
61	Lệnh bài Thiên Quỳnh Cung	103	18	1	186	1	0	0		1000								43200			
62	Thiên lý truyền âm	102	18	1	924	1	0	0		1000								43200			
63	Thiên lý truyền âm (lớn)	102	18	1	925	1	0	0		1000								43200			
