Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	Stuff1Detail	Stuff1Particular	Stuff2Detail	Stuff2Particular	Str1Times	StrMA1Name	StrMA1PA1Min	StrMA1PA1Max	StrMA1PA2Min	StrMA1PA2Max	StrMA1PA3Min	StrMA1PA3Max	Str2Times	StrMA2Name	StrMA2PA1Min	StrMA2PA1Max	StrMA2PA2Min	StrMA2PA2Max	StrMA2PA3Min	StrMA2PA3Max	UnLockInterval
Thô Bố Triền Thủ	Thô Bố Triền Thủ	11	1	1	1	1	\image\item\equip\meleeweapon\n_chanshou_601_s.spr	\image\item\equip\meleeweapon\n_chanshou_601.spr	13			-1	1	1			2	0	equip	0	0	weapondamagemin_v	5	5	-1	-1	0	0	weapondamagemax_v	10	10	-1	-1	0	0	weaponmagicmin_v	5	5	-1	-1	0	0	weaponmagicmax_v	10	10	-1	-1	0	0																																											5	10											4	staminareplenish_v	50	50																																													1	6																			
La Hán Triền Thủ	La Hán Triền Thủ	11	1	1	1	2	\image\item\equip\meleeweapon\n_chanshou_602_s.spr	\image\item\equip\meleeweapon\n_chanshou_602.spr	13			-1	1	1			2	0	equip	0	0	weapondamagemin_v	25	25	-1	-1	0	0	weapondamagemax_v	30	30	-1	-1	0	0	weaponmagicmin_v	25	25	-1	-1	0	0	weaponmagicmax_v	30	30	-1	-1	0	0																																											5	20											4	staminareplenish_v	50	50																																													1	6																			
Quyền Tông Triền Thủ	Quyền Tông Triền Thủ	11	1	1	1	3	\image\item\equip\meleeweapon\n_chanshou_603_s.spr	\image\item\equip\meleeweapon\n_chanshou_603.spr	13			-1	1	1			2	0	equip	0	0	weapondamagemin_v	45	45	-1	-1	0	0	weapondamagemax_v	50	50	-1	-1	0	0	weaponmagicmin_v	45	45	-1	-1	0	0	weaponmagicmax_v	50	50	-1	-1	0	0																																											5	30											4	staminareplenish_v	50	50																																													1	6																			
Phi Ngư Triền Thủ	Phi Ngư Triền Thủ	11	1	1	1	4	\image\item\equip\meleeweapon\n_chanshou_604_s.spr	\image\item\equip\meleeweapon\n_chanshou_604.spr	13			-1	1	1			2	0	equip	0	0	weapondamagemin_v	65	65	-1	-1	0	0	weapondamagemax_v	70	70	-1	-1	0	0	weaponmagicmin_v	65	65	-1	-1	0	0	weaponmagicmax_v	70	70	-1	-1	0	0																																											5	40											4	staminareplenish_v	50	50					8	deadlystrikeenhance_r	50	50																																					1	6																			
Xuyên Vân Triền Thủ	Xuyên Vân Triền Thủ	11	1	1	1	5	\image\item\equip\meleeweapon\n_chanshou_605_s.spr	\image\item\equip\meleeweapon\n_chanshou_605.spr	13			-1	1	1			2	0	equip	0	0	weapondamagemin_v	85	85	-1	-1	0	0	weapondamagemax_v	90	90	-1	-1	0	0	weaponmagicmin_v	85	85	-1	-1	0	0	weaponmagicmax_v	90	90	-1	-1	0	0																																											5	50											4	staminareplenish_v	50	50					8	deadlystrikeenhance_r	50	50																																					1	6																			
Hàm Quang Triền Thủ	Hàm Quang Triền Thủ	11	1	1	1	6	\image\item\equip\meleeweapon\n_chanshou_606_s.spr	\image\item\equip\meleeweapon\n_chanshou_606.spr	13			-1	1	1			2	0	equip	0	0	weapondamagemin_v	100	100	-1	-1	0	0	weapondamagemax_v	110	110	-1	-1	0	0	weaponmagicmin_v	100	100	-1	-1	0	0	weaponmagicmax_v	110	110	-1	-1	0	0																																											5	60											4	staminareplenish_v	50	50					8	deadlystrikeenhance_r	50	50																																					1	6																			
Huyền Vũ Triền Thủ	Huyền Vũ Triền Thủ	11	1	1	1	7	\image\item\equip\meleeweapon\n_chanshou_607_s.spr	\image\item\equip\meleeweapon\n_chanshou_607.spr	13			-1	1	1			2	0	equip	0	0	weapondamagemin_v	120	120	-1	-1	0	0	weapondamagemax_v	130	130	-1	-1	0	0	weaponmagicmin_v	120	120	-1	-1	0	0	weaponmagicmax_v	130	130	-1	-1	0	0																																											5	70											4	staminareplenish_v	50	50					8	deadlystrikeenhance_r	50	50					10	weaponbasedamagetrim	300	300					12	deadlystrikedamageenhance_p	50	50																					1	6																			
Chu Tước Triền Thủ	Chu Tước Triền Thủ	11	1	1	1	8	\image\item\equip\meleeweapon\n_chanshou_608_s.spr	\image\item\equip\meleeweapon\n_chanshou_608.spr	13			-1	1	1			2	0	equip	0	0	weapondamagemin_v	140	140	-1	-1	0	0	weapondamagemax_v	150	150	-1	-1	0	0	weaponmagicmin_v	140	140	-1	-1	0	0	weaponmagicmax_v	150	150	-1	-1	0	0																																											5	80											4	staminareplenish_v	55	55					8	deadlystrikeenhance_r	55	55					10	weaponbasedamagetrim	310	310					12	deadlystrikedamageenhance_p	55	55																					1	6																			
Bạch Hổ Triền Thủ	Bạch Hổ Triền Thủ	11	1	1	1	9	\image\item\equip\meleeweapon\n_chanshou_609_s.spr	\image\item\equip\meleeweapon\n_chanshou_609.spr	13			-1	1	1			2	0	equip	0	0	weapondamagemin_v	160	160	-1	-1	0	0	weapondamagemax_v	170	170	-1	-1	0	0	weaponmagicmin_v	160	160	-1	-1	0	0	weaponmagicmax_v	170	170	-1	-1	0	0																																											5	90											4	staminareplenish_v	60	60					8	deadlystrikeenhance_r	60	60					10	weaponbasedamagetrim	320	320					12	deadlystrikedamageenhance_p	60	60					14	skilldamageptrim	15	15													1	6																			
Thanh Long Triền Thủ	Thanh Long Triền Thủ	11	1	1	1	10	\image\item\equip\meleeweapon\n_chanshou_610_s.spr	\image\item\equip\meleeweapon\n_chanshou_610.spr	13			-1	1	1			2	0	equip	0	0	weapondamagemin_v	190	190	-1	-1	0	0	weapondamagemax_v	200	200	-1	-1	0	0	weaponmagicmin_v	190	190	-1	-1	0	0	weaponmagicmax_v	200	200	-1	-1	0	0																																											5	100											4	staminareplenish_v	65	65					8	deadlystrikeenhance_r	65	65					10	weaponbasedamagetrim	350	350					12	deadlystrikedamageenhance_p	65	65					14	skilldamageptrim	20	20					16	allskill_v	1	1	1	1			1	6																			
