SuiteID	Name	SuiteNum1	SuiteMA1Name	SuiteMA1PA1	SuiteMA1PA2	SuiteMA1PA3	SuiteNum2	SuiteMA2Name	SuiteMA2PA1	SuiteMA2PA2	SuiteMA2PA3	SuiteNum3	SuiteMA3Name	SuiteMA3PA1	SuiteMA3PA2	SuiteMA3PA3	SuiteNum4	SuiteMA4Name	SuiteMA4PA1	SuiteMA4PA2	SuiteMA4PA3	Head	Body	Belt	Weapon	Foot	Cuff	Amulet	Ring	Necklace	Pendant	Horse	Mask	Book
1	Bộ Tiêu Dao	2	adddefense_v	100	0	0	3	deadlystrikeenhance_r	35	0	0															Tiêu Dao Ngoa	Tiêu Dao Hộ Uyển				Tiêu Dao Ngọc Bội			
2	Bộ Tiêu Dao (Nữ)	2	adddefense_v	100	0	0	3	deadlystrikeenhance_r	35	0	0															Tiêu Dao Đạp Lãng Ngoa	Tiêu Dao Tường Phượng Thủ Trạc				Tiêu Dao Băng Nguyệt Hương Nang			
3	Bộ Võ Lâm Liên Đấu	2	lifemax_v	150	0	0	3	damage_all_resist	45	0	0												Vũ Uy Y					Vũ Uy Hộ Thân Phù	Vũ Uy Giới					
4	Bộ Tranh đoạt lãnh thổ	2	lifemax_p	8	0	0	3	deadlystrikedamageenhance_p	15	0	0											Trục Lộc Thương Khung Quán		Trục Lộc Hoàng Long Triền Yêu						Trục Lộc Thiên Hựu Liên				
5	Bộ Thủy Hoàng	2	allseriesstateresisttime	50	0	0	3	damage_all_resist	45	0	0												Thủy Hoàng Y				Thủy Hoàng Hộ Uyển				Thủy Hoàng Yêu Trụy			
6	Bộ Tinh Thông	3	damage_all_resist	55	0	0	5	allseriesstateresisttime	55	0	0	7	deadlystrikedamageenhance_p	25	0	0	9	adddefense_v	55	0	0													
9	Bộ Hoàn Mỹ	3	damage_all_resist	120	0	0	5	allseriesstateresisttime	120	0	0	7	deadlystrikedamageenhance_p	50	0	0	9	adddefense_v	120	0	0													
10	Bộ Huyền Thoại	3	damage_all_resist	140	0	0	5	allseriesstateresisttime	140	0	0	7	deadlystrikedamageenhance_p	55	0	0	9	allskill_v	1	1	896													
11	Bộ Thiên Ngự Sương Tinh	3	damage_all_resist	200	0	0	5	allseriesstateresisttime	160	0	0	7	deadlystrikedamageenhance_p	70	0	0	9	allskill_v	1	1	896													
12	Bộ Thiên Ngự Dạ Nguyệt	3	damage_all_resist	250	0	0	5	allseriesstateresisttime	180	0	0	7	deadlystrikedamageenhance_p	80	0	0	9	allskill_v	2	2	896													
13	Bộ Thiên Ngự Diệu Dương	3	damage_all_resist	300	0	0	5	allseriesstateresisttime	200	0	0	7	deadlystrikedamageenhance_p	90	0	0	9	allskill_v	2	2	896													
14	Bộ Bát Hoang Sương Tinh	3	damage_all_resist	400	0	0	5	allseriesstateresisttime	220	0	0	7	deadlystrikedamageenhance_p	100	0	0	9	allskill_v	3	3	896													
15	Bộ Bát Hoang Dạ Nguyệt	3	damage_all_resist	500	0	0	5	allseriesstateresisttime	240	0	0	7	deadlystrikedamageenhance_p	110	0	0	9	allskill_v	3	3	896													
16	Bộ Bát Hoang Diệu Dương	3	damage_all_resist	700	0	0	5	allseriesstateresisttime	260	0	0	7	deadlystrikedamageenhance_p	120	0	0	9	allskill_v	4	4	896													
17	Mạn Đà Nhị Phẩm	3	damage_all_resist	210	0	0	5	allseriesstateresisttime	170	0	0	7	deadlystrikedamageenhance_p	80	0	0	9	allskill_v	1	1	896													
18	Mạn Đà Nhất Phẩm	3	damage_all_resist	220	0	0	5	allseriesstateresisttime	180	0	0	7	deadlystrikedamageenhance_p	90	0	0	9	allskill_v	1	1	896													
19	Hoàng Kim Hiệp Lữ	3	damage_all_resist	850	0	0	5	allseriesstateresisttime	300	0	0	7	deadlystrikedamageenhance_p	130	0	0	9	allskill_v	1	1	1751													
20	Hoàng Kim Hiệp Lữ	3	damage_all_resist	850	0	0	5	allseriesstateresisttime	300	0	0	7	deadlystrikedamageenhance_p	130	0	0	9	allskill_v	1	1	1751													
21	Độc Lãng Tiêu Dao	3	damage_all_resist	850	0	0	5	allseriesstateresisttime	300	0	0	7	deadlystrikedamageenhance_p	130	0	0	9	allskill_v	1	1	1752													
