ClassParamID	Desc	Probability	Name	BindMoney	Money	Coin	Genre	DetailType	ParticularType	Level	Series	EnhTimes	Amount	Exp	BaseExp	MKP	GTP	Bind	TimeLimit	Announce	FriendMsg
Vật phẩm ExtParam1	Bảo rương ngẫu nhiên	Tỷ lệ	Vật phẩm	Bạc khóa	Bạc	Đồng khóa	Genre	DetailType	ParticularType	Level	Series	Cường hóa	Số lượng	Kinh nghiệm	Kinh nghiệm chuẩn	Tinh lực	Hoạt lực	Khóa	Hiệu lực (giống quy cách ItemTimeOut)	Thông cáo thế giới	Thông cáo hảo hữu
1	Rương thi đấu môn phái	800	Lệnh bài thi đấu môn phái (sơ)				18	1	81	1	0	0									
1	Rương thi đấu môn phái	400	Lệnh bài thi đấu môn phái (trung)				18	1	81	2	0	0									
1	Rương thi đấu môn phái	200	Lệnh bài thi đấu môn phái (cao)				18	1	81	3	0	0									
1	Rương thi đấu môn phái	1500	Bạc		10000																
1	Rương thi đấu môn phái	500	Bạc		20000																
1	Rương thi đấu môn phái	300	Bạc		30000																
1	Rương thi đấu môn phái	200	Bạc		50000																
1	Rương thi đấu môn phái	100	Bạc		100000																
1	Rương thi đấu môn phái	3000	Huyền Tinh Cấp 5				18	1	1	5	0	0									
1	Rương thi đấu môn phái	2000	Huyền Tinh có vết nứt (cấp 6)				18	1	1	6	0	0									
1	Rương thi đấu môn phái	1000	Huyền Tinh thường (cấp 7)				18	1	1	7	0	0									
2	家族关卡宝箱	1000	家族令牌（初级）				18	1	110	1	0	0									
2	家族关卡宝箱	500	家族令牌（中级）				18	1	110	2	0	0									
2	家族关卡宝箱	300	家族令牌（高级）				18	1	110	3	0	0									
2	家族关卡宝箱	5000	5级玄晶				18	1	1	5	0	0						1			
2	家族关卡宝箱	3090	6级玄晶				18	1	1	6	0	0						1			
2	家族关卡宝箱	100	7级玄晶				18	1	1	7	0	0						1			
2	家族关卡宝箱	10	8级玄晶				18	1	1	8	0	0						1			
3	盛夏家族黑铁宝箱	7000	6级玄晶				18	1	1	6	0	0									
3	盛夏家族黑铁宝箱	2000	JXB100000		100000																
3	盛夏家族黑铁宝箱	1000	7级玄晶				18	1	1	7	0	0									
4	盛夏家族青铜宝箱	8400	7级玄晶				18	1	1	7	0	0									
4	盛夏家族青铜宝箱	1500	JXB300000		300000																
4	盛夏家族青铜宝箱	100	8级玄晶				18	1	1	8	0	0									
5	盛夏家族白银宝箱	7700	7级玄晶				18	1	1	7	0	0									
5	盛夏家族白银宝箱	1500	JXB600000		600000																
5	盛夏家族白银宝箱	800	8级玄晶				18	1	1	8	0	0									
6	盛夏家族黄金宝箱	8700	8级玄晶				18	1	1	8	0	0									
6	盛夏家族黄金宝箱	1000	JXB1000000		1000000																
6	盛夏家族黄金宝箱	300	9级玄晶				18	1	1	9	0	0									
7	军饷袋	200	牛栏寨腰牌				20	1	485	1	0	0									
7	军饷袋	800	迷宫钥匙				20	1	486	1	0	0									
7	军饷袋	100	骨玉图腾				20	1	487	1	0	0									
7	军饷袋	500	熟牛肉				20	1	488	1	0	0									
7	军饷袋	400	烤鹌鹑				20	1	488	2	0	0									
7	军饷袋	4500	10000经验											10000							
7	军饷袋	1500	300绑定银两	300																	
7	军饷袋	2000	8个绑定魂石				18	1	205	1	0	0	8					1			
8	金山二十周年庆典包	3879	4级玄晶				18	1	1	4	0	0						1			
8	金山二十周年庆典包	1000	5级玄晶				18	1	1	5	0	0						1			
8	金山二十周年庆典包	100	6级玄晶				18	1	1	6	0	0						1		1	1
8	金山二十周年庆典包	10	7级玄晶				18	1	1	7	0	0						1		1	1
8	金山二十周年庆典包	1	8级玄晶				18	1	1	8	0	0						1		1	1
8	金山二十周年庆典包	3000	二十载百炼丹				18	1	257	1	0	0							43200		
8	金山二十周年庆典包	10	秘境地图				18	1	251	1	0	0						1		1	1
8	金山二十周年庆典包	400	仙灵原木				22	1	35	1	0	0									
8	金山二十周年庆典包	400	仙灵果				22	1	43	1	0	0									
8	金山二十周年庆典包	400	灵兽毛皮				22	1	37	1	0	0									
8	金山二十周年庆典包	400	紫晶原石				22	1	41	1	0	0									
8	金山二十周年庆典包	400	灵兽血				22	1	39	1	0	0									
8	金山二十周年庆典包		绑金			500												1			
9	联赛礼包	4790	4级玄晶				18	1	1	4	0	0						1			
9	联赛礼包	3600	5级玄晶				18	1	1	5	0	0						1			
9	联赛礼包	1500	6级玄晶				18	1	1	6	0	0						1			
9	联赛礼包	100	7级玄晶				18	1	1	7	0	0						1		1	1
9	联赛礼包	10	8级玄晶				18	1	1	8	0	0						1		1	1
9	联赛礼包		黄金福袋				18	1	80	1	0	0						1			
9	联赛礼包		黄金福袋				18	1	80	1	0	0						1			
10	领土争夺战宝箱	2000	玄铁原木				18	1	1332	3	0										
10	领土争夺战宝箱	2000	战虎毛皮				18	1	1333	1	0										
10	领土争夺战宝箱	2000	空白黄纸				18	1	1331	1	0										
10	领土争夺战宝箱	2000	镇魄原石				18	1	1331	2	0										
10	领土争夺战宝箱	2000	黄梅果				18	1	1334	1	0										
11	家族活跃宝箱	1200	JXB50000	50000																	
11	家族活跃宝箱	500	JXB100000	100000																	
11	家族活跃宝箱	200	JXB150000	150000																	
11	家族活跃宝箱	7469	6级玄晶				18	1	114	6	0	0									
11	家族活跃宝箱	600	7级玄晶				18	1	114	7	0	0									
11	家族活跃宝箱	30	8级玄晶				18	1	114	8	0	0									
11	家族活跃宝箱	1	9级玄晶				18	1	114	9	0	0									
12	年兽宝箱	517	4级玄晶（绑定的）				18	1	114	4	0										
12	年兽宝箱	200	5级玄晶（绑定的）				18	1	114	5	0										
12	年兽宝箱	30	6级玄晶（绑定的）				18	1	114	6	0										
12	年兽宝箱	3	7级玄晶（绑定的）				18	1	114	7	0										1
12	年兽宝箱	150	10000绑银	10000																	
12	年兽宝箱	60	20000绑银	20000																	
12	年兽宝箱	20	50000绑银	50000																	
12	年兽宝箱	5	100000绑银	100000																	
12	年兽宝箱	5	引魂雾(绑定的)				18	1	277	1	0							1			1
12	年兽宝箱	10	红粉莲花(不绑定)				18	1	280	1	0										
13	雪仗胜者宝箱	467	5级玄晶（绑定的）				18	1	114	5	0										
13	雪仗胜者宝箱	150	6级玄晶（绑定的）				18	1	114	6	0										
13	雪仗胜者宝箱	30	7级玄晶（绑定的）				18	1	114	7	0										1
13	雪仗胜者宝箱	10	8级玄晶（绑定的）				18	1	114	8	0									1	1
13	雪仗胜者宝箱	200	20000绑银	20000																	
13	雪仗胜者宝箱	100	50000绑银	50000																	
13	雪仗胜者宝箱	30	100000绑银	100000																	
