Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Bích Huyết Hộ Thân Phù	Lv.1	1	5	23	1	1	\image\item\partnerequip\amulet\partner_lv1_3_s.spr	\image\item\partnerequip\amulet\partner_lv1_3.spr	25	Hộ phù đồng hành_cấp 1		0	1	50000000			0	1	equip	0	0	lifereplenish_v	1000	1000					manareplenish_v	1000	1000					staminareplenish_v	1000	1000																																																						5	100										
Kim Lân Hộ Thân Phù	Lv.2	1	5	23	1	2	\image\item\partnerequip\amulet\partner_lv2_3_s.spr	\image\item\partnerequip\amulet\partner_lv2_3.spr	25	Hộ phù đồng hành_cấp 2		0	1	150000000			0	1	equip	0	0	lifereplenish_v	1200	1200					manareplenish_v	1200	1200					staminareplenish_v	1200	1200																																																						5	100										
Đơn Tâm Hộ Thân Phù	Lv.3	1	5	23	1	3	\image\item\partnerequip\amulet\partner_lv3_3_s.spr	\image\item\partnerequip\amulet\partner_lv3_3.spr	25	Hộ phù đồng hành_cấp 3		0	1	450000000			0	1	equip	0	0	lifereplenish_v	1400	1400					manareplenish_v	1400	1400					staminareplenish_v	1400	1400																																																						5	100										
Hoàng Kim Hộ Thân Phù	Lv.4	1	5	23	1	5	\image\item\partnerequip\amulet\partner_lv3_3_s.spr	\image\item\partnerequip\amulet\partner_lv3_3.spr	25	Hộ phù đồng hành_cấp 4		0	1	850000000			1	1	equip	0	0	lifereplenish_v	1600	1600					manareplenish_v	1600	1600					staminareplenish_v	1600	1600																																																						5	100										
Hào Hiệp Hộ Thân Phù	Lv.5	1	5	23	2	5	\image\item\partnerequip\dopet\phupet4.spr	\image\item\partnerequip\dopet\phupet4_v.spr	25	Hộ phù đồng hành_cấp 5		0	1	4500000000			1	1	equip	0	0	lifereplenish_v	1800	1800					manareplenish_v	1800	1800					staminareplenish_v	1800	1800																																																						5	100										
Truyền Kỳ Hộ Thần Phù	Lv.6	1	5	23	3	5	\image\item\PET\icon\phupet5.spr	\image\item\PET\view\phupet5_v.spr	9	Hộ phù đồng hành_cấp 6		0	1	6000000000			1	1	equip	0	0	lifereplenish_v	2000	2000					manareplenish_v	2000	2000					staminareplenish_v	2000	2000																																																																	
Kim Vân Phù	Lv.7	1	5	23	4	5	\image\item\PET\icon\phupet55_v.spr	\image\item\PET\view\phupet55.spr	9	Hộ phù đồng hành_cấp 7		0	1	6000000000			1	1	equip	0	0	lifereplenish_v	2200	2200					manareplenish_v	2200	2200					staminareplenish_v	2200	2200																																																						5	100										
Bích Ngọc Phù	Lv.8	1	5	23	5	5	\image\item\partnerequip\pendant\partner_pendant_lv1_s.spr	\image\item\partnerequip\pendant\partner_pendant_lv1.spr	9	Hộ phù đồng hành_cấp 8		0	1	6000000000			1	1	equip	0	0	lifereplenish_v	2400	2400					manareplenish_v	2400	2400					staminareplenish_v	2400	2400																																																						5	100										
Lưu Ly Phù	Lv.9	1	5	23	6	5	\image\item\partnerequip\pendant\partner_pendant_lv2_s.spr	\image\item\partnerequip\pendant\partner_pendant_lv2.spr	9	Hộ phù đồng hành_cấp 9		0	1	6000000000			1	1	equip	0	0	lifereplenish_v	2600	2600					manareplenish_v	2600	2600					staminareplenish_v	2600	2600																																																						5	100										
Độc Nhất-(Skulll_No.1)	Lv.10	1	5	23	10	5	\setting\Immagine\item\DongHanh\TrungChauVoCuc_DH_Phu00.spr	\setting\Immagine\item\DongHanh\TrungChauVoCuc_DH_Phu01.spr	9	Đồng Hành Phù Trung Châu Vô Cực		0	1	6000000000			1	1	equip	0	0	lifereplenish_v	2800	2800					manareplenish_v	2800	2800					staminareplenish_v	2800	2800																																																						5	100										
