Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Bích Huyết Chiến Y	Lv.1	1	5	20	1	1	\image\item\partnerequip\body\partner_lv1_2_s.spr	\image\item\partnerequip\body\partner_lv1_2.spr	20	Áo đồng hành_cấp 1		0	1	50000000			0	1	equip	0	0	manamax_p	1	1					defencedeadlystrikedamagetrim	2	2					lifemax_v	1000	1000					manareplenish_p	1	1					lifereplenish_p	10	10																																								5	100										
Kim Lân Chiến Y	Lv.2	1	5	20	1	2	\image\item\partnerequip\body\partner_lv2_2_s.spr	\image\item\partnerequip\body\partner_lv2_2.spr	20	Áo đồng hành_cấp 2		0	1	150000000			0	1	equip	0	0	manamax_p	2	2					defencedeadlystrikedamagetrim	4	4					lifemax_v	1200	1200					manareplenish_p	2	2					lifereplenish_p	15	15																																								5	100										
Đơn Tâm Chiến Y	Lv.3	1	5	20	1	3	\image\item\partnerequip\body\partner_lv3_2_s.spr	\image\item\partnerequip\body\partner_lv3_2.spr	20	Áo đồng hành_cấp 3		0	1	450000000			0	1	equip	0	0	manamax_p	3	3					defencedeadlystrikedamagetrim	6	6					lifemax_v	1400	1400					manareplenish_p	3	3					lifereplenish_p	14	14																																								5	100										
Hào Hiệp Chiến Y	Lv.4	1	5	20	1	5	\image\item\partnerequip\dopet\aopet4.spr	\image\item\partnerequip\dopet\aopet4_v.spr	20	Áo đồng hành_cấp 4		0	1	1500000000			1	1	equip	0	0	manamax_p	4	4					defencedeadlystrikedamagetrim	8	8					lifemax_v	1600	1600					manareplenish_p	4	4					lifereplenish_p	16	16																																								5	100										
Truyền Kỳ Chiến Y	Lv.5	1	5	20	2	5	\image\item\partnerequip\dopet\aopet5.spr	\image\item\partnerequip\dopet\aopet5_v.spr	9	Áo đồng hành_cấp 5		0	1	2500000000			1	1	equip	0	0	manamax_p	5	5					defencedeadlystrikedamagetrim	10	10					lifemax_v	1800	1800					manareplenish_p	5	5					lifereplenish_p	18	18																																								5	100										
Truyền Kỳ Chiến Y + 1	Lv.6	1	5	20	3	5	\image\item\partnerequip\dopet\aopet5.spr	\image\item\partnerequip\dopet\aopet5_v.spr	9	Áo đồng hành_cấp 6		0	1	2500000000			1	1	equip	0	0	manamax_p	6	6					defencedeadlystrikedamagetrim	12	12					lifemax_v	2000	2000					manareplenish_p	6	6					lifereplenish_p	20	20																																								5	100										
Truyền Kỳ Chiến Y + 2	Lv.7	1	5	20	4	5	\image\item\partnerequip\dopet\aopet5.spr	\image\item\partnerequip\dopet\aopet5_v.spr	9	Áo đồng hành_cấp 7		0	1	2500000000			1	1	equip	0	0	manamax_p	7	7					defencedeadlystrikedamagetrim	14	14					lifemax_v	2200	2200					manareplenish_p	7	7					lifereplenish_p	22	22																																								5	100										
Huyết Diễm Y	Lv.8	1	5	20	5	5	\image\item\PET\icon\aopet6.spr	\image\item\PET\view\aopet6_v.spr	9	Áo đồng hành_cấp 8		0	1	2500000000			1	1	equip	0	0	manamax_p	8	8					defencedeadlystrikedamagetrim	16	16					lifemax_v	2400	2400					manareplenish_p	8	8					lifereplenish_p	24	24																																								5	100										
Hỏa Vân Y	Lv.9	1	5	20	6	5	\image\item\PET\icon\aopet55_v.spr	\image\item\PET\view\aopet55.spr	9	Áo đồng hành_cấp 9		0	1	2500000000			1	1	equip	0	0	manamax_p	9	9					defencedeadlystrikedamagetrim	18	18					lifemax_v	2600	2600					manareplenish_p	9	9					lifereplenish_p	26	26																																								5	100										
Độc Nhất-(Skulll_No.1)	Lv.10	1	5	20	10	5	\setting\Immagine\item\DongHanh\TrungChauVoCuc_DH_Ao00.spr	\setting\Immagine\item\DongHanh\TrungChauVoCuc_DH_Ao01.spr	9	Đồng Hành Áo Trung Châu Vô Cực		0	1	2500000000			1	1	equip	0	0	manamax_p	10	10					defencedeadlystrikedamagetrim	20	20					lifemax_v	2800	2800					manareplenish_p	10	10					lifereplenish_p	28	28																																								5	100										
Thanh Hạ Y Phục	Lv.11	1	5	20	12	5	\setting\Immagine\item\DongHanh\DH_12_Ao_00.spr	\setting\Immagine\item\DongHanh\DH_12_Ao_01.spr	9	Y Phục đồng hành Cấp 12		0	1	2500000000			1	1	equip	0	0	manamax_p	11	11					defencedeadlystrikedamagetrim	22	22					lifemax_v	3000	3000					manareplenish_p	11	11					lifereplenish_p	30	30																																								5	100										
Giáp Cơ Bào	Lv.12	1	5	20	7	5	\image\item\PET\icon\aopet77.spr	\image\item\PET\view\aopet77_v.spr	9	Áo đồng hành_cấp 10		0	1	2500000000			1	1	equip	0	0	manamax_p	12	12					defencedeadlystrikedamagetrim	24	24					lifemax_v	3200	3200					manareplenish_p	12	12					lifereplenish_p	32	32																																								5	100										
Hiệp Khách Y	Lv.13	1	5	20	8	5	\image\item\PET\icon\aopet77.spr	\image\item\PET\view\aopet77_v.spr	9	Áo đồng hành_cấp 11		0	1	2500000000			1	1	equip	0	0	manamax_p	13	13					defencedeadlystrikedamagetrim	26	26					lifemax_v	3400	3400					manareplenish_p	13	13					lifereplenish_p	34	34																																								5	100										
Áo đồng hành_cấp 12	Lv.14	1	5	20	9	5	\image\item\PET\icon\aopet77.spr	\image\item\PET\view\aopet77_v.spr	9	Áo đồng hành_cấp 12		0	1	2500000000			1	1	equip	0	0	manamax_p	14	14					defencedeadlystrikedamagetrim	28	28					lifemax_v	3600	3600					manareplenish_p	14	14					lifereplenish_p	36	36																																								5	100										
Thương Phong Y 13	Lv.15	1	5	20	13	5	\setting\Immagine\item\DongHanh\DHMoi_Ao_00.spr	\setting\Immagine\item\DongHanh\DHMoi_Ao_01.spr	9	Y Phục đồng hành Cấp 13		0	1	2500000000			1	1	equip	0	0	manamax_p	15	15					defencedeadlystrikedamagetrim	30	30					lifemax_v	3800	3800					manareplenish_p	15	15					lifereplenish_p	38	38					damage_physics_resist	2	2					damage_poison_resist	2	2					damage_cold_resist	2	2					damage_fire_resist	2	2					damage_light_resist	2	2					5	100										
Thương Phong Y 14	Lv.16	1	5	20	14	5	\setting\Immagine\item\DongHanh\DHMoi_Ao_00.spr	\setting\Immagine\item\DongHanh\DHMoi_Ao_01.spr	9	Y Phục đồng hành Cấp 14		0	1	2500000000			1	1	equip	0	0	manamax_p	16	16					defencedeadlystrikedamagetrim	32	32					lifemax_v	4000	4000					manareplenish_p	16	16					lifereplenish_p	40	40					damage_physics_resist	4	4					damage_poison_resist	4	4					damage_cold_resist	4	4					damage_fire_resist	4	4					damage_light_resist	4	4					5	100										
Thương Phong Y 15	Lv.17	1	5	20	15	5	\setting\Immagine\item\DongHanh\DHMoi_Ao_00.spr	\setting\Immagine\item\DongHanh\DHMoi_Ao_01.spr	9	Y Phục đồng hành Cấp 15		0	1	2500000000			1	1	equip	0	0	manamax_p	17	17					defencedeadlystrikedamagetrim	34	34					lifemax_v	4200	4200					manareplenish_p	17	17					lifereplenish_p	42	42					damage_physics_resist	6	6					damage_poison_resist	6	6					damage_cold_resist	6	6					damage_fire_resist	6	6					damage_light_resist	6	6					5	100										
Thương Phong Y 16	Lv.18	1	5	20	16	5	\setting\Immagine\item\DongHanh\DHMoi_Ao_00.spr	\setting\Immagine\item\DongHanh\DHMoi_Ao_01.spr	9	Y Phục đồng hành Cấp 16		0	1	2500000000			1	1	equip	0	0	manamax_p	18	18					defencedeadlystrikedamagetrim	36	36					lifemax_v	4400	4400					manareplenish_p	18	18					lifereplenish_p	44	44					damage_physics_resist	8	8					damage_poison_resist	8	8					damage_cold_resist	8	8					damage_fire_resist	8	8					damage_light_resist	8	8					5	100										
Thương Phong Y 17	Lv.19	1	5	20	17	5	\setting\Immagine\item\DongHanh\DHMoi_Ao_00.spr	\setting\Immagine\item\DongHanh\DHMoi_Ao_01.spr	9	Y Phục đồng hành Cấp 17		0	1	2500000000			1	1	equip	0	0	manamax_p	19	19					defencedeadlystrikedamagetrim	38	38					lifemax_v	4600	4600					manareplenish_p	19	19					lifereplenish_p	46	46					damage_physics_resist	10	10					damage_poison_resist	10	10					damage_cold_resist	10	10					damage_fire_resist	10	10					damage_light_resist	10	10					5	100										
Thương Phong Y 18	Lv.20	1	5	20	18	5	\setting\Immagine\item\DongHanh\DHMoi_Ao_00.spr	\setting\Immagine\item\DongHanh\DHMoi_Ao_01.spr	9	Y Phục đồng hành Cấp 18		0	1	2500000000			1	1	equip	0	0	manamax_p	20	20					defencedeadlystrikedamagetrim	40	40					lifemax_v	4800	4800					manareplenish_p	20	20					lifereplenish_p	48	48					damage_physics_resist	12	12					damage_poison_resist	12	12					damage_cold_resist	12	12					damage_fire_resist	12	12					damage_light_resist	12	12					5	100										
Thương Phong Y 19	Lv.21	1	5	20	19	5	\setting\Immagine\item\DongHanh\DHMoi_Ao_00.spr	\setting\Immagine\item\DongHanh\DHMoi_Ao_01.spr	9	Y Phục đồng hành Cấp 19		0	1	2500000000			1	1	equip	0	0	manamax_p	21	21					defencedeadlystrikedamagetrim	42	42					lifemax_v	5000	5000					manareplenish_p	21	21					lifereplenish_p	50	50					damage_physics_resist	14	14					damage_poison_resist	14	14					damage_cold_resist	14	14					damage_fire_resist	14	14					damage_light_resist	14	14					5	100										
Thương Phong Y 20	Lv.22	1	5	20	20	5	\setting\Immagine\item\DongHanh\DHMoi_Ao_00.spr	\setting\Immagine\item\DongHanh\DHMoi_Ao_01.spr	9	Y Phục đồng hành Cấp 20		0	1	2500000000			1	1	equip	0	0	manamax_p	22	22					defencedeadlystrikedamagetrim	44	44					lifemax_v	5200	5200					manareplenish_p	22	22					lifereplenish_p	52	52					damage_physics_resist	16	16					damage_poison_resist	16	16					damage_cold_resist	16	16					damage_fire_resist	16	16					damage_light_resist	16	16					5	100										
Thương Phong Y Lv.21	Lv.23	1	5	20	21	5	\setting\Immagine\item\DongHanh\DHMoi_Ao_00.spr	\setting\Immagine\item\DongHanh\DHMoi_Ao_01.spr	9	<bclr=0,0,200><color=white>Tân Niên Hiệp Khách<color>		0	1	2500000000			1	1	equip	0	0	manamax_p	23	23					defencedeadlystrikedamagetrim	46	46					lifemax_v	5400	5400					manareplenish_p	23	23					lifereplenish_p	54	54					damage_physics_resist	18	18					damage_poison_resist	18	18					damage_cold_resist	18	18					damage_fire_resist	18	18					damage_light_resist	18	18					5	100										
Thương Phong Y Lv.22	Lv.24	1	5	20	22	5	\setting\Immagine\item\DongHanh\DHMoi_Ao_00.spr	\setting\Immagine\item\DongHanh\DHMoi_Ao_01.spr	9	<bclr=0,0,200><color=white>Tân Niên Hiệp Khách<color>		0	1	2500000000			1	1	equip	0	0	manamax_p	24	24					defencedeadlystrikedamagetrim	48	48					lifemax_v	5600	5600					manareplenish_p	24	24					lifereplenish_p	56	56					damage_physics_resist	20	20					damage_poison_resist	20	20					damage_cold_resist	20	20					damage_fire_resist	20	20					damage_light_resist	20	20					5	100										
Thương Phong Y Lv.23	Lv.25	1	5	20	23	5	\setting\Immagine\item\DongHanh\DHMoi_Ao_00.spr	\setting\Immagine\item\DongHanh\DHMoi_Ao_01.spr	9	<bclr=0,0,200><color=white>Tân Niên Hiệp Khách<color>		0	1	2500000000			1	1	equip	0	0	manamax_p	25	25					defencedeadlystrikedamagetrim	50	50					lifemax_v	5800	5800					manareplenish_p	25	25					lifereplenish_p	58	58					damage_physics_resist	22	22					damage_poison_resist	22	22					damage_cold_resist	22	22					damage_fire_resist	22	22					damage_light_resist	22	22					5	100										
Thương Phong Y Lv.24	Lv.26	1	5	20	24	5	\setting\Immagine\item\DongHanh\DHMoi_Ao_00.spr	\setting\Immagine\item\DongHanh\DHMoi_Ao_01.spr	9	<bclr=0,0,200><color=white>Tân Niên Hiệp Khách<color>		0	1	2500000000			1	1	equip	0	0	manamax_p	26	26					defencedeadlystrikedamagetrim	52	52					lifemax_v	6000	6000					manareplenish_p	26	26					lifereplenish_p	60	60					damage_physics_resist	24	24					damage_poison_resist	24	24					damage_cold_resist	24	24					damage_fire_resist	24	24					damage_light_resist	24	24					5	100										
