Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Bích Huyết Hộ Uyển	Lv.1	1	5	22	1	1	\image\item\partnerequip\cuff\partner_cuff_01_s.spr	\image\item\partnerequip\cuff\partner_cuff_01.spr	9	Đồng Hành Hộ Uyển_cấp 1		0	1	50000000			0	1	equip	0	0	damage_all_resist	50	50					lifereplenish_p	10	10																																																													5	100										
Kim Lân Hộ Uyển	Lv.2	1	5	22	1	2	\image\item\partnerequip\cuff\partner_cuff_02_s.spr	\image\item\partnerequip\cuff\partner_cuff_02.spr	9	Đồng Hành Hộ Uyển_cấp 2		0	1	150000000			0	1	equip	0	0	damage_all_resist	55	55					lifereplenish_p	15	15																																																													5	100										
Đan Tâm Hộ Uyển	Lv.3	1	5	22	1	3	\image\item\partnerequip\cuff\partner_cuff_03_s.spr	\image\item\partnerequip\cuff\partner_cuff_03.spr	9	Đồng Hành Hộ Uyển_cấp 3		0	1	450000000			0	1	equip	0	0	damage_all_resist	60	60					lifereplenish_p	14	14																																																													5	100										
Hào Hiệp Hộ Uyển	Lv.4	1	5	22	1	5	\image\item\partnerequip\dopet\taypet4.spr	\image\item\partnerequip\dopet\taypet4_v.spr	9	Đồng Hành Hộ Uyển_cấp 4		0	1	1500000000			1	1	equip	0	0	damage_all_resist	65	65					lifereplenish_p	16	16					lifemax_v	1000	1000																																																						5	100										
Truyền Kỳ Hộ Uyển	Lv.5	1	5	22	2	5	\image\item\partnerequip\dopet\taypet5.spr	\image\item\partnerequip\dopet\taypet5_v.spr	9	Đồng Hành Hộ Uyển_cấp 5		0	1	2500000000			1	1	equip	0	0	damage_all_resist	70	70					lifereplenish_p	18	18					lifemax_v	1200	1200																																																						5	100										
Truyền Kỳ Hộ Uyển + 1	Lv.6	1	5	22	3	5	\image\item\partnerequip\dopet\taypet5.spr	\image\item\partnerequip\dopet\taypet5_v.spr	9	Đồng Hành Hộ Uyển_cấp 6		0	1	2500000000			1	1	equip	0	0	damage_all_resist	75	75					lifereplenish_p	20	20					lifemax_v	1400	1400																																																						5	100										
Hỏa Lân Uyển	Lv.7	1	5	22	4	5	\image\item\PET\why\baotaypet81.spr	\image\item\PET\why\baotaypet80.spr	9	Đồng Hành Hộ Uyển_cấp 7		0	1	2500000000			1	1	equip	0	0	damage_all_resist	80	80					lifereplenish_p	22	22					lifemax_v	1600	1600																																																						5	100										
Huyền Thoại Uyển	Lv.8	1	5	22	5	5	\image\item\PET\icon\taypet6.spr	\image\item\PET\view\taypet6_v.spr	9	Đồng Hành Hộ Uyển_cấp 8		0	1	2500000000			1	1	equip	0	0	damage_all_resist	85	85					lifereplenish_p	24	24					lifemax_v	1800	1800																																																						5	100										
Xích Tà Uyển	Lv.9	1	5	22	6	5	\image\item\PET\icon\taypet7.spr	\image\item\PET\view\taypet7_v.spr	9	Đồng Hành Hộ Uyển_cấp 9		0	1	2500000000			1	1	equip	0	0	damage_all_resist	90	90					lifereplenish_p	26	26					lifemax_v	2000	2000																																																						5	100										
Độc Nhất-(Skulll_No.1)	Lv.10	1	5	22	10	5	\setting\Immagine\item\DongHanh\TrungChauVoCuc_DH_Tay00.spr	\setting\Immagine\item\DongHanh\TrungChauVoCuc_DH_Tay01.spr	9	Đồng Hành Tay Trung Châu Vô Cực		0	1	2500000000			1	1	equip	0	0	damage_all_resist	95	95					lifereplenish_p	28	28					lifemax_v	2200	2200					attackrating_p	1	1	-1	-1	0	0	damage_fire_receive_p	-1	-1	-1	-1	0	0	damage_physics_receive_p	-1	-1	-1	-1	0	0	damage_light_receive_p	-1	-1	-1	-1	0	0	damage_poison_receive_p	-1	-1	-1	-1	0	0	damage_cold_receive_p	-1	-1	-1	-1	0	0								5	100										
