Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Bích Huyết Chi Giới	Lv.1	1	5	21	1	1	\image\item\partnerequip\ring\partner_ring_01_s.spr	\image\item\partnerequip\ring\partner_ring_01.spr	9	Nhẫn đồng hành_cấp 1		0	1	50000000			0	1	equip	0	0	addphysicsdamage_p	1	1					addphysicsmagic_p	1	1					manareplenish_p	1	1																																																						5	100										
Kim Lân Chi Giới	Lv.2	1	5	21	1	2	\image\item\partnerequip\ring\partner_ring_02_s.spr	\image\item\partnerequip\ring\partner_ring_02.spr	9	Nhẫn đồng hành_cấp 2		0	1	150000000			0	1	equip	0	0	addphysicsdamage_p	1	1					addphysicsmagic_p	1	1					manareplenish_p	2	2																																																						5	100										
Đan Tâm Chi Giới	Lv.3	1	5	21	1	3	\image\item\partnerequip\ring\partner_ring_03_s.spr	\image\item\partnerequip\ring\partner_ring_03.spr	9	Nhẫn đồng hành_cấp 3		0	1	450000000			0	1	equip	0	0	addphysicsdamage_p	1	1					addphysicsmagic_p	1	1					manareplenish_p	3	3																																																						5	100										
Hào Hiệp Chi Giới	Lv.4	1	5	21	1	5	\image\item\partnerequip\dopet\nhanpet4.spr	\image\item\partnerequip\dopet\nhanpet4_v.spr	9	Nhẫn đồng hành_cấp 4		0	1	1500000000			1	1	equip	0	0	addphysicsdamage_p	1	1					addphysicsmagic_p	1	1					manareplenish_p	4	4					skilldamageptrim	1	1																																															5	100										
Truyền Kỳ Chi Giới	Lv.5	1	5	21	2	5	\image\item\partnerequip\dopet\nhanpet5.spr	\image\item\partnerequip\dopet\nhanpet5_v.spr	9	Nhẫn đồng hành_cấp 5		0	1	2500000000			1	1	equip	0	0	addphysicsdamage_p	1	1					addphysicsmagic_p	1	1					manareplenish_p	5	5					skilldamageptrim	1	1																																															5	100										
Truyền Kỳ Chi Giới +1	Lv.6	1	5	21	3	5	\image\item\partnerequip\dopet\nhanpet5.spr	\image\item\partnerequip\dopet\nhanpet5_v.spr	9	Nhẫn đồng hành_cấp 6		0	1	2500000000			1	1	equip	0	0	addphysicsdamage_p	2	2					addphysicsmagic_p	2	2					manareplenish_p	6	6					skilldamageptrim	1	1																																															5	100										
Kim Quang Giới	Lv.7	1	5	21	4	5	\image\item\PET\why\nhanpet81.spr	\image\item\PET\why\nhanpet80.spr	9	Nhẫn đồng hành_cấp 7		0	1	2500000000			1	1	equip	0	0	addphysicsdamage_p	2	2					addphysicsmagic_p	2	2					manareplenish_p	7	7					skilldamageptrim	1	1																																															5	100										
Bích Kim Giới	Lv.8	1	5	21	5	5	\image\item\PET\icon\nhanpet55_v.spr	\image\item\PET\view\nhanpet55.spr	9	Nhẫn đồng hành_cấp 8		0	1	2500000000			1	1	equip	0	0	addphysicsdamage_p	2	2					addphysicsmagic_p	2	2					manareplenish_p	8	8					skilldamageptrim	1	1																																															5	100										
Hoàng Tà Giới	Lv.9	1	5	21	6	5	\image\item\PET\icon\nhanpet66.spr	\image\item\PET\view\nhanpet66_v.spr	9	Nhẫn đồng hành_cấp 9		0	1	2500000000			1	1	equip	0	0	addphysicsdamage_p	2	2					addphysicsmagic_p	2	2					manareplenish_p	9	9					skilldamageptrim	2	2																																															5	100										
Độc Nhất-(Skulll_No.1)	Lv.10	1	5	21	10	5	\setting\Immagine\item\DongHanh\TrungChauVoCuc_DH_Nhan00.spr	\setting\Immagine\item\DongHanh\TrungChauVoCuc_DH_Nhan01.spr	9	Đồng Hành Nhẫn Trung Châu Vô Cực		0	1	2500000000			1	1	equip	0	0	addphysicsdamage_p	2	2					addphysicsmagic_p	2	2					manareplenish_p	10	10					skilldamageptrim	2	2					ignoredefense_p	1	1	-1	-1	0	0	deadlystrikedamageenhance_p	1	1	-1	-1	0	0	deadlystrikeenhance_r	1	1					allseriesstateresistrate	2	2	-1	-1	0	0	allseriesstateresisttime	10	10	-1	-1	0	0								5	100										
