Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Bích Huyết Chi Nhẫn	Lv.1	1	5	19	1	1	\image\item\partnerequip\weapon\partner_lv1_1_s.spr	\image\item\partnerequip\weapon\partner_lv1_1.spr	9	Vũ khí đồng hành_cấp 1		0	1	50000000			0	1	equip	0	0	lifemax_p	1	1																																																																				5	100										
Kim Lân Chi Nhẫn	Lv.2	1	5	19	1	2	\image\item\partnerequip\weapon\partner_lv2_1_s.spr	\image\item\partnerequip\weapon\partner_lv2_1.spr	9	Vũ khí đồng hành_cấp 2		0	1	150000000			0	1	equip	0	0	lifemax_p	2	2																																																																				5	100										
Đơn Tâm Chi Nhẫn	Lv.3	1	5	19	1	3	\image\item\partnerequip\weapon\partner_lv3_1_s.spr	\image\item\partnerequip\weapon\partner_lv3_1.spr	9	Vũ khí đồng hành_cấp 3		0	1	450000000			0	1	equip	0	0	lifemax_p	3	3																																																																				5	100										
Hào Kiệt Chi Nhẫn	Lv.4	1	5	19	1	5	\image\item\partnerequip\dopet\vukhipet4.spr	\image\item\partnerequip\dopet\vukhipet4_v.spr	9	Vũ khí đồng hành_cấp 4		0	1	1500000000			1	1	equip	0	0	lifemax_p	4	4																																																																				5	100										
Truyền Kỳ Chi Nhẫn	Lv.5	1	5	19	2	5	\image\item\partnerequip\dopet\vukhipet5.spr	\image\item\partnerequip\dopet\vukhipet5_v.spr	9	Vũ khí đồng hành_cấp 5		0	1	1500000000			1	1	equip	0	0	lifemax_p	5	5																																																																				5	100										
Truyền Kỳ Chi Nhẫn + 1	Lv.6	1	5	19	3	5	\image\item\partnerequip\dopet\vukhipet5.spr	\image\item\partnerequip\dopet\vukhipet5_v.spr	9	Vũ khí đồng hành_cấp 6		0	1	1500000000			1	1	equip	0	0	lifemax_p	6	6																																																																				5	100										
Tà Đao Phổ	Lv.7	1	5	19	4	5	\image\item\PET\why\vukhipet81.spr	\image\item\PET\why\vukhipet80.spr	9	Vũ khí đồng hành_cấp 7		0	1	1500000000			1	1	equip	0	0	lifemax_p	7	7																																																																				5	100										
Âm Dương Kiếm	Lv.8	1	5	19	5	5	\image\item\PET\icon\vukhipet55_v.spr	\image\item\PET\view\vukhipet55.spr	9	Vũ khí đồng hành_cấp 8		0	1	1500000000			1	1	equip	0	0	lifemax_p	8	8																																																																				5	100										
La Bằng Bổng	Lv.9	1	5	19	6	5	\image\item\PET\icon\vukhipet66.spr	\image\item\PET\view\vukhipet66_v.spr	9	Vũ khí đồng hành_cấp 9		0	1	1500000000			1	1	equip	0	0	lifemax_p	9	9																																																																				5	100										
Độc Nhất-(Skulll_No.1)	Lv.10	1	5	19	10	5	\setting\Immagine\item\DongHanh\TrungChauVoCuc_DH_VuKhi00.spr	\setting\Immagine\item\DongHanh\TrungChauVoCuc_DH_VuKhi01.spr	9	Đồng Hành Vũ Khí Trung Châu Vô Cực		0	1	1500000000			1	1	equip	0	0	lifemax_p	10	10																																																																				5	100										
