ID	Category	Kind	Storage	Consume	Name	Belong	SkillLevel	Cost	ExpGain	MakeTime	AutoAppend	Produce1Genre	Produce1Detail	Produce1Parti	Produce1Level	Produce1Luck	Produce1Series	Produce1Bind	Produce1Rate	Produce2Genre	Produce2Detail	Produce2Parti	Produce2Level	Produce2Luck	Produce2Series	Produce2Bind	Produce2Rate	Produce3Genre	Produce3Detail	Produce3Parti	Produce3Level	Produce3Luck	Produce3Series	Produce3Bind	Produce3Rate	Stuff1Genre	Stuff1Detail	Stuff1Parti	Stuff1Level	Stuff1Series	Stuff1Bind	Stuff1Num	Stuff2Genre	Stuff2Detail	Stuff2Parti	Stuff2Level	Stuff2Series	Stuff2Bind	Stuff2Num	Stuff3Genre	Stuff3Detail	Stuff3Parti	Stuff3Level	Stuff3Series	Stuff3Bind	Stuff3Num	Stuff4Genre	Stuff4Detail	Stuff4Parti	Stuff4Level	Stuff4Series	Stuff4Bind	Stuff4Num	Stuff5Genre	Stuff5Detail	Stuff5Parti	Stuff5Level	Stuff5Series	Stuff5Bind	Stuff5Num	Desc
1	6	5	1	1	Thỏi đồng	1	1	5	100	18	1	22	1	2	1	0	0		100																	22	1	1	1	0		1																													
2	6	5	1	1	Thỏi thiếc	1	10	10	200	18	1	22	1	2	2	0	0		100																	22	1	1	2	0		1																													
3	6	5	1	1	Thỏi sắt	1	20	30	600	18	1	22	1	2	3	0	0		100																	22	1	1	3	0		1																													
4	6	5	1	1	Thỏi bạc	1	30	80	1600	18	1	22	1	2	4	0	0		100																	22	1	1	4	0		1																													
5	6	5	1	1	Thỏi vàng	1	40	140	2800	18	1	22	1	2	5	0	0		100																	22	1	1	5	0		1																													
6	6	5	1	1	Thỏi ô kim	1	50	210	4200	18	1	22	1	2	6	0	0		100																	22	1	1	6	0		1																													
7	6	5	1	1	Thỏi tử kim	1	60	400	8000	18	1	22	1	2	7	0	0		100																	22	1	1	7	0		1																													
8	6	5	1	1	Thỏi hàn thiết	1	70	600	12000	18	1	22	1	2	8	0	0		100																	22	1	1	8	0		1																													
9	6	5	1	1	Thỏi huyền thiết	1	80	750	15000	18	1	22	1	2	9	0	0		100																	22	1	1	9	0		1																													
10	6	5	1	1	Thỏi vẫn thiết	1	90	1750	35000	18	1	22	1	2	10	0	0		100																	22	1	1	10	0		1																													
11	6	6	1	1	Vũ hoa thạch	1	1	5	100	18	1	22	1	4	1	0	0		100																	22	1	3	1	0		1																													
12	6	6	1	1	Hổ tinh thạch	1	10	10	200	18	1	22	1	4	2	0	0		100																	22	1	3	2	0		1																													
13	6	6	1	1	Băng thạch	1	20	30	600	18	1	22	1	4	3	0	0		100																	22	1	3	3	0		1																													
14	6	6	1	1	Kê huyết thạch	1	30	80	1600	18	1	22	1	4	4	0	0		100																	22	1	3	4	0		1																													
15	6	6	1	1	Kim hồng thạch	1	40	140	2800	18	1	22	1	4	5	0	0		100																	22	1	3	5	0		1																													
16	6	6	1	1	Khổng tước thạch	1	50	210	4200	18	1	22	1	4	6	0	0		100																	22	1	3	6	0		1																													
17	6	6	1	1	Bồ đào thạch	1	60	400	8000	18	1	22	1	4	7	0	0		100																	22	1	3	7	0		1																													
18	6	6	1	1	Huỳnh thạch	1	70	600	12000	18	1	22	1	4	8	0	0		100																	22	1	3	8	0		1																													
19	6	6	1	1	Cúc hoa thạch	1	80	1000	20000	18	1	22	1	4	9	0	0		100																	22	1	3	9	0		1																													
20	6	6	1	1	Kim cang thạch	1	90	1750	35000	18	1	22	1	4	10	0	0		100																	22	1	3	10	0		1																													
21	6	7	1	1	Vải á ma	2	1	5	100	18	1	22	1	6	1	0	0		100																	22	1	5	1	0		1																													
22	6	7	1	1	Vải hoàng ma	2	10	10	200	18	1	22	1	6	2	0	0		100																	22	1	5	2	0		1																													
23	6	7	1	1	Vải đằng cát	2	20	30	600	18	1	22	1	6	3	0	0		100																	22	1	5	3	0		1																													
24	6	7	1	1	Vải thảo miên	2	30	80	1600	18	1	22	1	6	4	0	0		100																	22	1	5	4	0		1																													
25	6	7	1	1	Vải da dê	2	40	140	2800	18	1	22	1	6	5	0	0		100																	22	1	5	5	0		1																													
26	6	7	1	1	Vải cẩm mao	2	50	210	4200	18	1	22	1	6	6	0	0		100																	22	1	5	6	0		1																													
27	6	7	1	1	Vải nhung mao	2	60	400	8000	18	1	22	1	6	7	0	0		100																	22	1	5	7	0		1																													
28	6	7	1	1	Vải mộc miên	2	70	600	12000	18	1	22	1	6	8	0	0		100																	22	1	5	8	0		1																													
29	6	7	1	1	Vải hỏa ma	2	80	750	15000	18	1	22	1	6	9	0	0		100																	22	1	5	9	0		1																													
30	6	7	1	1	Vải hỏa cán	2	90	1750	35000	18	1	22	1	6	10	0	0		100																	22	1	5	10	0		1																													
