NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
Thẩm Hà Diệp	0	3562	3	5	60	1	20	20	20	20	20	1					1		
Hách Phiêu Tịnh	0	3563	3	5	60	1	20	20	20	20	20	1					1		
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1					1		
Bất Động Tiên Sinh	0	3565	3	5	60	1	20	20	20	20	20	1					1		
Đại Lão Bạch	0	3566	3	5	60	1	20	20	20	20	20	1					1		
Tạ Hiền	0	3567	3	5	60	1	20	20	20	20	20	1					1		
Long Ngũ Thái Gia	0	3571	3	5	150	1	20	20	20	20	20	1					1		
Dã Luyện Đại Sư	0	3574	3	5	60	1	20	20	20	20	20	3					1		2
Trâu Đức Khoái	0	2599	3	5	60	1	20	20	20	20	20	3					1		
Lễ Quan	0	2601	3	5	60	1	20	20	20	20	20	3					1		
Bảng Anh Hùng	0	7414	3	5	60	1	20	20	20	20	20	1					1		
Anh Hùng Kiếm	0	7417	3	5	60	1	20	20	20	20	20	1					1		
Thục Nữ Kiếm	0	7418	3	5	60	1	20	20	20	20	20	1							2
Cổ Phong Hà	0	3601	3	5	60	1	20	20	20	20	20	1					1		3
Huyền Thủy	0	7429	3	5	60	1	20	20	20	20	20	1							2
Tẩy Luyện Trang Bị	0	8134	3	5	60	1	20	20	20	20	20	1							2
Sự Kiện	0	8136	3	5	60	1	20	20	20	20	20	1							2
Táo Quân	0	8155	3	5	60	1	20	20	20	20	20	1							2
Tài Lộc Thiên Hạ	0	8156	3	5	60	1	20	20	20	20	20	1							2
Cô Bé Năm Mới	0	8164	3	5	60	1	20	20	20	20	20	1							2
	0	8166	3	5	60	1	20	20	20	20	20	1							2
	0	8165	3	5	60	1	20	20	20	20	20	1							
