NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
Thẩm Hà Diệp	0	3562	3	5	60	1	20	20	20	20	20	1		45216	113824		1		
Hách Phiêu Tịnh	0	3563	3	5	60	1	20	20	20	20	20	1		44416	113024		1		
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1		44448	113792		1		
Bất Động Tiên Sinh	0	3565	3	5	60	1	20	20	20	20	20	1		45696	113952		1		
Đại Lão Bạch	0	3566	3	5	60	1	20	20	20	20	20	1		44288	112448		1		
Long Ngũ Thái Gia	0	3571	3	5	150	1	20	20	20	20	20	1		45952	113984		1		
Thục Nữ Kiếm	0	7418	3	5	60	1	20	20	20	20	20	1		45280	112960				2
Trâu Đức Khoái	0	2599	3	5	60	1	20	20	20	20	20	3		47488	108128		1		
Lễ Quan	0	2601	3	5	60	1	20	20	20	20	20	3		48992	109664		1		
Bảng Anh Hùng	0	7414	3	5	60	1	20	20	20	20	20	1		48832	108448		1		
Anh Hùng Kiếm	0	7417	3	5	60	1	20	20	20	20	20	1		49120	108736		1		
Cổ Phong Hà	0	3601	3	5	60	1	20	20	20	20	20	1		48128	108032		1		3
Huyền Thủy	0	7429	3	5	60	1	20	20	20	20	20	1		48608	108128				2
Sự Kiện	0	8136	3	5	60	1	20	20	20	20	20	1		49184	109120				2
Tạ Hiền	0	3567	3	5	60	1	20	20	20	20	20	1		48320	108032		1		
Du Long Sứ Giả	0	8188	3	5	60	1	20	20	20	20	20	1		47776	108096		1		
Dã Luyện Đại Sư	0	3574	3	5	60	1	20	20	20	20	20	3		47552	116256		1		2
Tẩy Luyện Trang Bị	0	8134	3	5	60	1	20	20	20	20	20	1		48672	115616				2
