TRAPX	TRAPY
49888	113056
50144	112448
50368	112736
50112	113344
49600	113376
49920	113664
50368	112160
50496	112352
50496	111552
50528	111040
50752	110816
50976	110944
51168	110944
51616	111328
51680	111584
51680	111872
51520	112032
51232	112096
50976	111872
51424	110560
51680	110752
51904	110080
52064	110400
52320	109248
52672	109440
52928	108992
52992	108448
52704	108128
52480	108448
53056	107296
53216	107488
53408	106976
53632	107136
53600	106592
53696	106720
53536	107424
54080	105536
54272	105696
54208	106144
54528	105984
53856	105728
53408	105504
53184	105280
52992	105088
53216	104704
53440	104896
53600	104928
53792	105120
53920	105280
54304	105184
54464	104864
55264	103616
55392	103872
55520	104000
55008	103840
54752	104096
54528	104320
54848	104640
55104	104768
55360	104608
55520	104416
56160	104736
55904	104512
54592	105504
54784	105376
