TRAPX	TRAPY
52064	108864
52704	107424
51872	106784
52384	107872
51520	105568
52352	105440
53824	104160
52320	103200
54080	103040
55232	103584
54464	104640
53600	103680
56288	105376
57056	105408
57568	106496
57600	107360
56224	105856
56096	107136
55104	108448
55552	109440
56736	108416
57600	108352
56704	108960
55872	109632
56864	109632
56192	111328
57792	107648
56032	112576
56352	113248
55136	111744
55072	110464
54816	110816
54176	109408
53600	108864
54656	112416
55392	111776
55424	113824
56160	114112
