NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
Trâu Đức Khoái	0	2599	3	5	60	1	20	20	20	20	20	3		58848	95648		1		
Trâu Đức Khoái	0	2599	3	5	60	1	20	20	20	20	20	1		51136	105696		1		
Vào chiến trường	0	2525	4	5	1	1	20	20	20	20	20	1		58304	96512		1		
Vào chiến trường	0	2525	4	5	1	1	20	20	20	20	20	1		50816	105216		1		
Khu chuẩn bị	0	2525	4	5	1	1	20	20	20	20	20	1		57792	97376		1		
Khu chuẩn bị	0	2525	4	5	1	1	20	20	20	20	20	1		51456	104512		1		
to_in	1															\setting\map\map_info\tiefucheng_new_3\trap\in.txt			
to_out	1															\setting\map\map_info\tiefucheng_new_3\trap\out.txt			
Chủ Tiệm Thuốc	0	2647	3	5	60	1	20	20	20	20	20	1		59040	96352		1		
Xa Phu	0	7262	3	5	60	1	20	20	20	20	20	1		58880	96448		1		
Đại Lão Bạch	0	3566	3	5	60	1	20	20	20	20	20	1		59136	95712		1		
Chủ Tiệm Thuốc	0	2647	3	5	60	1	20	20	20	20	20	1		49696	104992		1		
Xa Phu	0	7262	3	5	60	1	20	20	20	20	20	1		50048	104672		1		
Đại Lão Bạch	0	3566	3	5	60	1	20	20	20	20	20	1		50368	104704		1		
