TRAPX	TRAPY
57632	97056
57632	97056
58208	97632
58240	97376
58240	97408
58208	97440
58208	97504
58176	97696
57696	97088
57696	97088
57728	97120
57760	97152
57792	97184
57792	97184
57792	97216
57824	97216
57824	97216
57856	97248
57856	97248
57856	97248
57856	97248
57888	97248
57888	97280
57888	97248
57888	97280
57920	97280
57920	97312
57920	97312
57952	97312
57952	97344
57984	97344
57984	97376
58016	97344
58016	97376
58048	97408
58048	97408
58080	97440
58080	97440
58112	97472
58112	97472
58112	97472
58144	97504
57888	95264
57856	95296
57856	95360
57824	95360
57792	95392
57792	95424
57760	95456
57760	95488
57728	95488
57696	95520
57696	95520
57664	95552
57664	95584
57632	95616
57632	95616
57568	95648
57600	95616
59776	96960
59744	96992
59680	97024
59680	97024
59616	97088
59616	97120
59552	97120
59520	97152
59520	97152
59488	97184
59456	97184
59424	97216
59360	97248
59488	97248
59584	97120
59648	97088
59712	97024
51168	104512
51488	104768
51648	104864
51520	104800
51520	104800
51584	104768
51552	104736
51328	104608
51232	104544
51232	104544
51264	104576
51360	104608
51392	104640
51392	104640
51424	104672
51456	104672
51232	104416
51264	104480
49376	104448
49312	103776
49760	103872
49344	103808
49408	103808
49440	103808
49504	103776
49536	103776
49600	103776
49632	103776
49696	103744
49728	103712
49664	103712
49440	103712
49344	103744
51872	106464
51360	107104
51168	106816
51232	106912
51264	106944
51328	107008
51200	106816
51264	106944
51648	106784
51744	106656
51808	106560
51680	106688
51808	106496
51744	106592
51712	106656
51584	106816
51552	106880
51520	106880
51488	106944
51456	106944
51424	106976
51424	106976
51392	107008
