TRAPX	TRAPY
58240	96000
58528	95680
58464	95712
58432	95744
58432	95776
58400	95808
58368	95840
58368	95840
58336	95872
58304	95904
58272	95936
58240	95936
58208	96032
58080	96288
58176	96096
58208	96064
58144	96096
58144	96128
58112	96128
58112	96160
58080	96160
58080	96224
58080	96224
58144	96512
58080	96320
58080	96352
58080	96352
58080	96384
58080	96416
58112	96416
58112	96448
58112	96448
58496	96800
58784	96928
59136	96736
59424	96416
59456	95904
59168	95584
58848	95520
58656	95552
58560	95648
58592	95616
58624	95584
58688	95552
58720	95552
58752	95520
58784	95520
58784	95520
58816	95520
58880	95520
58912	95520
58912	95520
58944	95488
58976	95520
58976	95520
59008	95520
59008	95520
59040	95488
59040	95520
59072	95520
59072	95520
59104	95552
59104	95552
59104	95584
59168	95616
59200	95616
59200	95648
59232	95680
59232	95680
59232	95712
59264	95712
59264	95712
59296	95744
59296	95744
59296	95744
59328	95776
59328	95776
59360	95776
59360	95808
59360	95808
59392	95840
59392	95840
59392	95872
59424	95904
59392	95936
59424	95968
59424	96000
59424	96032
59392	96032
59392	96064
59392	96064
59392	96096
59392	96128
59392	96160
59392	96160
59392	96192
59392	96192
59392	96192
59392	96224
59392	96224
59392	96224
59392	96256
59392	96256
59392	96288
59392	96320
59392	96320
59392	96352
59360	96416
59328	96416
59296	96448
59264	96512
59232	96544
59200	96576
59168	96576
59168	96608
59136	96608
59136	96640
59072	96736
59040	96736
59008	96768
58976	96768
58976	96800
58944	96800
58912	96832
58880	96832
58880	96832
58848	96864
58848	96864
58816	96896
58752	96928
58720	96896
58688	96864
58656	96864
58624	96832
58624	96800
58560	96800
58528	96768
58528	96768
58592	96768
58144	96512
58176	96512
58176	96544
58176	96512
58176	96544
58176	96544
58176	96544
58208	96544
58208	96576
58208	96576
58208	96576
58240	96576
58240	96608
58272	96608
58272	96640
58272	96608
58304	96640
58304	96672
58336	96672
58336	96672
58336	96704
58368	96672
58368	96704
58400	96704
58368	96704
58400	96704
58400	96736
58432	96704
58432	96704
58464	96704
58432	96704
51136	105344
51456	105792
51424	106048
50976	106272
50656	106400
50176	106176
49824	105952
49664	105504
49472	105088
49472	104736
49824	104448
50208	104512
50528	104736
50720	104928
50752	104960
50752	104960
50752	104960
50784	104992
50816	105024
50816	105056
50848	105088
50880	105120
50912	105152
50912	105152
50944	105184
50944	105216
50976	105216
50976	105248
51008	105248
51008	105248
51040	105248
51040	105280
51072	105280
51072	105280
51072	105312
51072	105344
50720	104960
50752	105024
50784	105088
50816	105120
50880	105152
50912	105216
50912	105248
50976	105280
51040	105312
51104	105376
51232	105472
51136	105376
51168	105408
51136	105408
51168	105440
51232	105504
51200	105504
51264	105536
51264	105568
51296	105568
51296	105600
51296	105600
51296	105632
51328	105632
51328	105664
51328	105696
51360	105696
51360	105728
51360	105728
51392	105760
51392	105760
51392	105792
51424	105824
51424	105888
51424	105888
51424	105920
51424	105952
51424	105952
51392	105952
51360	106048
51296	106080
51360	106080
51296	106080
51264	106112
51232	106144
51200	106144
51200	106176
51168	106208
51136	106208
51104	106208
51072	106240
51040	106240
50976	106240
51008	106208
51296	106016
50912	106272
50880	106272
50880	106272
50848	106272
50816	106272
50784	106304
50752	106272
50720	106304
50720	106304
50688	106336
50688	106336
50656	106336
50656	106336
50624	106368
50560	106336
50528	106336
50560	106368
50496	106304
50464	106272
50432	106240
50400	106240
50368	106176
50336	106176
50304	106144
50272	106112
50240	106144
50208	106112
50176	106144
50112	106112
50080	106080
50144	106080
50048	106048
50016	106016
49984	106016
49984	105984
49920	105984
49920	105952
49856	105952
49856	105920
49856	105920
49792	105856
49760	105792
49792	105856
49760	105760
49728	105728
49728	105696
49696	105664
49696	105632
49664	105536
49664	105504
49696	105536
49696	105536
49632	105440
49600	105376
49600	105312
49600	105248
49568	105184
49568	105120
49536	105088
49504	105088
49536	105056
49472	105024
49472	104928
49472	104832
49472	104800
49472	104736
49504	104704
49504	104672
49536	104672
49536	104640
49568	104640
49568	104608
49568	104608
49600	104608
49632	104576
49632	104544
49664	104544
49664	104512
49696	104512
49696	104480
49728	104480
49760	104448
49760	104448
49792	104448
49856	104448
49856	104416
49888	104448
49888	104448
49920	104416
49920	104448
49952	104416
49984	104448
50016	104448
50016	104448
50016	104448
50048	104448
50048	104480
50080	104448
50080	104448
50080	104448
50080	104448
50112	104448
50112	104448
50144	104448
50144	104448
50144	104480
50176	104480
50208	104512
50240	104512
50240	104544
50272	104544
50304	104544
50304	104576
50304	104576
50304	104576
50336	104576
50368	104608
50368	104576
50368	104640
50400	104640
50400	104640
50400	104640
50432	104640
50464	104672
50464	104672
50496	104672
50496	104704
50528	104736
50528	104736
50528	104768
50560	104768
50592	104768
50592	104768
50624	104800
50656	104832
50656	104864
50656	104864
50656	104864
50688	104928
