EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
armor00	fm_000_bd_es02.spr	fm_000_bd_es02.spr	fm_000_bd_es01.spr	fm_000_bd_ss02.spr	fm_000_bd_ss01.spr	fm_000_bd_ss01.spr	fm_000_bd_ls02.spr	fm_000_bd_ls01.spr	fm_000_bd_ls01.spr	fm_000_bd_ds02.spr	fm_000_bd_ds01.spr	fm_000_bd_ds01.spr	fm_000_bd_ew.spr	fm_000_bd_sw.spr	fm_000_bd_lw.spr	fm_000_bd_dw.spr	fm_000_bd_er.spr	fm_000_bd_sr.spr	fm_000_bd_lr.spr	fm_000_bd_dr.spr	fm_000_bd_eb.spr	fm_000_bd_sb.spr	fm_000_bd_lb.spr	fm_000_bd_db.spr	fm_000_bd_ed.spr	fm_000_bd_sd.spr	fm_000_bd_ld.spr	fm_000_bd_dd.spr	fm_000_bd_ea01.spr	fm_000_bd_ea02.spr	fm_000_bd_sa01.spr	fm_000_bd_sa02.spr	fm_000_bd_la01.spr	fm_000_bd_la02.spr	fm_000_bd_da01.spr	fm_000_bd_da02.spr	fm_000_bd_em.spr	fm_000_bd_sm.spr	fm_000_bd_lm.spr	fm_000_bd_dm.spr	fm_000_bd_zz.spr	fm_000_bd_jp.spr	fm_000_bd_rs01.spr	fm_000_bd_rs01.spr	fm_000_bd_rs01.spr	fm_000_bd_rw.spr	fm_000_bd_rr.spr	fm_000_bd_ra01.spr	fm_000_bd_ra02.spr	fm_000_bd_rm.spr	fm_000_bd_rb.spr	fm_000_bd_rd.spr
armor01	fm_001_bd_es02.spr	fm_001_bd_es02.spr	fm_001_bd_es01.spr	fm_001_bd_ss02.spr	fm_001_bd_ss01.spr	fm_001_bd_ss01.spr	fm_001_bd_ls02.spr	fm_001_bd_ls01.spr	fm_001_bd_ls01.spr	fm_001_bd_ds02.spr	fm_001_bd_ds01.spr	fm_001_bd_ds01.spr	fm_001_bd_ew.spr	fm_001_bd_sw.spr	fm_001_bd_lw.spr	fm_001_bd_dw.spr	fm_001_bd_er.spr	fm_001_bd_sr.spr	fm_001_bd_lr.spr	fm_001_bd_dr.spr	fm_001_bd_eb.spr	fm_001_bd_sb.spr	fm_001_bd_lb.spr	fm_001_bd_db.spr	fm_001_bd_ed.spr	fm_001_bd_sd.spr	fm_001_bd_ld.spr	fm_001_bd_dd.spr	fm_001_bd_ea01.spr	fm_001_bd_ea02.spr	fm_001_bd_sa01.spr	fm_001_bd_sa02.spr	fm_001_bd_la01.spr	fm_001_bd_la02.spr	fm_001_bd_da01.spr	fm_001_bd_da02.spr	fm_001_bd_em.spr	fm_001_bd_sm.spr	fm_001_bd_lm.spr	fm_001_bd_dm.spr	fm_001_bd_zz.spr	fm_001_bd_jp.spr	fm_001_bd_rs01.spr	fm_001_bd_rs01.spr	fm_001_bd_rs01.spr	fm_001_bd_rw.spr	fm_001_bd_rr.spr	fm_001_bd_ra01.spr	fm_001_bd_ra02.spr	fm_001_bd_rm.spr	fm_001_bd_rb.spr	fm_001_bd_rd.spr
armor02	fm_002_bd_es02.spr	fm_002_bd_es02.spr	fm_002_bd_es01.spr	fm_002_bd_ss02.spr	fm_002_bd_ss01.spr	fm_002_bd_ss01.spr	fm_002_bd_ls02.spr	fm_002_bd_ls01.spr	fm_002_bd_ls01.spr	fm_002_bd_ds02.spr	fm_002_bd_ds01.spr	fm_002_bd_ds01.spr	fm_002_bd_ew.spr	fm_002_bd_sw.spr	fm_002_bd_lw.spr	fm_002_bd_dw.spr	fm_002_bd_er.spr	fm_002_bd_sr.spr	fm_002_bd_lr.spr	fm_002_bd_dr.spr	fm_002_bd_eb.spr	fm_002_bd_sb.spr	fm_002_bd_lb.spr	fm_002_bd_db.spr	fm_002_bd_ed.spr	fm_002_bd_sd.spr	fm_002_bd_ld.spr	fm_002_bd_dd.spr	fm_002_bd_ea01.spr	fm_002_bd_ea02.spr	fm_002_bd_sa01.spr	fm_002_bd_sa02.spr	fm_002_bd_la01.spr	fm_002_bd_la02.spr	fm_002_bd_da01.spr	fm_002_bd_da02.spr	fm_002_bd_em.spr	fm_002_bd_sm.spr	fm_002_bd_lm.spr	fm_002_bd_dm.spr	fm_002_bd_zz.spr	fm_002_bd_jp.spr	fm_002_bd_rs01.spr	fm_002_bd_rs01.spr	fm_002_bd_rs01.spr	fm_002_bd_rw.spr	fm_002_bd_rr.spr	fm_002_bd_ra01.spr	fm_002_bd_ra02.spr	fm_002_bd_rm.spr	fm_002_bd_rb.spr	fm_002_bd_rd.spr
armor03	fm_003_bd_es02.spr	fm_003_bd_es02.spr	fm_003_bd_es01.spr	fm_003_bd_ss02.spr	fm_003_bd_ss01.spr	fm_003_bd_ss01.spr	fm_003_bd_ls02.spr	fm_003_bd_ls01.spr	fm_003_bd_ls01.spr	fm_003_bd_ds02.spr	fm_003_bd_ds01.spr	fm_003_bd_ds01.spr	fm_003_bd_ew.spr	fm_003_bd_sw.spr	fm_003_bd_lw.spr	fm_003_bd_dw.spr	fm_003_bd_er.spr	fm_003_bd_sr.spr	fm_003_bd_lr.spr	fm_003_bd_dr.spr	fm_003_bd_eb.spr	fm_003_bd_sb.spr	fm_003_bd_lb.spr	fm_003_bd_db.spr	fm_003_bd_ed.spr	fm_003_bd_sd.spr	fm_003_bd_ld.spr	fm_003_bd_dd.spr	fm_003_bd_ea01.spr	fm_003_bd_ea02.spr	fm_003_bd_sa01.spr	fm_003_bd_sa02.spr	fm_003_bd_la01.spr	fm_003_bd_la02.spr	fm_003_bd_da01.spr	fm_003_bd_da02.spr	fm_003_bd_em.spr	fm_003_bd_sm.spr	fm_003_bd_lm.spr	fm_003_bd_dm.spr	fm_003_bd_zz.spr	fm_003_bd_jp.spr	fm_003_bd_rs01.spr	fm_003_bd_rs01.spr	fm_003_bd_rs01.spr	fm_003_bd_rw.spr	fm_003_bd_rr.spr	fm_003_bd_ra01.spr	fm_003_bd_ra02.spr	fm_003_bd_rm.spr	fm_003_bd_rb.spr	fm_003_bd_rd.spr
armor04	fm_004_bd_es02.spr	fm_004_bd_es02.spr	fm_004_bd_es01.spr	fm_004_bd_ss02.spr	fm_004_bd_ss01.spr	fm_004_bd_ss01.spr	fm_004_bd_ls02.spr	fm_004_bd_ls01.spr	fm_004_bd_ls01.spr	fm_004_bd_ds02.spr	fm_004_bd_ds01.spr	fm_004_bd_ds01.spr	fm_004_bd_ew.spr	fm_004_bd_sw.spr	fm_004_bd_lw.spr	fm_004_bd_dw.spr	fm_004_bd_er.spr	fm_004_bd_sr.spr	fm_004_bd_lr.spr	fm_004_bd_dr.spr	fm_004_bd_eb.spr	fm_004_bd_sb.spr	fm_004_bd_lb.spr	fm_004_bd_db.spr	fm_004_bd_ed.spr	fm_004_bd_sd.spr	fm_004_bd_ld.spr	fm_004_bd_dd.spr	fm_004_bd_ea01.spr	fm_004_bd_ea02.spr	fm_004_bd_sa01.spr	fm_004_bd_sa02.spr	fm_004_bd_la01.spr	fm_004_bd_la02.spr	fm_004_bd_da01.spr	fm_004_bd_da02.spr	fm_004_bd_em.spr	fm_004_bd_sm.spr	fm_004_bd_lm.spr	fm_004_bd_dm.spr	fm_004_bd_zz.spr	fm_004_bd_jp.spr	fm_004_bd_rs01.spr	fm_004_bd_rs01.spr	fm_004_bd_rs01.spr	fm_004_bd_rw.spr	fm_004_bd_rr.spr	fm_004_bd_ra01.spr	fm_004_bd_ra02.spr	fm_004_bd_rm.spr	fm_004_bd_rb.spr	fm_004_bd_rd.spr
armor05	fm_005_bd_es02.spr	fm_005_bd_es02.spr	fm_005_bd_es01.spr	fm_005_bd_ss02.spr	fm_005_bd_ss01.spr	fm_005_bd_ss01.spr	fm_005_bd_ls02.spr	fm_005_bd_ls01.spr	fm_005_bd_ls01.spr	fm_005_bd_ds02.spr	fm_005_bd_ds01.spr	fm_005_bd_ds01.spr	fm_005_bd_ew.spr	fm_005_bd_sw.spr	fm_005_bd_lw.spr	fm_005_bd_dw.spr	fm_005_bd_er.spr	fm_005_bd_sr.spr	fm_005_bd_lr.spr	fm_005_bd_dr.spr	fm_005_bd_eb.spr	fm_005_bd_sb.spr	fm_005_bd_lb.spr	fm_005_bd_db.spr	fm_005_bd_ed.spr	fm_005_bd_sd.spr	fm_005_bd_ld.spr	fm_005_bd_dd.spr	fm_005_bd_ea01.spr	fm_005_bd_ea02.spr	fm_005_bd_sa01.spr	fm_005_bd_sa02.spr	fm_005_bd_la01.spr	fm_005_bd_la02.spr	fm_005_bd_da01.spr	fm_005_bd_da02.spr	fm_005_bd_em.spr	fm_005_bd_sm.spr	fm_005_bd_lm.spr	fm_005_bd_dm.spr	fm_005_bd_zz.spr	fm_005_bd_jp.spr	fm_005_bd_rs01.spr	fm_005_bd_rs01.spr	fm_005_bd_rs01.spr	fm_005_bd_rw.spr	fm_005_bd_rr.spr	fm_005_bd_ra01.spr	fm_005_bd_ra02.spr	fm_005_bd_rm.spr	fm_005_bd_rb.spr	fm_005_bd_rd.spr
armor06	fm_006_bd_es02.spr	fm_006_bd_es02.spr	fm_006_bd_es01.spr	fm_006_bd_ss02.spr	fm_006_bd_ss01.spr	fm_006_bd_ss01.spr	fm_006_bd_ls02.spr	fm_006_bd_ls01.spr	fm_006_bd_ls01.spr	fm_006_bd_ds02.spr	fm_006_bd_ds01.spr	fm_006_bd_ds01.spr	fm_006_bd_ew.spr	fm_006_bd_sw.spr	fm_006_bd_lw.spr	fm_006_bd_dw.spr	fm_006_bd_er.spr	fm_006_bd_sr.spr	fm_006_bd_lr.spr	fm_006_bd_dr.spr	fm_006_bd_eb.spr	fm_006_bd_sb.spr	fm_006_bd_lb.spr	fm_006_bd_db.spr	fm_006_bd_ed.spr	fm_006_bd_sd.spr	fm_006_bd_ld.spr	fm_006_bd_dd.spr	fm_006_bd_ea01.spr	fm_006_bd_ea02.spr	fm_006_bd_sa01.spr	fm_006_bd_sa02.spr	fm_006_bd_la01.spr	fm_006_bd_la02.spr	fm_006_bd_da01.spr	fm_006_bd_da02.spr	fm_006_bd_em.spr	fm_006_bd_sm.spr	fm_006_bd_lm.spr	fm_006_bd_dm.spr	fm_006_bd_zz.spr	fm_006_bd_jp.spr	fm_006_bd_rs01.spr	fm_006_bd_rs01.spr	fm_006_bd_rs01.spr	fm_006_bd_rw.spr	fm_006_bd_rr.spr	fm_006_bd_ra01.spr	fm_006_bd_ra02.spr	fm_006_bd_rm.spr	fm_006_bd_rb.spr	fm_006_bd_rd.spr
armor07	fm_007_bd_es02.spr	fm_007_bd_es02.spr	fm_007_bd_es01.spr	fm_007_bd_ss02.spr	fm_007_bd_ss01.spr	fm_007_bd_ss01.spr	fm_007_bd_ls02.spr	fm_007_bd_ls01.spr	fm_007_bd_ls01.spr	fm_007_bd_ds02.spr	fm_007_bd_ds01.spr	fm_007_bd_ds01.spr	fm_007_bd_ew.spr	fm_007_bd_sw.spr	fm_007_bd_lw.spr	fm_007_bd_dw.spr	fm_007_bd_er.spr	fm_007_bd_sr.spr	fm_007_bd_lr.spr	fm_007_bd_dr.spr	fm_007_bd_eb.spr	fm_007_bd_sb.spr	fm_007_bd_lb.spr	fm_007_bd_db.spr	fm_007_bd_ed.spr	fm_007_bd_sd.spr	fm_007_bd_ld.spr	fm_007_bd_dd.spr	fm_007_bd_ea01.spr	fm_007_bd_ea02.spr	fm_007_bd_sa01.spr	fm_007_bd_sa02.spr	fm_007_bd_la01.spr	fm_007_bd_la02.spr	fm_007_bd_da01.spr	fm_007_bd_da02.spr	fm_007_bd_em.spr	fm_007_bd_sm.spr	fm_007_bd_lm.spr	fm_007_bd_dm.spr	fm_007_bd_zz.spr	fm_007_bd_jp.spr	fm_007_bd_rs01.spr	fm_007_bd_rs01.spr	fm_007_bd_rs01.spr	fm_007_bd_rw.spr	fm_007_bd_rr.spr	fm_007_bd_ra01.spr	fm_007_bd_ra02.spr	fm_007_bd_rm.spr	fm_007_bd_rb.spr	fm_007_bd_rd.spr
armor08	fm_008_bd_es02.spr	fm_008_bd_es02.spr	fm_008_bd_es01.spr	fm_008_bd_ss02.spr	fm_008_bd_ss01.spr	fm_008_bd_ss01.spr	fm_008_bd_ls02.spr	fm_008_bd_ls01.spr	fm_008_bd_ls01.spr	fm_008_bd_ds02.spr	fm_008_bd_ds01.spr	fm_008_bd_ds01.spr	fm_008_bd_ew.spr	fm_008_bd_sw.spr	fm_008_bd_lw.spr	fm_008_bd_dw.spr	fm_008_bd_er.spr	fm_008_bd_sr.spr	fm_008_bd_lr.spr	fm_008_bd_dr.spr	fm_008_bd_eb.spr	fm_008_bd_sb.spr	fm_008_bd_lb.spr	fm_008_bd_db.spr	fm_008_bd_ed.spr	fm_008_bd_sd.spr	fm_008_bd_ld.spr	fm_008_bd_dd.spr	fm_008_bd_ea01.spr	fm_008_bd_ea02.spr	fm_008_bd_sa01.spr	fm_008_bd_sa02.spr	fm_008_bd_la01.spr	fm_008_bd_la02.spr	fm_008_bd_da01.spr	fm_008_bd_da02.spr	fm_008_bd_em.spr	fm_008_bd_sm.spr	fm_008_bd_lm.spr	fm_008_bd_dm.spr	fm_008_bd_zz.spr	fm_008_bd_jp.spr	fm_008_bd_rs01.spr	fm_008_bd_rs01.spr	fm_008_bd_rs01.spr	fm_008_bd_rw.spr	fm_008_bd_rr.spr	fm_008_bd_ra01.spr	fm_008_bd_ra02.spr	fm_008_bd_rm.spr	fm_008_bd_rb.spr	fm_008_bd_rd.spr
armor09	fm_009_bd_es02.spr	fm_009_bd_es02.spr	fm_009_bd_es01.spr	fm_009_bd_ss02.spr	fm_009_bd_ss01.spr	fm_009_bd_ss01.spr	fm_009_bd_ls02.spr	fm_009_bd_ls01.spr	fm_009_bd_ls01.spr	fm_009_bd_ds02.spr	fm_009_bd_ds01.spr	fm_009_bd_ds01.spr	fm_009_bd_ew.spr	fm_009_bd_sw.spr	fm_009_bd_lw.spr	fm_009_bd_dw.spr	fm_009_bd_er.spr	fm_009_bd_sr.spr	fm_009_bd_lr.spr	fm_009_bd_dr.spr	fm_009_bd_eb.spr	fm_009_bd_sb.spr	fm_009_bd_lb.spr	fm_009_bd_db.spr	fm_009_bd_ed.spr	fm_009_bd_sd.spr	fm_009_bd_ld.spr	fm_009_bd_dd.spr	fm_009_bd_ea01.spr	fm_009_bd_ea02.spr	fm_009_bd_sa01.spr	fm_009_bd_sa02.spr	fm_009_bd_la01.spr	fm_009_bd_la02.spr	fm_009_bd_da01.spr	fm_009_bd_da02.spr	fm_009_bd_em.spr	fm_009_bd_sm.spr	fm_009_bd_lm.spr	fm_009_bd_dm.spr	fm_009_bd_zz.spr	fm_009_bd_jp.spr	fm_009_bd_rs01.spr	fm_009_bd_rs01.spr	fm_009_bd_rs01.spr	fm_009_bd_rw.spr	fm_009_bd_rr.spr	fm_009_bd_ra01.spr	fm_009_bd_ra02.spr	fm_009_bd_rm.spr	fm_009_bd_rb.spr	fm_009_bd_rd.spr
