EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
armor00	fm_000_rh_es02.spr	fm_000_rh_es02.spr	fm_000_rh_es01.spr	fm_000_rh_ss02.spr	fm_000_rh_ss01.spr	fm_000_rh_ss01.spr	fm_000_rh_ls02.spr	fm_000_rh_ls01.spr	fm_000_rh_ls01.spr	fm_000_rh_ds02.spr	fm_000_rh_ds01.spr	fm_000_rh_ds01.spr	fm_000_rh_ew.spr	fm_000_rh_sw.spr	fm_000_rh_lw.spr	fm_000_rh_dw.spr	fm_000_rh_er.spr	fm_000_rh_sr.spr	fm_000_rh_lr.spr	fm_000_rh_dr.spr	fm_000_rh_eb.spr	fm_000_rh_sb.spr	fm_000_rh_lb.spr	fm_000_rh_db.spr	fm_000_rh_ed.spr	fm_000_rh_sd.spr	fm_000_rh_ld.spr	fm_000_rh_dd.spr	fm_000_rh_ea01.spr	fm_000_rh_ea02.spr	fm_000_rh_sa01.spr	fm_000_rh_sa02.spr	fm_000_rh_la01.spr	fm_000_rh_la02.spr	fm_000_rh_da01.spr	fm_000_rh_da02.spr	fm_000_rh_em.spr	fm_000_rh_sm.spr	fm_000_rh_lm.spr	fm_000_rh_dm.spr	fm_000_rh_zz.spr	fm_000_rh_jp.spr	fm_000_rh_rs01.spr	fm_000_rh_rs01.spr	fm_000_rh_rs01.spr	fm_000_rh_rw.spr	fm_000_rh_rr.spr	fm_000_rh_ra01.spr	fm_000_rh_ra02.spr	fm_000_rh_rm.spr	fm_000_rh_rb.spr	fm_000_rh_rd.spr
armor01	fm_001_rh_es02.spr	fm_001_rh_es02.spr	fm_001_rh_es01.spr	fm_001_rh_ss02.spr	fm_001_rh_ss01.spr	fm_001_rh_ss01.spr	fm_001_rh_ls02.spr	fm_001_rh_ls01.spr	fm_001_rh_ls01.spr	fm_001_rh_ds02.spr	fm_001_rh_ds01.spr	fm_001_rh_ds01.spr	fm_001_rh_ew.spr	fm_001_rh_sw.spr	fm_001_rh_lw.spr	fm_001_rh_dw.spr	fm_001_rh_er.spr	fm_001_rh_sr.spr	fm_001_rh_lr.spr	fm_001_rh_dr.spr	fm_001_rh_eb.spr	fm_001_rh_sb.spr	fm_001_rh_lb.spr	fm_001_rh_db.spr	fm_001_rh_ed.spr	fm_001_rh_sd.spr	fm_001_rh_ld.spr	fm_001_rh_dd.spr	fm_001_rh_ea01.spr	fm_001_rh_ea02.spr	fm_001_rh_sa01.spr	fm_001_rh_sa02.spr	fm_001_rh_la01.spr	fm_001_rh_la02.spr	fm_001_rh_da01.spr	fm_001_rh_da02.spr	fm_001_rh_em.spr	fm_001_rh_sm.spr	fm_001_rh_lm.spr	fm_001_rh_dm.spr	fm_001_rh_zz.spr	fm_001_rh_jp.spr	fm_001_rh_rs01.spr	fm_001_rh_rs01.spr	fm_001_rh_rs01.spr	fm_001_rh_rw.spr	fm_001_rh_rr.spr	fm_001_rh_ra01.spr	fm_001_rh_ra02.spr	fm_001_rh_rm.spr	fm_001_rh_rb.spr	fm_001_rh_rd.spr
armor02	fm_002_rh_es02.spr	fm_002_rh_es02.spr	fm_002_rh_es01.spr	fm_002_rh_ss02.spr	fm_002_rh_ss01.spr	fm_002_rh_ss01.spr	fm_002_rh_ls02.spr	fm_002_rh_ls01.spr	fm_002_rh_ls01.spr	fm_002_rh_ds02.spr	fm_002_rh_ds01.spr	fm_002_rh_ds01.spr	fm_002_rh_ew.spr	fm_002_rh_sw.spr	fm_002_rh_lw.spr	fm_002_rh_dw.spr	fm_002_rh_er.spr	fm_002_rh_sr.spr	fm_002_rh_lr.spr	fm_002_rh_dr.spr	fm_002_rh_eb.spr	fm_002_rh_sb.spr	fm_002_rh_lb.spr	fm_002_rh_db.spr	fm_002_rh_ed.spr	fm_002_rh_sd.spr	fm_002_rh_ld.spr	fm_002_rh_dd.spr	fm_002_rh_ea01.spr	fm_002_rh_ea02.spr	fm_002_rh_sa01.spr	fm_002_rh_sa02.spr	fm_002_rh_la01.spr	fm_002_rh_la02.spr	fm_002_rh_da01.spr	fm_002_rh_da02.spr	fm_002_rh_em.spr	fm_002_rh_sm.spr	fm_002_rh_lm.spr	fm_002_rh_dm.spr	fm_002_rh_zz.spr	fm_002_rh_jp.spr	fm_002_rh_rs01.spr	fm_002_rh_rs01.spr	fm_002_rh_rs01.spr	fm_002_rh_rw.spr	fm_002_rh_rr.spr	fm_002_rh_ra01.spr	fm_002_rh_ra02.spr	fm_002_rh_rm.spr	fm_002_rh_rb.spr	fm_002_rh_rd.spr
armor03	fm_003_rh_es02.spr	fm_003_rh_es02.spr	fm_003_rh_es01.spr	fm_003_rh_ss02.spr	fm_003_rh_ss01.spr	fm_003_rh_ss01.spr	fm_003_rh_ls02.spr	fm_003_rh_ls01.spr	fm_003_rh_ls01.spr	fm_003_rh_ds02.spr	fm_003_rh_ds01.spr	fm_003_rh_ds01.spr	fm_003_rh_ew.spr	fm_003_rh_sw.spr	fm_003_rh_lw.spr	fm_003_rh_dw.spr	fm_003_rh_er.spr	fm_003_rh_sr.spr	fm_003_rh_lr.spr	fm_003_rh_dr.spr	fm_003_rh_eb.spr	fm_003_rh_sb.spr	fm_003_rh_lb.spr	fm_003_rh_db.spr	fm_003_rh_ed.spr	fm_003_rh_sd.spr	fm_003_rh_ld.spr	fm_003_rh_dd.spr	fm_003_rh_ea01.spr	fm_003_rh_ea02.spr	fm_003_rh_sa01.spr	fm_003_rh_sa02.spr	fm_003_rh_la01.spr	fm_003_rh_la02.spr	fm_003_rh_da01.spr	fm_003_rh_da02.spr	fm_003_rh_em.spr	fm_003_rh_sm.spr	fm_003_rh_lm.spr	fm_003_rh_dm.spr	fm_003_rh_zz.spr	fm_003_rh_jp.spr	fm_003_rh_rs01.spr	fm_003_rh_rs01.spr	fm_003_rh_rs01.spr	fm_003_rh_rw.spr	fm_003_rh_rr.spr	fm_003_rh_ra01.spr	fm_003_rh_ra02.spr	fm_003_rh_rm.spr	fm_003_rh_rb.spr	fm_003_rh_rd.spr
armor04	fm_004_rh_es02.spr	fm_004_rh_es02.spr	fm_004_rh_es01.spr	fm_004_rh_ss02.spr	fm_004_rh_ss01.spr	fm_004_rh_ss01.spr	fm_004_rh_ls02.spr	fm_004_rh_ls01.spr	fm_004_rh_ls01.spr	fm_004_rh_ds02.spr	fm_004_rh_ds01.spr	fm_004_rh_ds01.spr	fm_004_rh_ew.spr	fm_004_rh_sw.spr	fm_004_rh_lw.spr	fm_004_rh_dw.spr	fm_004_rh_er.spr	fm_004_rh_sr.spr	fm_004_rh_lr.spr	fm_004_rh_dr.spr	fm_004_rh_eb.spr	fm_004_rh_sb.spr	fm_004_rh_lb.spr	fm_004_rh_db.spr	fm_004_rh_ed.spr	fm_004_rh_sd.spr	fm_004_rh_ld.spr	fm_004_rh_dd.spr	fm_004_rh_ea01.spr	fm_004_rh_ea02.spr	fm_004_rh_sa01.spr	fm_004_rh_sa02.spr	fm_004_rh_la01.spr	fm_004_rh_la02.spr	fm_004_rh_da01.spr	fm_004_rh_da02.spr	fm_004_rh_em.spr	fm_004_rh_sm.spr	fm_004_rh_lm.spr	fm_004_rh_dm.spr	fm_004_rh_zz.spr	fm_004_rh_jp.spr	fm_004_rh_rs01.spr	fm_004_rh_rs01.spr	fm_004_rh_rs01.spr	fm_004_rh_rw.spr	fm_004_rh_rr.spr	fm_004_rh_ra01.spr	fm_004_rh_ra02.spr	fm_004_rh_rm.spr	fm_004_rh_rb.spr	fm_004_rh_rd.spr
armor05	fm_005_rh_es02.spr	fm_005_rh_es02.spr	fm_005_rh_es01.spr	fm_005_rh_ss02.spr	fm_005_rh_ss01.spr	fm_005_rh_ss01.spr	fm_005_rh_ls02.spr	fm_005_rh_ls01.spr	fm_005_rh_ls01.spr	fm_005_rh_ds02.spr	fm_005_rh_ds01.spr	fm_005_rh_ds01.spr	fm_005_rh_ew.spr	fm_005_rh_sw.spr	fm_005_rh_lw.spr	fm_005_rh_dw.spr	fm_005_rh_er.spr	fm_005_rh_sr.spr	fm_005_rh_lr.spr	fm_005_rh_dr.spr	fm_005_rh_eb.spr	fm_005_rh_sb.spr	fm_005_rh_lb.spr	fm_005_rh_db.spr	fm_005_rh_ed.spr	fm_005_rh_sd.spr	fm_005_rh_ld.spr	fm_005_rh_dd.spr	fm_005_rh_ea01.spr	fm_005_rh_ea02.spr	fm_005_rh_sa01.spr	fm_005_rh_sa02.spr	fm_005_rh_la01.spr	fm_005_rh_la02.spr	fm_005_rh_da01.spr	fm_005_rh_da02.spr	fm_005_rh_em.spr	fm_005_rh_sm.spr	fm_005_rh_lm.spr	fm_005_rh_dm.spr	fm_005_rh_zz.spr	fm_005_rh_jp.spr	fm_005_rh_rs01.spr	fm_005_rh_rs01.spr	fm_005_rh_rs01.spr	fm_005_rh_rw.spr	fm_005_rh_rr.spr	fm_005_rh_ra01.spr	fm_005_rh_ra02.spr	fm_005_rh_rm.spr	fm_005_rh_rb.spr	fm_005_rh_rd.spr
armor06	fm_006_rh_es02.spr	fm_006_rh_es02.spr	fm_006_rh_es01.spr	fm_006_rh_ss02.spr	fm_006_rh_ss01.spr	fm_006_rh_ss01.spr	fm_006_rh_ls02.spr	fm_006_rh_ls01.spr	fm_006_rh_ls01.spr	fm_006_rh_ds02.spr	fm_006_rh_ds01.spr	fm_006_rh_ds01.spr	fm_006_rh_ew.spr	fm_006_rh_sw.spr	fm_006_rh_lw.spr	fm_006_rh_dw.spr	fm_006_rh_er.spr	fm_006_rh_sr.spr	fm_006_rh_lr.spr	fm_006_rh_dr.spr	fm_006_rh_eb.spr	fm_006_rh_sb.spr	fm_006_rh_lb.spr	fm_006_rh_db.spr	fm_006_rh_ed.spr	fm_006_rh_sd.spr	fm_006_rh_ld.spr	fm_006_rh_dd.spr	fm_006_rh_ea01.spr	fm_006_rh_ea02.spr	fm_006_rh_sa01.spr	fm_006_rh_sa02.spr	fm_006_rh_la01.spr	fm_006_rh_la02.spr	fm_006_rh_da01.spr	fm_006_rh_da02.spr	fm_006_rh_em.spr	fm_006_rh_sm.spr	fm_006_rh_lm.spr	fm_006_rh_dm.spr	fm_006_rh_zz.spr	fm_006_rh_jp.spr	fm_006_rh_rs01.spr	fm_006_rh_rs01.spr	fm_006_rh_rs01.spr	fm_006_rh_rw.spr	fm_006_rh_rr.spr	fm_006_rh_ra01.spr	fm_006_rh_ra02.spr	fm_006_rh_rm.spr	fm_006_rh_rb.spr	fm_006_rh_rd.spr
armor07	fm_007_rh_es02.spr	fm_007_rh_es02.spr	fm_007_rh_es01.spr	fm_007_rh_ss02.spr	fm_007_rh_ss01.spr	fm_007_rh_ss01.spr	fm_007_rh_ls02.spr	fm_007_rh_ls01.spr	fm_007_rh_ls01.spr	fm_007_rh_ds02.spr	fm_007_rh_ds01.spr	fm_007_rh_ds01.spr	fm_007_rh_ew.spr	fm_007_rh_sw.spr	fm_007_rh_lw.spr	fm_007_rh_dw.spr	fm_007_rh_er.spr	fm_007_rh_sr.spr	fm_007_rh_lr.spr	fm_007_rh_dr.spr	fm_007_rh_eb.spr	fm_007_rh_sb.spr	fm_007_rh_lb.spr	fm_007_rh_db.spr	fm_007_rh_ed.spr	fm_007_rh_sd.spr	fm_007_rh_ld.spr	fm_007_rh_dd.spr	fm_007_rh_ea01.spr	fm_007_rh_ea02.spr	fm_007_rh_sa01.spr	fm_007_rh_sa02.spr	fm_007_rh_la01.spr	fm_007_rh_la02.spr	fm_007_rh_da01.spr	fm_007_rh_da02.spr	fm_007_rh_em.spr	fm_007_rh_sm.spr	fm_007_rh_lm.spr	fm_007_rh_dm.spr	fm_007_rh_zz.spr	fm_007_rh_jp.spr	fm_007_rh_rs01.spr	fm_007_rh_rs01.spr	fm_007_rh_rs01.spr	fm_007_rh_rw.spr	fm_007_rh_rr.spr	fm_007_rh_ra01.spr	fm_007_rh_ra02.spr	fm_007_rh_rm.spr	fm_007_rh_rb.spr	fm_007_rh_rd.spr
armor08	fm_008_rh_es02.spr	fm_008_rh_es02.spr	fm_008_rh_es01.spr	fm_008_rh_ss02.spr	fm_008_rh_ss01.spr	fm_008_rh_ss01.spr	fm_008_rh_ls02.spr	fm_008_rh_ls01.spr	fm_008_rh_ls01.spr	fm_008_rh_ds02.spr	fm_008_rh_ds01.spr	fm_008_rh_ds01.spr	fm_008_rh_ew.spr	fm_008_rh_sw.spr	fm_008_rh_lw.spr	fm_008_rh_dw.spr	fm_008_rh_er.spr	fm_008_rh_sr.spr	fm_008_rh_lr.spr	fm_008_rh_dr.spr	fm_008_rh_eb.spr	fm_008_rh_sb.spr	fm_008_rh_lb.spr	fm_008_rh_db.spr	fm_008_rh_ed.spr	fm_008_rh_sd.spr	fm_008_rh_ld.spr	fm_008_rh_dd.spr	fm_008_rh_ea01.spr	fm_008_rh_ea02.spr	fm_008_rh_sa01.spr	fm_008_rh_sa02.spr	fm_008_rh_la01.spr	fm_008_rh_la02.spr	fm_008_rh_da01.spr	fm_008_rh_da02.spr	fm_008_rh_em.spr	fm_008_rh_sm.spr	fm_008_rh_lm.spr	fm_008_rh_dm.spr	fm_008_rh_zz.spr	fm_008_rh_jp.spr	fm_008_rh_rs01.spr	fm_008_rh_rs01.spr	fm_008_rh_rs01.spr	fm_008_rh_rw.spr	fm_008_rh_rr.spr	fm_008_rh_ra01.spr	fm_008_rh_ra02.spr	fm_008_rh_rm.spr	fm_008_rh_rb.spr	fm_008_rh_rd.spr
armor09	fm_009_rh_es02.spr	fm_009_rh_es02.spr	fm_009_rh_es01.spr	fm_009_rh_ss02.spr	fm_009_rh_ss01.spr	fm_009_rh_ss01.spr	fm_009_rh_ls02.spr	fm_009_rh_ls01.spr	fm_009_rh_ls01.spr	fm_009_rh_ds02.spr	fm_009_rh_ds01.spr	fm_009_rh_ds01.spr	fm_009_rh_ew.spr	fm_009_rh_sw.spr	fm_009_rh_lw.spr	fm_009_rh_dw.spr	fm_009_rh_er.spr	fm_009_rh_sr.spr	fm_009_rh_lr.spr	fm_009_rh_dr.spr	fm_009_rh_eb.spr	fm_009_rh_sb.spr	fm_009_rh_lb.spr	fm_009_rh_db.spr	fm_009_rh_ed.spr	fm_009_rh_sd.spr	fm_009_rh_ld.spr	fm_009_rh_dd.spr	fm_009_rh_ea01.spr	fm_009_rh_ea02.spr	fm_009_rh_sa01.spr	fm_009_rh_sa02.spr	fm_009_rh_la01.spr	fm_009_rh_la02.spr	fm_009_rh_da01.spr	fm_009_rh_da02.spr	fm_009_rh_em.spr	fm_009_rh_sm.spr	fm_009_rh_lm.spr	fm_009_rh_dm.spr	fm_009_rh_zz.spr	fm_009_rh_jp.spr	fm_009_rh_rs01.spr	fm_009_rh_rs01.spr	fm_009_rh_rs01.spr	fm_009_rh_rw.spr	fm_009_rh_rr.spr	fm_009_rh_ra01.spr	fm_009_rh_ra02.spr	fm_009_rh_rm.spr	fm_009_rh_rb.spr	fm_009_rh_rd.spr
