EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
helm00																																																				
helm01	fm_001_hr_es02.spr	fm_001_hr_es02.spr	fm_001_hr_es01.spr	fm_001_hr_ss02.spr	fm_001_hr_ss01.spr	fm_001_hr_ss01.spr	fm_001_hr_ls02.spr	fm_001_hr_ls01.spr	fm_001_hr_ls01.spr	fm_001_hr_ds02.spr	fm_001_hr_ds01.spr	fm_001_hr_ds01.spr	fm_001_hr_ew.spr	fm_001_hr_sw.spr	fm_001_hr_lw.spr	fm_001_hr_dw.spr	fm_001_hr_er.spr	fm_001_hr_sr.spr	fm_001_hr_lr.spr	fm_001_hr_dr.spr	fm_001_hr_eb.spr	fm_001_hr_sb.spr	fm_001_hr_lb.spr	fm_001_hr_db.spr	fm_001_hr_ed.spr	fm_001_hr_sd.spr	fm_001_hr_ld.spr	fm_001_hr_dd.spr	fm_001_hr_ea01.spr	fm_001_hr_ea02.spr	fm_001_hr_sa01.spr	fm_001_hr_sa02.spr	fm_001_hr_la01.spr	fm_001_hr_la02.spr	fm_001_hr_da01.spr	fm_001_hr_da02.spr	fm_001_hr_em.spr	fm_001_hr_sm.spr	fm_001_hr_lm.spr	fm_001_hr_dm.spr	fm_001_hr_zz.spr	fm_001_hr_jp.spr	fm_001_hr_rs01.spr	fm_001_hr_rs01.spr	fm_001_hr_rs01.spr	fm_001_hr_rw.spr	fm_001_hr_rr.spr	fm_001_hr_ra01.spr	fm_001_hr_ra02.spr	fm_001_hr_rm.spr	fm_001_hr_rb.spr	fm_001_hr_rd.spr
helm02	fm_002_hr_es02.spr	fm_002_hr_es02.spr	fm_002_hr_es01.spr	fm_002_hr_ss02.spr	fm_002_hr_ss01.spr	fm_002_hr_ss01.spr	fm_002_hr_ls02.spr	fm_002_hr_ls01.spr	fm_002_hr_ls01.spr	fm_002_hr_ds02.spr	fm_002_hr_ds01.spr	fm_002_hr_ds01.spr	fm_002_hr_ew.spr	fm_002_hr_sw.spr	fm_002_hr_lw.spr	fm_002_hr_dw.spr	fm_002_hr_er.spr	fm_002_hr_sr.spr	fm_002_hr_lr.spr	fm_002_hr_dr.spr	fm_002_hr_eb.spr	fm_002_hr_sb.spr	fm_002_hr_lb.spr	fm_002_hr_db.spr	fm_002_hr_ed.spr	fm_002_hr_sd.spr	fm_002_hr_ld.spr	fm_002_hr_dd.spr	fm_002_hr_ea01.spr	fm_002_hr_ea02.spr	fm_002_hr_sa01.spr	fm_002_hr_sa02.spr	fm_002_hr_la01.spr	fm_002_hr_la02.spr	fm_002_hr_da01.spr	fm_002_hr_da02.spr	fm_002_hr_em.spr	fm_002_hr_sm.spr	fm_002_hr_lm.spr	fm_002_hr_dm.spr	fm_002_hr_zz.spr	fm_002_hr_jp.spr	fm_002_hr_rs01.spr	fm_002_hr_rs01.spr	fm_002_hr_rs01.spr	fm_002_hr_rw.spr	fm_002_hr_rr.spr	fm_002_hr_ra01.spr	fm_002_hr_ra02.spr	fm_002_hr_rm.spr	fm_002_hr_rb.spr	fm_002_hr_rd.spr
helm03																																																				
helm04	fm_004_hr_es02.spr	fm_004_hr_es02.spr	fm_004_hr_es01.spr	fm_004_hr_ss02.spr	fm_004_hr_ss01.spr	fm_004_hr_ss01.spr	fm_004_hr_ls02.spr	fm_004_hr_ls01.spr	fm_004_hr_ls01.spr	fm_004_hr_ds02.spr	fm_004_hr_ds01.spr	fm_004_hr_ds01.spr	fm_004_hr_ew.spr	fm_004_hr_sw.spr	fm_004_hr_lw.spr	fm_004_hr_dw.spr	fm_004_hr_er.spr	fm_004_hr_sr.spr	fm_004_hr_lr.spr	fm_004_hr_dr.spr	fm_004_hr_eb.spr	fm_004_hr_sb.spr	fm_004_hr_lb.spr	fm_004_hr_db.spr	fm_004_hr_ed.spr	fm_004_hr_sd.spr	fm_004_hr_ld.spr	fm_004_hr_dd.spr	fm_004_hr_ea01.spr	fm_004_hr_ea02.spr	fm_004_hr_sa01.spr	fm_004_hr_sa02.spr	fm_004_hr_la01.spr	fm_004_hr_la02.spr	fm_004_hr_da01.spr	fm_004_hr_da02.spr	fm_004_hr_em.spr	fm_004_hr_sm.spr	fm_004_hr_lm.spr	fm_004_hr_dm.spr	fm_004_hr_zz.spr	fm_004_hr_jp.spr	fm_004_hr_rs01.spr	fm_004_hr_rs01.spr	fm_004_hr_rs01.spr	fm_004_hr_rw.spr	fm_004_hr_rr.spr	fm_004_hr_ra01.spr	fm_004_hr_ra02.spr	fm_004_hr_rm.spr	fm_004_hr_rb.spr	fm_004_hr_rd.spr
helm05																																																				
helm06	fm_006_hr_es02.spr	fm_006_hr_es02.spr	fm_006_hr_es01.spr	fm_006_hr_ss02.spr	fm_006_hr_ss01.spr	fm_006_hr_ss01.spr	fm_006_hr_ls02.spr	fm_006_hr_ls01.spr	fm_006_hr_ls01.spr	fm_006_hr_ds02.spr	fm_006_hr_ds01.spr	fm_006_hr_ds01.spr	fm_006_hr_ew.spr	fm_006_hr_sw.spr	fm_006_hr_lw.spr	fm_006_hr_dw.spr	fm_006_hr_er.spr	fm_006_hr_sr.spr	fm_006_hr_lr.spr	fm_006_hr_dr.spr	fm_006_hr_eb.spr	fm_006_hr_sb.spr	fm_006_hr_lb.spr	fm_006_hr_db.spr	fm_006_hr_ed.spr	fm_006_hr_sd.spr	fm_006_hr_ld.spr	fm_006_hr_dd.spr	fm_006_hr_ea01.spr	fm_006_hr_ea02.spr	fm_006_hr_sa01.spr	fm_006_hr_sa02.spr	fm_006_hr_la01.spr	fm_006_hr_la02.spr	fm_006_hr_da01.spr	fm_006_hr_da02.spr	fm_006_hr_em.spr	fm_006_hr_sm.spr	fm_006_hr_lm.spr	fm_006_hr_dm.spr	fm_006_hr_zz.spr	fm_006_hr_jp.spr	fm_006_hr_rs01.spr	fm_006_hr_rs01.spr	fm_006_hr_rs01.spr	fm_006_hr_rw.spr	fm_006_hr_rr.spr	fm_006_hr_ra01.spr	fm_006_hr_ra02.spr	fm_006_hr_rm.spr	fm_006_hr_rb.spr	fm_006_hr_rd.spr
helm07	fm_007_hr_es02.spr	fm_007_hr_es02.spr	fm_007_hr_es01.spr	fm_007_hr_ss02.spr	fm_007_hr_ss01.spr	fm_007_hr_ss01.spr	fm_007_hr_ls02.spr	fm_007_hr_ls01.spr	fm_007_hr_ls01.spr	fm_007_hr_ds02.spr	fm_007_hr_ds01.spr	fm_007_hr_ds01.spr	fm_007_hr_ew.spr	fm_007_hr_sw.spr	fm_007_hr_lw.spr	fm_007_hr_dw.spr	fm_007_hr_er.spr	fm_007_hr_sr.spr	fm_007_hr_lr.spr	fm_007_hr_dr.spr	fm_007_hr_eb.spr	fm_007_hr_sb.spr	fm_007_hr_lb.spr	fm_007_hr_db.spr	fm_007_hr_ed.spr	fm_007_hr_sd.spr	fm_007_hr_ld.spr	fm_007_hr_dd.spr	fm_007_hr_ea01.spr	fm_007_hr_ea02.spr	fm_007_hr_sa01.spr	fm_007_hr_sa02.spr	fm_007_hr_la01.spr	fm_007_hr_la02.spr	fm_007_hr_da01.spr	fm_007_hr_da02.spr	fm_007_hr_em.spr	fm_007_hr_sm.spr	fm_007_hr_lm.spr	fm_007_hr_dm.spr	fm_007_hr_zz.spr	fm_007_hr_jp.spr	fm_007_hr_rs01.spr	fm_007_hr_rs01.spr	fm_007_hr_rs01.spr	fm_007_hr_rw.spr	fm_007_hr_rr.spr	fm_007_hr_ra01.spr	fm_007_hr_ra02.spr	fm_007_hr_rm.spr	fm_007_hr_rb.spr	fm_007_hr_rd.spr
helm08	fm_008_hr_es02.spr	fm_008_hr_es02.spr	fm_008_hr_es01.spr	fm_008_hr_ss02.spr	fm_008_hr_ss01.spr	fm_008_hr_ss01.spr	fm_008_hr_ls02.spr	fm_008_hr_ls01.spr	fm_008_hr_ls01.spr	fm_008_hr_ds02.spr	fm_008_hr_ds01.spr	fm_008_hr_ds01.spr	fm_008_hr_ew.spr	fm_008_hr_sw.spr	fm_008_hr_lw.spr	fm_008_hr_dw.spr	fm_008_hr_er.spr	fm_008_hr_sr.spr	fm_008_hr_lr.spr	fm_008_hr_dr.spr	fm_008_hr_eb.spr	fm_008_hr_sb.spr	fm_008_hr_lb.spr	fm_008_hr_db.spr	fm_008_hr_ed.spr	fm_008_hr_sd.spr	fm_008_hr_ld.spr	fm_008_hr_dd.spr	fm_008_hr_ea01.spr	fm_008_hr_ea02.spr	fm_008_hr_sa01.spr	fm_008_hr_sa02.spr	fm_008_hr_la01.spr	fm_008_hr_la02.spr	fm_008_hr_da01.spr	fm_008_hr_da02.spr	fm_008_hr_em.spr	fm_008_hr_sm.spr	fm_008_hr_lm.spr	fm_008_hr_dm.spr	fm_008_hr_zz.spr	fm_008_hr_jp.spr	fm_008_hr_rs01.spr	fm_008_hr_rs01.spr	fm_008_hr_rs01.spr	fm_008_hr_rw.spr	fm_008_hr_rr.spr	fm_008_hr_ra01.spr	fm_008_hr_ra02.spr	fm_008_hr_rm.spr	fm_008_hr_rb.spr	fm_008_hr_rd.spr
helm09																																																				
