EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
helm00	fm_000_hd_es02.spr	fm_000_hd_es02.spr	fm_000_hd_es01.spr	fm_000_hd_ss02.spr	fm_000_hd_ss01.spr	fm_000_hd_ss01.spr	fm_000_hd_ls02.spr	fm_000_hd_ls01.spr	fm_000_hd_ls01.spr	fm_000_hd_ds02.spr	fm_000_hd_ds01.spr	fm_000_hd_ds01.spr	fm_000_hd_ew.spr	fm_000_hd_sw.spr	fm_000_hd_lw.spr	fm_000_hd_dw.spr	fm_000_hd_er.spr	fm_000_hd_sr.spr	fm_000_hd_lr.spr	fm_000_hd_dr.spr	fm_000_hd_eb.spr	fm_000_hd_sb.spr	fm_000_hd_lb.spr	fm_000_hd_db.spr	fm_000_hd_ed.spr	fm_000_hd_sd.spr	fm_000_hd_ld.spr	fm_000_hd_dd.spr	fm_000_hd_ea01.spr	fm_000_hd_ea02.spr	fm_000_hd_sa01.spr	fm_000_hd_sa02.spr	fm_000_hd_la01.spr	fm_000_hd_la02.spr	fm_000_hd_da01.spr	fm_000_hd_da02.spr	fm_000_hd_em.spr	fm_000_hd_sm.spr	fm_000_hd_lm.spr	fm_000_hd_dm.spr	fm_000_hd_zz.spr	fm_000_hd_jp.spr	fm_000_hd_rs01.spr	fm_000_hd_rs01.spr	fm_000_hd_rs01.spr	fm_000_hd_rw.spr	fm_000_hd_rr.spr	fm_000_hd_ra01.spr	fm_000_hd_ra02.spr	fm_000_hd_rm.spr	fm_000_hd_rb.spr	fm_000_hd_rd.spr
helm01	fm_001_hd_es02.spr	fm_001_hd_es02.spr	fm_001_hd_es01.spr	fm_001_hd_ss02.spr	fm_001_hd_ss01.spr	fm_001_hd_ss01.spr	fm_001_hd_ls02.spr	fm_001_hd_ls01.spr	fm_001_hd_ls01.spr	fm_001_hd_ds02.spr	fm_001_hd_ds01.spr	fm_001_hd_ds01.spr	fm_001_hd_ew.spr	fm_001_hd_sw.spr	fm_001_hd_lw.spr	fm_001_hd_dw.spr	fm_001_hd_er.spr	fm_001_hd_sr.spr	fm_001_hd_lr.spr	fm_001_hd_dr.spr	fm_001_hd_eb.spr	fm_001_hd_sb.spr	fm_001_hd_lb.spr	fm_001_hd_db.spr	fm_001_hd_ed.spr	fm_001_hd_sd.spr	fm_001_hd_ld.spr	fm_001_hd_dd.spr	fm_001_hd_ea01.spr	fm_001_hd_ea02.spr	fm_001_hd_sa01.spr	fm_001_hd_sa02.spr	fm_001_hd_la01.spr	fm_001_hd_la02.spr	fm_001_hd_da01.spr	fm_001_hd_da02.spr	fm_001_hd_em.spr	fm_001_hd_sm.spr	fm_001_hd_lm.spr	fm_001_hd_dm.spr	fm_001_hd_zz.spr	fm_001_hd_jp.spr	fm_001_hd_rs01.spr	fm_001_hd_rs01.spr	fm_001_hd_rs01.spr	fm_001_hd_rw.spr	fm_001_hd_rr.spr	fm_001_hd_ra01.spr	fm_001_hd_ra02.spr	fm_001_hd_rm.spr	fm_001_hd_rb.spr	fm_001_hd_rd.spr
helm02	fm_002_hd_es02.spr	fm_002_hd_es02.spr	fm_002_hd_es01.spr	fm_002_hd_ss02.spr	fm_002_hd_ss01.spr	fm_002_hd_ss01.spr	fm_002_hd_ls02.spr	fm_002_hd_ls01.spr	fm_002_hd_ls01.spr	fm_002_hd_ds02.spr	fm_002_hd_ds01.spr	fm_002_hd_ds01.spr	fm_002_hd_ew.spr	fm_002_hd_sw.spr	fm_002_hd_lw.spr	fm_002_hd_dw.spr	fm_002_hd_er.spr	fm_002_hd_sr.spr	fm_002_hd_lr.spr	fm_002_hd_dr.spr	fm_002_hd_eb.spr	fm_002_hd_sb.spr	fm_002_hd_lb.spr	fm_002_hd_db.spr	fm_002_hd_ed.spr	fm_002_hd_sd.spr	fm_002_hd_ld.spr	fm_002_hd_dd.spr	fm_002_hd_ea01.spr	fm_002_hd_ea02.spr	fm_002_hd_sa01.spr	fm_002_hd_sa02.spr	fm_002_hd_la01.spr	fm_002_hd_la02.spr	fm_002_hd_da01.spr	fm_002_hd_da02.spr	fm_002_hd_em.spr	fm_002_hd_sm.spr	fm_002_hd_lm.spr	fm_002_hd_dm.spr	fm_002_hd_zz.spr	fm_002_hd_jp.spr	fm_002_hd_rs01.spr	fm_002_hd_rs01.spr	fm_002_hd_rs01.spr	fm_002_hd_rw.spr	fm_002_hd_rr.spr	fm_002_hd_ra01.spr	fm_002_hd_ra02.spr	fm_002_hd_rm.spr	fm_002_hd_rb.spr	fm_002_hd_rd.spr
helm03	fm_003_hd_es02.spr	fm_003_hd_es02.spr	fm_003_hd_es01.spr	fm_003_hd_ss02.spr	fm_003_hd_ss01.spr	fm_003_hd_ss01.spr	fm_003_hd_ls02.spr	fm_003_hd_ls01.spr	fm_003_hd_ls01.spr	fm_003_hd_ds02.spr	fm_003_hd_ds01.spr	fm_003_hd_ds01.spr	fm_003_hd_ew.spr	fm_003_hd_sw.spr	fm_003_hd_lw.spr	fm_003_hd_dw.spr	fm_003_hd_er.spr	fm_003_hd_sr.spr	fm_003_hd_lr.spr	fm_003_hd_dr.spr	fm_003_hd_eb.spr	fm_003_hd_sb.spr	fm_003_hd_lb.spr	fm_003_hd_db.spr	fm_003_hd_ed.spr	fm_003_hd_sd.spr	fm_003_hd_ld.spr	fm_003_hd_dd.spr	fm_003_hd_ea01.spr	fm_003_hd_ea02.spr	fm_003_hd_sa01.spr	fm_003_hd_sa02.spr	fm_003_hd_la01.spr	fm_003_hd_la02.spr	fm_003_hd_da01.spr	fm_003_hd_da02.spr	fm_003_hd_em.spr	fm_003_hd_sm.spr	fm_003_hd_lm.spr	fm_003_hd_dm.spr	fm_003_hd_zz.spr	fm_003_hd_jp.spr	fm_003_hd_rs01.spr	fm_003_hd_rs01.spr	fm_003_hd_rs01.spr	fm_003_hd_rw.spr	fm_003_hd_rr.spr	fm_003_hd_ra01.spr	fm_003_hd_ra02.spr	fm_003_hd_rm.spr	fm_003_hd_rb.spr	fm_003_hd_rd.spr
helm04	fm_004_hd_es02.spr	fm_004_hd_es02.spr	fm_004_hd_es01.spr	fm_004_hd_ss02.spr	fm_004_hd_ss01.spr	fm_004_hd_ss01.spr	fm_004_hd_ls02.spr	fm_004_hd_ls01.spr	fm_004_hd_ls01.spr	fm_004_hd_ds02.spr	fm_004_hd_ds01.spr	fm_004_hd_ds01.spr	fm_004_hd_ew.spr	fm_004_hd_sw.spr	fm_004_hd_lw.spr	fm_004_hd_dw.spr	fm_004_hd_er.spr	fm_004_hd_sr.spr	fm_004_hd_lr.spr	fm_004_hd_dr.spr	fm_004_hd_eb.spr	fm_004_hd_sb.spr	fm_004_hd_lb.spr	fm_004_hd_db.spr	fm_004_hd_ed.spr	fm_004_hd_sd.spr	fm_004_hd_ld.spr	fm_004_hd_dd.spr	fm_004_hd_ea01.spr	fm_004_hd_ea02.spr	fm_004_hd_sa01.spr	fm_004_hd_sa02.spr	fm_004_hd_la01.spr	fm_004_hd_la02.spr	fm_004_hd_da01.spr	fm_004_hd_da02.spr	fm_004_hd_em.spr	fm_004_hd_sm.spr	fm_004_hd_lm.spr	fm_004_hd_dm.spr	fm_004_hd_zz.spr	fm_004_hd_jp.spr	fm_004_hd_rs01.spr	fm_004_hd_rs01.spr	fm_004_hd_rs01.spr	fm_004_hd_rw.spr	fm_004_hd_rr.spr	fm_004_hd_ra01.spr	fm_004_hd_ra02.spr	fm_004_hd_rm.spr	fm_004_hd_rb.spr	fm_004_hd_rd.spr
helm05	fm_005_hd_es02.spr	fm_005_hd_es02.spr	fm_005_hd_es01.spr	fm_005_hd_ss02.spr	fm_005_hd_ss01.spr	fm_005_hd_ss01.spr	fm_005_hd_ls02.spr	fm_005_hd_ls01.spr	fm_005_hd_ls01.spr	fm_005_hd_ds02.spr	fm_005_hd_ds01.spr	fm_005_hd_ds01.spr	fm_005_hd_ew.spr	fm_005_hd_sw.spr	fm_005_hd_lw.spr	fm_005_hd_dw.spr	fm_005_hd_er.spr	fm_005_hd_sr.spr	fm_005_hd_lr.spr	fm_005_hd_dr.spr	fm_005_hd_eb.spr	fm_005_hd_sb.spr	fm_005_hd_lb.spr	fm_005_hd_db.spr	fm_005_hd_ed.spr	fm_005_hd_sd.spr	fm_005_hd_ld.spr	fm_005_hd_dd.spr	fm_005_hd_ea01.spr	fm_005_hd_ea02.spr	fm_005_hd_sa01.spr	fm_005_hd_sa02.spr	fm_005_hd_la01.spr	fm_005_hd_la02.spr	fm_005_hd_da01.spr	fm_005_hd_da02.spr	fm_005_hd_em.spr	fm_005_hd_sm.spr	fm_005_hd_lm.spr	fm_005_hd_dm.spr	fm_005_hd_zz.spr	fm_005_hd_jp.spr	fm_005_hd_rs01.spr	fm_005_hd_rs01.spr	fm_005_hd_rs01.spr	fm_005_hd_rw.spr	fm_005_hd_rr.spr	fm_005_hd_ra01.spr	fm_005_hd_ra02.spr	fm_005_hd_rm.spr	fm_005_hd_rb.spr	fm_005_hd_rd.spr
helm06	fm_006_hd_es02.spr	fm_006_hd_es02.spr	fm_006_hd_es01.spr	fm_006_hd_ss02.spr	fm_006_hd_ss01.spr	fm_006_hd_ss01.spr	fm_006_hd_ls02.spr	fm_006_hd_ls01.spr	fm_006_hd_ls01.spr	fm_006_hd_ds02.spr	fm_006_hd_ds01.spr	fm_006_hd_ds01.spr	fm_006_hd_ew.spr	fm_006_hd_sw.spr	fm_006_hd_lw.spr	fm_006_hd_dw.spr	fm_006_hd_er.spr	fm_006_hd_sr.spr	fm_006_hd_lr.spr	fm_006_hd_dr.spr	fm_006_hd_eb.spr	fm_006_hd_sb.spr	fm_006_hd_lb.spr	fm_006_hd_db.spr	fm_006_hd_ed.spr	fm_006_hd_sd.spr	fm_006_hd_ld.spr	fm_006_hd_dd.spr	fm_006_hd_ea01.spr	fm_006_hd_ea02.spr	fm_006_hd_sa01.spr	fm_006_hd_sa02.spr	fm_006_hd_la01.spr	fm_006_hd_la02.spr	fm_006_hd_da01.spr	fm_006_hd_da02.spr	fm_006_hd_em.spr	fm_006_hd_sm.spr	fm_006_hd_lm.spr	fm_006_hd_dm.spr	fm_006_hd_zz.spr	fm_006_hd_jp.spr	fm_006_hd_rs01.spr	fm_006_hd_rs01.spr	fm_006_hd_rs01.spr	fm_006_hd_rw.spr	fm_006_hd_rr.spr	fm_006_hd_ra01.spr	fm_006_hd_ra02.spr	fm_006_hd_rm.spr	fm_006_hd_rb.spr	fm_006_hd_rd.spr
helm07	fm_007_hd_es02.spr	fm_007_hd_es02.spr	fm_007_hd_es01.spr	fm_007_hd_ss02.spr	fm_007_hd_ss01.spr	fm_007_hd_ss01.spr	fm_007_hd_ls02.spr	fm_007_hd_ls01.spr	fm_007_hd_ls01.spr	fm_007_hd_ds02.spr	fm_007_hd_ds01.spr	fm_007_hd_ds01.spr	fm_007_hd_ew.spr	fm_007_hd_sw.spr	fm_007_hd_lw.spr	fm_007_hd_dw.spr	fm_007_hd_er.spr	fm_007_hd_sr.spr	fm_007_hd_lr.spr	fm_007_hd_dr.spr	fm_007_hd_eb.spr	fm_007_hd_sb.spr	fm_007_hd_lb.spr	fm_007_hd_db.spr	fm_007_hd_ed.spr	fm_007_hd_sd.spr	fm_007_hd_ld.spr	fm_007_hd_dd.spr	fm_007_hd_ea01.spr	fm_007_hd_ea02.spr	fm_007_hd_sa01.spr	fm_007_hd_sa02.spr	fm_007_hd_la01.spr	fm_007_hd_la02.spr	fm_007_hd_da01.spr	fm_007_hd_da02.spr	fm_007_hd_em.spr	fm_007_hd_sm.spr	fm_007_hd_lm.spr	fm_007_hd_dm.spr	fm_007_hd_zz.spr	fm_007_hd_jp.spr	fm_007_hd_rs01.spr	fm_007_hd_rs01.spr	fm_007_hd_rs01.spr	fm_007_hd_rw.spr	fm_007_hd_rr.spr	fm_007_hd_ra01.spr	fm_007_hd_ra02.spr	fm_007_hd_rm.spr	fm_007_hd_rb.spr	fm_007_hd_rd.spr
helm08	fm_008_hd_es02.spr	fm_008_hd_es02.spr	fm_008_hd_es01.spr	fm_008_hd_ss02.spr	fm_008_hd_ss01.spr	fm_008_hd_ss01.spr	fm_008_hd_ls02.spr	fm_008_hd_ls01.spr	fm_008_hd_ls01.spr	fm_008_hd_ds02.spr	fm_008_hd_ds01.spr	fm_008_hd_ds01.spr	fm_008_hd_ew.spr	fm_008_hd_sw.spr	fm_008_hd_lw.spr	fm_008_hd_dw.spr	fm_008_hd_er.spr	fm_008_hd_sr.spr	fm_008_hd_lr.spr	fm_008_hd_dr.spr	fm_008_hd_eb.spr	fm_008_hd_sb.spr	fm_008_hd_lb.spr	fm_008_hd_db.spr	fm_008_hd_ed.spr	fm_008_hd_sd.spr	fm_008_hd_ld.spr	fm_008_hd_dd.spr	fm_008_hd_ea01.spr	fm_008_hd_ea02.spr	fm_008_hd_sa01.spr	fm_008_hd_sa02.spr	fm_008_hd_la01.spr	fm_008_hd_la02.spr	fm_008_hd_da01.spr	fm_008_hd_da02.spr	fm_008_hd_em.spr	fm_008_hd_sm.spr	fm_008_hd_lm.spr	fm_008_hd_dm.spr	fm_008_hd_zz.spr	fm_008_hd_jp.spr	fm_008_hd_rs01.spr	fm_008_hd_rs01.spr	fm_008_hd_rs01.spr	fm_008_hd_rw.spr	fm_008_hd_rr.spr	fm_008_hd_ra01.spr	fm_008_hd_ra02.spr	fm_008_hd_rm.spr	fm_008_hd_rb.spr	fm_008_hd_rd.spr
helm09	fm_009_hd_es02.spr	fm_009_hd_es02.spr	fm_009_hd_es01.spr	fm_009_hd_ss02.spr	fm_009_hd_ss01.spr	fm_009_hd_ss01.spr	fm_009_hd_ls02.spr	fm_009_hd_ls01.spr	fm_009_hd_ls01.spr	fm_009_hd_ds02.spr	fm_009_hd_ds01.spr	fm_009_hd_ds01.spr	fm_009_hd_ew.spr	fm_009_hd_sw.spr	fm_009_hd_lw.spr	fm_009_hd_dw.spr	fm_009_hd_er.spr	fm_009_hd_sr.spr	fm_009_hd_lr.spr	fm_009_hd_dr.spr	fm_009_hd_eb.spr	fm_009_hd_sb.spr	fm_009_hd_lb.spr	fm_009_hd_db.spr	fm_009_hd_ed.spr	fm_009_hd_sd.spr	fm_009_hd_ld.spr	fm_009_hd_dd.spr	fm_009_hd_ea01.spr	fm_009_hd_ea02.spr	fm_009_hd_sa01.spr	fm_009_hd_sa02.spr	fm_009_hd_la01.spr	fm_009_hd_la02.spr	fm_009_hd_da01.spr	fm_009_hd_da02.spr	fm_009_hd_em.spr	fm_009_hd_sm.spr	fm_009_hd_lm.spr	fm_009_hd_dm.spr	fm_009_hd_zz.spr	fm_009_hd_jp.spr	fm_009_hd_rs01.spr	fm_009_hd_rs01.spr	fm_009_hd_rs01.spr	fm_009_hd_rw.spr	fm_009_hd_rr.spr	fm_009_hd_ra01.spr	fm_009_hd_ra02.spr	fm_009_hd_rm.spr	fm_009_hd_rb.spr	fm_009_hd_rd.spr
