EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
kongshou	fm_000_rw_es02.spr	fm_000_rw_es02.spr	fm_000_rw_es01.spr										fm_000_rw_ew.spr				fm_000_rw_er.spr	fm_000_rw_sr.spr			fm_000_rw_eb.spr				fm_000_rw_ed.spr				fm_000_rw_ea01.spr	fm_000_rw_ea02.spr							fm_000_rw_em.spr				fm_000_rw_zz.spr	fm_000_rw_jp.spr	fm_000_rw_rs01.spr	fm_000_rw_rs01.spr	fm_000_rw_rs01.spr	fm_000_rw_rw.spr	fm_000_rw_rr.spr	fm_000_rw_ra01.spr	fm_000_rw_ra02.spr	fm_000_rw_rm.spr	fm_000_rw_rb.spr	fm_000_rw_rd.spr
danshoujian01	fm_000_rw_es02.spr	fm_000_rw_es02.spr	fm_000_rw_es01.spr	fm_001_rw_ss02.spr	fm_001_rw_ss01.spr	fm_001_rw_ss01.spr							fm_000_rw_ew.spr	fm_001_rw_sw.spr			fm_000_rw_er.spr	fm_001_rw_sr.spr			fm_000_rw_eb.spr	fm_001_rw_sb.spr			fm_000_rw_ed.spr	fm_001_rw_sd.spr			fm_000_rw_ea01.spr	fm_000_rw_ea02.spr	fm_001_rw_sa01.spr	fm_001_rw_sa02.spr					fm_000_rw_em.spr	fm_001_rw_sm.spr			fm_000_rw_zz.spr	fm_000_rw_jp.spr	fm_001_rw_rs01.spr	fm_001_rw_rs01.spr	fm_001_rw_rs01.spr	fm_001_rw_rw.spr	fm_001_rw_rr.spr	fm_001_rw_ra01.spr	fm_001_rw_ra02.spr	fm_001_rw_rm.spr	fm_001_rw_rb.spr	fm_001_rw_rd.spr
danshoujian02	fm_000_rw_es02.spr	fm_000_rw_es02.spr	fm_000_rw_es01.spr	fm_002_rw_ss02.spr	fm_002_rw_ss01.spr	fm_002_rw_ss01.spr							fm_000_rw_ew.spr	fm_002_rw_sw.spr			fm_000_rw_er.spr	fm_002_rw_sr.spr			fm_000_rw_eb.spr	fm_002_rw_sb.spr			fm_000_rw_ed.spr	fm_002_rw_sd.spr			fm_000_rw_ea01.spr	fm_000_rw_ea02.spr	fm_002_rw_sa01.spr	fm_002_rw_sa02.spr					fm_000_rw_em.spr	fm_002_rw_sm.spr			fm_000_rw_zz.spr	fm_000_rw_jp.spr	fm_002_rw_rs01.spr	fm_002_rw_rs01.spr	fm_002_rw_rs01.spr	fm_002_rw_rw.spr	fm_002_rw_rr.spr	fm_002_rw_ra01.spr	fm_002_rw_ra02.spr	fm_002_rw_rm.spr	fm_002_rw_rb.spr	fm_002_rw_rd.spr
danshoujian03	fm_000_rw_es02.spr	fm_000_rw_es02.spr	fm_000_rw_es01.spr	fm_003_rw_ss02.spr	fm_003_rw_ss01.spr	fm_003_rw_ss01.spr							fm_000_rw_ew.spr	fm_003_rw_sw.spr			fm_000_rw_er.spr	fm_003_rw_sr.spr			fm_000_rw_eb.spr	fm_003_rw_sb.spr			fm_000_rw_ed.spr	fm_003_rw_sd.spr			fm_000_rw_ea01.spr	fm_000_rw_ea02.spr	fm_003_rw_sa01.spr	fm_003_rw_sa02.spr					fm_000_rw_em.spr	fm_003_rw_sm.spr			fm_000_rw_zz.spr	fm_000_rw_jp.spr	fm_003_rw_rs01.spr	fm_003_rw_rs01.spr	fm_003_rw_rs01.spr	fm_003_rw_rw.spr	fm_003_rw_rr.spr	fm_003_rw_ra01.spr	fm_003_rw_ra02.spr	fm_003_rw_rm.spr	fm_003_rw_rb.spr	fm_003_rw_rd.spr
danshoujian04	fm_000_rw_es02.spr	fm_000_rw_es02.spr	fm_000_rw_es01.spr	fm_004_rw_ss02.spr	fm_004_rw_ss01.spr	fm_004_rw_ss01.spr							fm_000_rw_ew.spr	fm_004_rw_sw.spr			fm_000_rw_er.spr	fm_004_rw_sr.spr			fm_000_rw_eb.spr	fm_004_rw_sb.spr			fm_000_rw_ed.spr	fm_004_rw_sd.spr			fm_000_rw_ea01.spr	fm_000_rw_ea02.spr	fm_004_rw_sa01.spr	fm_004_rw_sa02.spr					fm_000_rw_em.spr	fm_004_rw_sm.spr			fm_000_rw_zz.spr	fm_000_rw_jp.spr	fm_004_rw_rs01.spr	fm_004_rw_rs01.spr	fm_004_rw_rs01.spr	fm_004_rw_rw.spr	fm_004_rw_rr.spr	fm_004_rw_ra01.spr	fm_004_rw_ra02.spr	fm_004_rw_rm.spr	fm_004_rw_rb.spr	fm_004_rw_rd.spr
danshoujian05	fm_000_rw_es02.spr	fm_000_rw_es02.spr	fm_000_rw_es01.spr	fm_005_rw_ss02.spr	fm_005_rw_ss01.spr	fm_005_rw_ss01.spr							fm_000_rw_ew.spr	fm_005_rw_sw.spr			fm_000_rw_er.spr	fm_005_rw_sr.spr			fm_000_rw_eb.spr	fm_005_rw_sb.spr			fm_000_rw_ed.spr	fm_005_rw_sd.spr			fm_000_rw_ea01.spr	fm_000_rw_ea02.spr	fm_005_rw_sa01.spr	fm_005_rw_sa02.spr					fm_000_rw_em.spr	fm_005_rw_sm.spr			fm_000_rw_zz.spr	fm_000_rw_jp.spr	fm_005_rw_rs01.spr	fm_005_rw_rs01.spr	fm_005_rw_rs01.spr	fm_005_rw_rw.spr	fm_005_rw_rr.spr	fm_005_rw_ra01.spr	fm_005_rw_ra02.spr	fm_005_rw_rm.spr	fm_005_rw_rb.spr	fm_005_rw_rd.spr
danshoujian06	fm_000_rw_es02.spr	fm_000_rw_es02.spr	fm_000_rw_es01.spr	fm_006_rw_ss02.spr	fm_006_rw_ss01.spr	fm_006_rw_ss01.spr							fm_000_rw_ew.spr	fm_006_rw_sw.spr			fm_000_rw_er.spr	fm_006_rw_sr.spr			fm_000_rw_eb.spr	fm_006_rw_sb.spr			fm_000_rw_ed.spr	fm_006_rw_sd.spr			fm_000_rw_ea01.spr	fm_000_rw_ea02.spr	fm_006_rw_sa01.spr	fm_006_rw_sa02.spr					fm_000_rw_em.spr	fm_006_rw_sm.spr			fm_000_rw_zz.spr	fm_000_rw_jp.spr	fm_006_rw_rs01.spr	fm_006_rw_rs01.spr	fm_006_rw_rs01.spr	fm_006_rw_rw.spr	fm_006_rw_rr.spr	fm_006_rw_ra01.spr	fm_006_rw_ra02.spr	fm_006_rw_rm.spr	fm_006_rw_rb.spr	fm_006_rw_rd.spr
danshoudao01	fm_000_rw_es02.spr	fm_000_rw_es02.spr	fm_000_rw_es01.spr	fm_007_rw_ss02.spr	fm_007_rw_ss01.spr	fm_007_rw_ss01.spr							fm_000_rw_ew.spr	fm_007_rw_sw.spr			fm_000_rw_er.spr	fm_007_rw_sr.spr			fm_000_rw_eb.spr	fm_007_rw_sb.spr			fm_000_rw_ed.spr	fm_007_rw_sd.spr			fm_000_rw_ea01.spr	fm_000_rw_ea02.spr	fm_007_rw_sa01.spr	fm_007_rw_sa02.spr					fm_000_rw_em.spr	fm_007_rw_sm.spr			fm_000_rw_zz.spr	fm_000_rw_jp.spr	fm_007_rw_rs01.spr	fm_007_rw_rs01.spr	fm_007_rw_rs01.spr	fm_007_rw_rw.spr	fm_007_rw_rr.spr	fm_007_rw_ra01.spr	fm_007_rw_ra02.spr	fm_007_rw_rm.spr	fm_007_rw_rb.spr	fm_007_rw_rd.spr
danshoudao02	fm_000_rw_es02.spr	fm_000_rw_es02.spr	fm_000_rw_es01.spr	fm_008_rw_ss02.spr	fm_008_rw_ss01.spr	fm_008_rw_ss01.spr							fm_000_rw_ew.spr	fm_008_rw_sw.spr			fm_000_rw_er.spr	fm_008_rw_sr.spr			fm_000_rw_eb.spr	fm_008_rw_sb.spr			fm_000_rw_ed.spr	fm_008_rw_sd.spr			fm_000_rw_ea01.spr	fm_000_rw_ea02.spr	fm_008_rw_sa01.spr	fm_008_rw_sa02.spr					fm_000_rw_em.spr	fm_008_rw_sm.spr			fm_000_rw_zz.spr	fm_000_rw_jp.spr	fm_008_rw_rs01.spr	fm_008_rw_rs01.spr	fm_008_rw_rs01.spr	fm_008_rw_rw.spr	fm_008_rw_rr.spr	fm_008_rw_ra01.spr	fm_008_rw_ra02.spr	fm_008_rw_rm.spr	fm_008_rw_rb.spr	fm_008_rw_rd.spr
danshoudao03	fm_000_rw_es02.spr	fm_000_rw_es02.spr	fm_000_rw_es01.spr	fm_009_rw_ss02.spr	fm_009_rw_ss01.spr	fm_009_rw_ss01.spr							fm_000_rw_ew.spr	fm_009_rw_sw.spr			fm_000_rw_er.spr	fm_009_rw_sr.spr			fm_000_rw_eb.spr	fm_009_rw_sb.spr			fm_000_rw_ed.spr	fm_009_rw_sd.spr			fm_000_rw_ea01.spr	fm_000_rw_ea02.spr	fm_009_rw_sa01.spr	fm_009_rw_sa02.spr					fm_000_rw_em.spr	fm_009_rw_sm.spr			fm_000_rw_zz.spr	fm_000_rw_jp.spr	fm_009_rw_rs01.spr	fm_009_rw_rs01.spr	fm_009_rw_rs01.spr	fm_009_rw_rw.spr	fm_009_rw_rr.spr	fm_009_rw_ra01.spr	fm_009_rw_ra02.spr	fm_009_rw_rm.spr	fm_009_rw_rb.spr	fm_009_rw_rd.spr
