EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
armor00	ma_000_lh_es02.spr	ma_000_lh_es02.spr	ma_000_lh_es01.spr	ma_000_lh_ss02.spr	ma_000_lh_ss01.spr	ma_000_lh_ss01.spr	ma_000_lh_ls02.spr	ma_000_lh_ls01.spr	ma_000_lh_ls01.spr	ma_000_lh_ds02.spr	ma_000_lh_ds01.spr	ma_000_lh_ds01.spr	ma_000_lh_ew.spr	ma_000_lh_sw.spr	ma_000_lh_lw.spr	ma_000_lh_dw.spr	ma_000_lh_er.spr	ma_000_lh_sr.spr	ma_000_lh_lr.spr	ma_000_lh_dr.spr	ma_000_lh_eb.spr	ma_000_lh_sb.spr	ma_000_lh_lb.spr	ma_000_lh_db.spr	ma_000_lh_ed.spr	ma_000_lh_sd.spr	ma_000_lh_ld.spr	ma_000_lh_dd.spr	ma_000_lh_ea01.spr	ma_000_lh_ea02.spr	ma_000_lh_sa01.spr	ma_000_lh_sa02.spr	ma_000_lh_la01.spr	ma_000_lh_la02.spr	ma_000_lh_da01.spr	ma_000_lh_da02.spr	ma_000_lh_em.spr	ma_000_lh_sm.spr	ma_000_lh_lm.spr	ma_000_lh_dm.spr	ma_000_lh_zz.spr	ma_000_lh_jp.spr	ma_000_lh_rs01.spr	ma_000_lh_rs01.spr	ma_000_lh_rs01.spr	ma_000_lh_rw.spr	ma_000_lh_rr.spr	ma_000_lh_ra01.spr	ma_000_lh_ra02.spr	ma_000_lh_rm.spr	ma_000_lh_rb.spr	ma_000_lh_rd.spr
armor01	ma_001_lh_es02.spr	ma_001_lh_es02.spr	ma_001_lh_es01.spr	ma_001_lh_ss02.spr	ma_001_lh_ss01.spr	ma_001_lh_ss01.spr	ma_001_lh_ls02.spr	ma_001_lh_ls01.spr	ma_001_lh_ls01.spr	ma_001_lh_ds02.spr	ma_001_lh_ds01.spr	ma_001_lh_ds01.spr	ma_001_lh_ew.spr	ma_001_lh_sw.spr	ma_001_lh_lw.spr	ma_001_lh_dw.spr	ma_001_lh_er.spr	ma_001_lh_sr.spr	ma_001_lh_lr.spr	ma_001_lh_dr.spr	ma_001_lh_eb.spr	ma_001_lh_sb.spr	ma_001_lh_lb.spr	ma_001_lh_db.spr	ma_001_lh_ed.spr	ma_001_lh_sd.spr	ma_001_lh_ld.spr	ma_001_lh_dd.spr	ma_001_lh_ea01.spr	ma_001_lh_ea02.spr	ma_001_lh_sa01.spr	ma_001_lh_sa02.spr	ma_001_lh_la01.spr	ma_001_lh_la02.spr	ma_001_lh_da01.spr	ma_001_lh_da02.spr	ma_001_lh_em.spr	ma_001_lh_sm.spr	ma_001_lh_lm.spr	ma_001_lh_dm.spr	ma_001_lh_zz.spr	ma_001_lh_jp.spr	ma_001_lh_rs01.spr	ma_001_lh_rs01.spr	ma_001_lh_rs01.spr	ma_001_lh_rw.spr	ma_001_lh_rr.spr	ma_001_lh_ra01.spr	ma_001_lh_ra02.spr	ma_001_lh_rm.spr	ma_001_lh_rb.spr	ma_001_lh_rd.spr
armor02	ma_002_lh_es02.spr	ma_002_lh_es02.spr	ma_002_lh_es01.spr	ma_002_lh_ss02.spr	ma_002_lh_ss01.spr	ma_002_lh_ss01.spr	ma_002_lh_ls02.spr	ma_002_lh_ls01.spr	ma_002_lh_ls01.spr	ma_002_lh_ds02.spr	ma_002_lh_ds01.spr	ma_002_lh_ds01.spr	ma_002_lh_ew.spr	ma_002_lh_sw.spr	ma_002_lh_lw.spr	ma_002_lh_dw.spr	ma_002_lh_er.spr	ma_002_lh_sr.spr	ma_002_lh_lr.spr	ma_002_lh_dr.spr	ma_002_lh_eb.spr	ma_002_lh_sb.spr	ma_002_lh_lb.spr	ma_002_lh_db.spr	ma_002_lh_ed.spr	ma_002_lh_sd.spr	ma_002_lh_ld.spr	ma_002_lh_dd.spr	ma_002_lh_ea01.spr	ma_002_lh_ea02.spr	ma_002_lh_sa01.spr	ma_002_lh_sa02.spr	ma_002_lh_la01.spr	ma_002_lh_la02.spr	ma_002_lh_da01.spr	ma_002_lh_da02.spr	ma_002_lh_em.spr	ma_002_lh_sm.spr	ma_002_lh_lm.spr	ma_002_lh_dm.spr	ma_002_lh_zz.spr	ma_002_lh_jp.spr	ma_002_lh_rs01.spr	ma_002_lh_rs01.spr	ma_002_lh_rs01.spr	ma_002_lh_rw.spr	ma_002_lh_rr.spr	ma_002_lh_ra01.spr	ma_002_lh_ra02.spr	ma_002_lh_rm.spr	ma_002_lh_rb.spr	ma_002_lh_rd.spr
armor03	ma_003_lh_es02.spr	ma_003_lh_es02.spr	ma_003_lh_es01.spr	ma_003_lh_ss02.spr	ma_003_lh_ss01.spr	ma_003_lh_ss01.spr	ma_003_lh_ls02.spr	ma_003_lh_ls01.spr	ma_003_lh_ls01.spr	ma_003_lh_ds02.spr	ma_003_lh_ds01.spr	ma_003_lh_ds01.spr	ma_003_lh_ew.spr	ma_003_lh_sw.spr	ma_003_lh_lw.spr	ma_003_lh_dw.spr	ma_003_lh_er.spr	ma_003_lh_sr.spr	ma_003_lh_lr.spr	ma_003_lh_dr.spr	ma_003_lh_eb.spr	ma_003_lh_sb.spr	ma_003_lh_lb.spr	ma_003_lh_db.spr	ma_003_lh_ed.spr	ma_003_lh_sd.spr	ma_003_lh_ld.spr	ma_003_lh_dd.spr	ma_003_lh_ea01.spr	ma_003_lh_ea02.spr	ma_003_lh_sa01.spr	ma_003_lh_sa02.spr	ma_003_lh_la01.spr	ma_003_lh_la02.spr	ma_003_lh_da01.spr	ma_003_lh_da02.spr	ma_003_lh_em.spr	ma_003_lh_sm.spr	ma_003_lh_lm.spr	ma_003_lh_dm.spr	ma_003_lh_zz.spr	ma_003_lh_jp.spr	ma_003_lh_rs01.spr	ma_003_lh_rs01.spr	ma_003_lh_rs01.spr	ma_003_lh_rw.spr	ma_003_lh_rr.spr	ma_003_lh_ra01.spr	ma_003_lh_ra02.spr	ma_003_lh_rm.spr	ma_003_lh_rb.spr	ma_003_lh_rd.spr
armor04	ma_004_lh_es02.spr	ma_004_lh_es02.spr	ma_004_lh_es01.spr	ma_004_lh_ss02.spr	ma_004_lh_ss01.spr	ma_004_lh_ss01.spr	ma_004_lh_ls02.spr	ma_004_lh_ls01.spr	ma_004_lh_ls01.spr	ma_004_lh_ds02.spr	ma_004_lh_ds01.spr	ma_004_lh_ds01.spr	ma_004_lh_ew.spr	ma_004_lh_sw.spr	ma_004_lh_lw.spr	ma_004_lh_dw.spr	ma_004_lh_er.spr	ma_004_lh_sr.spr	ma_004_lh_lr.spr	ma_004_lh_dr.spr	ma_004_lh_eb.spr	ma_004_lh_sb.spr	ma_004_lh_lb.spr	ma_004_lh_db.spr	ma_004_lh_ed.spr	ma_004_lh_sd.spr	ma_004_lh_ld.spr	ma_004_lh_dd.spr	ma_004_lh_ea01.spr	ma_004_lh_ea02.spr	ma_004_lh_sa01.spr	ma_004_lh_sa02.spr	ma_004_lh_la01.spr	ma_004_lh_la02.spr	ma_004_lh_da01.spr	ma_004_lh_da02.spr	ma_004_lh_em.spr	ma_004_lh_sm.spr	ma_004_lh_lm.spr	ma_004_lh_dm.spr	ma_004_lh_zz.spr	ma_004_lh_jp.spr	ma_004_lh_rs01.spr	ma_004_lh_rs01.spr	ma_004_lh_rs01.spr	ma_004_lh_rw.spr	ma_004_lh_rr.spr	ma_004_lh_ra01.spr	ma_004_lh_ra02.spr	ma_004_lh_rm.spr	ma_004_lh_rb.spr	ma_004_lh_rd.spr
armor05	ma_005_lh_es02.spr	ma_005_lh_es02.spr	ma_005_lh_es01.spr	ma_005_lh_ss02.spr	ma_005_lh_ss01.spr	ma_005_lh_ss01.spr	ma_005_lh_ls02.spr	ma_005_lh_ls01.spr	ma_005_lh_ls01.spr	ma_005_lh_ds02.spr	ma_005_lh_ds01.spr	ma_005_lh_ds01.spr	ma_005_lh_ew.spr	ma_005_lh_sw.spr	ma_005_lh_lw.spr	ma_005_lh_dw.spr	ma_005_lh_er.spr	ma_005_lh_sr.spr	ma_005_lh_lr.spr	ma_005_lh_dr.spr	ma_005_lh_eb.spr	ma_005_lh_sb.spr	ma_005_lh_lb.spr	ma_005_lh_db.spr	ma_005_lh_ed.spr	ma_005_lh_sd.spr	ma_005_lh_ld.spr	ma_005_lh_dd.spr	ma_005_lh_ea01.spr	ma_005_lh_ea02.spr	ma_005_lh_sa01.spr	ma_005_lh_sa02.spr	ma_005_lh_la01.spr	ma_005_lh_la02.spr	ma_005_lh_da01.spr	ma_005_lh_da02.spr	ma_005_lh_em.spr	ma_005_lh_sm.spr	ma_005_lh_lm.spr	ma_005_lh_dm.spr	ma_005_lh_zz.spr	ma_005_lh_jp.spr	ma_005_lh_rs01.spr	ma_005_lh_rs01.spr	ma_005_lh_rs01.spr	ma_005_lh_rw.spr	ma_005_lh_rr.spr	ma_005_lh_ra01.spr	ma_005_lh_ra02.spr	ma_005_lh_rm.spr	ma_005_lh_rb.spr	ma_005_lh_rd.spr
armor06	ma_006_lh_es02.spr	ma_006_lh_es02.spr	ma_006_lh_es01.spr	ma_006_lh_ss02.spr	ma_006_lh_ss01.spr	ma_006_lh_ss01.spr	ma_006_lh_ls02.spr	ma_006_lh_ls01.spr	ma_006_lh_ls01.spr	ma_006_lh_ds02.spr	ma_006_lh_ds01.spr	ma_006_lh_ds01.spr	ma_006_lh_ew.spr	ma_006_lh_sw.spr	ma_006_lh_lw.spr	ma_006_lh_dw.spr	ma_006_lh_er.spr	ma_006_lh_sr.spr	ma_006_lh_lr.spr	ma_006_lh_dr.spr	ma_006_lh_eb.spr	ma_006_lh_sb.spr	ma_006_lh_lb.spr	ma_006_lh_db.spr	ma_006_lh_ed.spr	ma_006_lh_sd.spr	ma_006_lh_ld.spr	ma_006_lh_dd.spr	ma_006_lh_ea01.spr	ma_006_lh_ea02.spr	ma_006_lh_sa01.spr	ma_006_lh_sa02.spr	ma_006_lh_la01.spr	ma_006_lh_la02.spr	ma_006_lh_da01.spr	ma_006_lh_da02.spr	ma_006_lh_em.spr	ma_006_lh_sm.spr	ma_006_lh_lm.spr	ma_006_lh_dm.spr	ma_006_lh_zz.spr	ma_006_lh_jp.spr	ma_006_lh_rs01.spr	ma_006_lh_rs01.spr	ma_006_lh_rs01.spr	ma_006_lh_rw.spr	ma_006_lh_rr.spr	ma_006_lh_ra01.spr	ma_006_lh_ra02.spr	ma_006_lh_rm.spr	ma_006_lh_rb.spr	ma_006_lh_rd.spr
armor07	ma_007_lh_es02.spr	ma_007_lh_es02.spr	ma_007_lh_es01.spr	ma_007_lh_ss02.spr	ma_007_lh_ss01.spr	ma_007_lh_ss01.spr	ma_007_lh_ls02.spr	ma_007_lh_ls01.spr	ma_007_lh_ls01.spr	ma_007_lh_ds02.spr	ma_007_lh_ds01.spr	ma_007_lh_ds01.spr	ma_007_lh_ew.spr	ma_007_lh_sw.spr	ma_007_lh_lw.spr	ma_007_lh_dw.spr	ma_007_lh_er.spr	ma_007_lh_sr.spr	ma_007_lh_lr.spr	ma_007_lh_dr.spr	ma_007_lh_eb.spr	ma_007_lh_sb.spr	ma_007_lh_lb.spr	ma_007_lh_db.spr	ma_007_lh_ed.spr	ma_007_lh_sd.spr	ma_007_lh_ld.spr	ma_007_lh_dd.spr	ma_007_lh_ea01.spr	ma_007_lh_ea02.spr	ma_007_lh_sa01.spr	ma_007_lh_sa02.spr	ma_007_lh_la01.spr	ma_007_lh_la02.spr	ma_007_lh_da01.spr	ma_007_lh_da02.spr	ma_007_lh_em.spr	ma_007_lh_sm.spr	ma_007_lh_lm.spr	ma_007_lh_dm.spr	ma_007_lh_zz.spr	ma_007_lh_jp.spr	ma_007_lh_rs01.spr	ma_007_lh_rs01.spr	ma_007_lh_rs01.spr	ma_007_lh_rw.spr	ma_007_lh_rr.spr	ma_007_lh_ra01.spr	ma_007_lh_ra02.spr	ma_007_lh_rm.spr	ma_007_lh_rb.spr	ma_007_lh_rd.spr
armor08	ma_008_lh_es02.spr	ma_008_lh_es02.spr	ma_008_lh_es01.spr	ma_008_lh_ss02.spr	ma_008_lh_ss01.spr	ma_008_lh_ss01.spr	ma_008_lh_ls02.spr	ma_008_lh_ls01.spr	ma_008_lh_ls01.spr	ma_008_lh_ds02.spr	ma_008_lh_ds01.spr	ma_008_lh_ds01.spr	ma_008_lh_ew.spr	ma_008_lh_sw.spr	ma_008_lh_lw.spr	ma_008_lh_dw.spr	ma_008_lh_er.spr	ma_008_lh_sr.spr	ma_008_lh_lr.spr	ma_008_lh_dr.spr	ma_008_lh_eb.spr	ma_008_lh_sb.spr	ma_008_lh_lb.spr	ma_008_lh_db.spr	ma_008_lh_ed.spr	ma_008_lh_sd.spr	ma_008_lh_ld.spr	ma_008_lh_dd.spr	ma_008_lh_ea01.spr	ma_008_lh_ea02.spr	ma_008_lh_sa01.spr	ma_008_lh_sa02.spr	ma_008_lh_la01.spr	ma_008_lh_la02.spr	ma_008_lh_da01.spr	ma_008_lh_da02.spr	ma_008_lh_em.spr	ma_008_lh_sm.spr	ma_008_lh_lm.spr	ma_008_lh_dm.spr	ma_008_lh_zz.spr	ma_008_lh_jp.spr	ma_008_lh_rs01.spr	ma_008_lh_rs01.spr	ma_008_lh_rs01.spr	ma_008_lh_rw.spr	ma_008_lh_rr.spr	ma_008_lh_ra01.spr	ma_008_lh_ra02.spr	ma_008_lh_rm.spr	ma_008_lh_rb.spr	ma_008_lh_rd.spr
armor09	ma_009_lh_es02.spr	ma_009_lh_es02.spr	ma_009_lh_es01.spr	ma_009_lh_ss02.spr	ma_009_lh_ss01.spr	ma_009_lh_ss01.spr	ma_009_lh_ls02.spr	ma_009_lh_ls01.spr	ma_009_lh_ls01.spr	ma_009_lh_ds02.spr	ma_009_lh_ds01.spr	ma_009_lh_ds01.spr	ma_009_lh_ew.spr	ma_009_lh_sw.spr	ma_009_lh_lw.spr	ma_009_lh_dw.spr	ma_009_lh_er.spr	ma_009_lh_sr.spr	ma_009_lh_lr.spr	ma_009_lh_dr.spr	ma_009_lh_eb.spr	ma_009_lh_sb.spr	ma_009_lh_lb.spr	ma_009_lh_db.spr	ma_009_lh_ed.spr	ma_009_lh_sd.spr	ma_009_lh_ld.spr	ma_009_lh_dd.spr	ma_009_lh_ea01.spr	ma_009_lh_ea02.spr	ma_009_lh_sa01.spr	ma_009_lh_sa02.spr	ma_009_lh_la01.spr	ma_009_lh_la02.spr	ma_009_lh_da01.spr	ma_009_lh_da02.spr	ma_009_lh_em.spr	ma_009_lh_sm.spr	ma_009_lh_lm.spr	ma_009_lh_dm.spr	ma_009_lh_zz.spr	ma_009_lh_jp.spr	ma_009_lh_rs01.spr	ma_009_lh_rs01.spr	ma_009_lh_rs01.spr	ma_009_lh_rw.spr	ma_009_lh_rr.spr	ma_009_lh_ra01.spr	ma_009_lh_ra02.spr	ma_009_lh_rm.spr	ma_009_lh_rb.spr	ma_009_lh_rd.spr
