EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
armor00	ma_000_rh_es02.spr	ma_000_rh_es02.spr	ma_000_rh_es01.spr	ma_000_rh_ss02.spr	ma_000_rh_ss01.spr	ma_000_rh_ss01.spr	ma_000_rh_ls02.spr	ma_000_rh_ls01.spr	ma_000_rh_ls01.spr	ma_000_rh_ds02.spr	ma_000_rh_ds01.spr	ma_000_rh_ds01.spr	ma_000_rh_ew.spr	ma_000_rh_sw.spr	ma_000_rh_lw.spr	ma_000_rh_dw.spr	ma_000_rh_er.spr	ma_000_rh_sr.spr	ma_000_rh_lr.spr	ma_000_rh_dr.spr	ma_000_rh_eb.spr	ma_000_rh_sb.spr	ma_000_rh_lb.spr	ma_000_rh_db.spr	ma_000_rh_ed.spr	ma_000_rh_sd.spr	ma_000_rh_ld.spr	ma_000_rh_dd.spr	ma_000_rh_ea01.spr	ma_000_rh_ea02.spr	ma_000_rh_sa01.spr	ma_000_rh_sa02.spr	ma_000_rh_la01.spr	ma_000_rh_la02.spr	ma_000_rh_da01.spr	ma_000_rh_da02.spr	ma_000_rh_em.spr	ma_000_rh_sm.spr	ma_000_rh_lm.spr	ma_000_rh_dm.spr	ma_000_rh_zz.spr	ma_000_rh_jp.spr	ma_000_rh_rs01.spr	ma_000_rh_rs01.spr	ma_000_rh_rs01.spr	ma_000_rh_rw.spr	ma_000_rh_rr.spr	ma_000_rh_ra01.spr	ma_000_rh_ra02.spr	ma_000_rh_rm.spr	ma_000_rh_rb.spr	ma_000_rh_rd.spr
armor01	ma_001_rh_es02.spr	ma_001_rh_es02.spr	ma_001_rh_es01.spr	ma_001_rh_ss02.spr	ma_001_rh_ss01.spr	ma_001_rh_ss01.spr	ma_001_rh_ls02.spr	ma_001_rh_ls01.spr	ma_001_rh_ls01.spr	ma_001_rh_ds02.spr	ma_001_rh_ds01.spr	ma_001_rh_ds01.spr	ma_001_rh_ew.spr	ma_001_rh_sw.spr	ma_001_rh_lw.spr	ma_001_rh_dw.spr	ma_001_rh_er.spr	ma_001_rh_sr.spr	ma_001_rh_lr.spr	ma_001_rh_dr.spr	ma_001_rh_eb.spr	ma_001_rh_sb.spr	ma_001_rh_lb.spr	ma_001_rh_db.spr	ma_001_rh_ed.spr	ma_001_rh_sd.spr	ma_001_rh_ld.spr	ma_001_rh_dd.spr	ma_001_rh_ea01.spr	ma_001_rh_ea02.spr	ma_001_rh_sa01.spr	ma_001_rh_sa02.spr	ma_001_rh_la01.spr	ma_001_rh_la02.spr	ma_001_rh_da01.spr	ma_001_rh_da02.spr	ma_001_rh_em.spr	ma_001_rh_sm.spr	ma_001_rh_lm.spr	ma_001_rh_dm.spr	ma_001_rh_zz.spr	ma_001_rh_jp.spr	ma_001_rh_rs01.spr	ma_001_rh_rs01.spr	ma_001_rh_rs01.spr	ma_001_rh_rw.spr	ma_001_rh_rr.spr	ma_001_rh_ra01.spr	ma_001_rh_ra02.spr	ma_001_rh_rm.spr	ma_001_rh_rb.spr	ma_001_rh_rd.spr
armor02	ma_002_rh_es02.spr	ma_002_rh_es02.spr	ma_002_rh_es01.spr	ma_002_rh_ss02.spr	ma_002_rh_ss01.spr	ma_002_rh_ss01.spr	ma_002_rh_ls02.spr	ma_002_rh_ls01.spr	ma_002_rh_ls01.spr	ma_002_rh_ds02.spr	ma_002_rh_ds01.spr	ma_002_rh_ds01.spr	ma_002_rh_ew.spr	ma_002_rh_sw.spr	ma_002_rh_lw.spr	ma_002_rh_dw.spr	ma_002_rh_er.spr	ma_002_rh_sr.spr	ma_002_rh_lr.spr	ma_002_rh_dr.spr	ma_002_rh_eb.spr	ma_002_rh_sb.spr	ma_002_rh_lb.spr	ma_002_rh_db.spr	ma_002_rh_ed.spr	ma_002_rh_sd.spr	ma_002_rh_ld.spr	ma_002_rh_dd.spr	ma_002_rh_ea01.spr	ma_002_rh_ea02.spr	ma_002_rh_sa01.spr	ma_002_rh_sa02.spr	ma_002_rh_la01.spr	ma_002_rh_la02.spr	ma_002_rh_da01.spr	ma_002_rh_da02.spr	ma_002_rh_em.spr	ma_002_rh_sm.spr	ma_002_rh_lm.spr	ma_002_rh_dm.spr	ma_002_rh_zz.spr	ma_002_rh_jp.spr	ma_002_rh_rs01.spr	ma_002_rh_rs01.spr	ma_002_rh_rs01.spr	ma_002_rh_rw.spr	ma_002_rh_rr.spr	ma_002_rh_ra01.spr	ma_002_rh_ra02.spr	ma_002_rh_rm.spr	ma_002_rh_rb.spr	ma_002_rh_rd.spr
armor03	ma_003_rh_es02.spr	ma_003_rh_es02.spr	ma_003_rh_es01.spr	ma_003_rh_ss02.spr	ma_003_rh_ss01.spr	ma_003_rh_ss01.spr	ma_003_rh_ls02.spr	ma_003_rh_ls01.spr	ma_003_rh_ls01.spr	ma_003_rh_ds02.spr	ma_003_rh_ds01.spr	ma_003_rh_ds01.spr	ma_003_rh_ew.spr	ma_003_rh_sw.spr	ma_003_rh_lw.spr	ma_003_rh_dw.spr	ma_003_rh_er.spr	ma_003_rh_sr.spr	ma_003_rh_lr.spr	ma_003_rh_dr.spr	ma_003_rh_eb.spr	ma_003_rh_sb.spr	ma_003_rh_lb.spr	ma_003_rh_db.spr	ma_003_rh_ed.spr	ma_003_rh_sd.spr	ma_003_rh_ld.spr	ma_003_rh_dd.spr	ma_003_rh_ea01.spr	ma_003_rh_ea02.spr	ma_003_rh_sa01.spr	ma_003_rh_sa02.spr	ma_003_rh_la01.spr	ma_003_rh_la02.spr	ma_003_rh_da01.spr	ma_003_rh_da02.spr	ma_003_rh_em.spr	ma_003_rh_sm.spr	ma_003_rh_lm.spr	ma_003_rh_dm.spr	ma_003_rh_zz.spr	ma_003_rh_jp.spr	ma_003_rh_rs01.spr	ma_003_rh_rs01.spr	ma_003_rh_rs01.spr	ma_003_rh_rw.spr	ma_003_rh_rr.spr	ma_003_rh_ra01.spr	ma_003_rh_ra02.spr	ma_003_rh_rm.spr	ma_003_rh_rb.spr	ma_003_rh_rd.spr
armor04	ma_004_rh_es02.spr	ma_004_rh_es02.spr	ma_004_rh_es01.spr	ma_004_rh_ss02.spr	ma_004_rh_ss01.spr	ma_004_rh_ss01.spr	ma_004_rh_ls02.spr	ma_004_rh_ls01.spr	ma_004_rh_ls01.spr	ma_004_rh_ds02.spr	ma_004_rh_ds01.spr	ma_004_rh_ds01.spr	ma_004_rh_ew.spr	ma_004_rh_sw.spr	ma_004_rh_lw.spr	ma_004_rh_dw.spr	ma_004_rh_er.spr	ma_004_rh_sr.spr	ma_004_rh_lr.spr	ma_004_rh_dr.spr	ma_004_rh_eb.spr	ma_004_rh_sb.spr	ma_004_rh_lb.spr	ma_004_rh_db.spr	ma_004_rh_ed.spr	ma_004_rh_sd.spr	ma_004_rh_ld.spr	ma_004_rh_dd.spr	ma_004_rh_ea01.spr	ma_004_rh_ea02.spr	ma_004_rh_sa01.spr	ma_004_rh_sa02.spr	ma_004_rh_la01.spr	ma_004_rh_la02.spr	ma_004_rh_da01.spr	ma_004_rh_da02.spr	ma_004_rh_em.spr	ma_004_rh_sm.spr	ma_004_rh_lm.spr	ma_004_rh_dm.spr	ma_004_rh_zz.spr	ma_004_rh_jp.spr	ma_004_rh_rs01.spr	ma_004_rh_rs01.spr	ma_004_rh_rs01.spr	ma_004_rh_rw.spr	ma_004_rh_rr.spr	ma_004_rh_ra01.spr	ma_004_rh_ra02.spr	ma_004_rh_rm.spr	ma_004_rh_rb.spr	ma_004_rh_rd.spr
armor05	ma_005_rh_es02.spr	ma_005_rh_es02.spr	ma_005_rh_es01.spr	ma_005_rh_ss02.spr	ma_005_rh_ss01.spr	ma_005_rh_ss01.spr	ma_005_rh_ls02.spr	ma_005_rh_ls01.spr	ma_005_rh_ls01.spr	ma_005_rh_ds02.spr	ma_005_rh_ds01.spr	ma_005_rh_ds01.spr	ma_005_rh_ew.spr	ma_005_rh_sw.spr	ma_005_rh_lw.spr	ma_005_rh_dw.spr	ma_005_rh_er.spr	ma_005_rh_sr.spr	ma_005_rh_lr.spr	ma_005_rh_dr.spr	ma_005_rh_eb.spr	ma_005_rh_sb.spr	ma_005_rh_lb.spr	ma_005_rh_db.spr	ma_005_rh_ed.spr	ma_005_rh_sd.spr	ma_005_rh_ld.spr	ma_005_rh_dd.spr	ma_005_rh_ea01.spr	ma_005_rh_ea02.spr	ma_005_rh_sa01.spr	ma_005_rh_sa02.spr	ma_005_rh_la01.spr	ma_005_rh_la02.spr	ma_005_rh_da01.spr	ma_005_rh_da02.spr	ma_005_rh_em.spr	ma_005_rh_sm.spr	ma_005_rh_lm.spr	ma_005_rh_dm.spr	ma_005_rh_zz.spr	ma_005_rh_jp.spr	ma_005_rh_rs01.spr	ma_005_rh_rs01.spr	ma_005_rh_rs01.spr	ma_005_rh_rw.spr	ma_005_rh_rr.spr	ma_005_rh_ra01.spr	ma_005_rh_ra02.spr	ma_005_rh_rm.spr	ma_005_rh_rb.spr	ma_005_rh_rd.spr
armor06	ma_006_rh_es02.spr	ma_006_rh_es02.spr	ma_006_rh_es01.spr	ma_006_rh_ss02.spr	ma_006_rh_ss01.spr	ma_006_rh_ss01.spr	ma_006_rh_ls02.spr	ma_006_rh_ls01.spr	ma_006_rh_ls01.spr	ma_006_rh_ds02.spr	ma_006_rh_ds01.spr	ma_006_rh_ds01.spr	ma_006_rh_ew.spr	ma_006_rh_sw.spr	ma_006_rh_lw.spr	ma_006_rh_dw.spr	ma_006_rh_er.spr	ma_006_rh_sr.spr	ma_006_rh_lr.spr	ma_006_rh_dr.spr	ma_006_rh_eb.spr	ma_006_rh_sb.spr	ma_006_rh_lb.spr	ma_006_rh_db.spr	ma_006_rh_ed.spr	ma_006_rh_sd.spr	ma_006_rh_ld.spr	ma_006_rh_dd.spr	ma_006_rh_ea01.spr	ma_006_rh_ea02.spr	ma_006_rh_sa01.spr	ma_006_rh_sa02.spr	ma_006_rh_la01.spr	ma_006_rh_la02.spr	ma_006_rh_da01.spr	ma_006_rh_da02.spr	ma_006_rh_em.spr	ma_006_rh_sm.spr	ma_006_rh_lm.spr	ma_006_rh_dm.spr	ma_006_rh_zz.spr	ma_006_rh_jp.spr	ma_006_rh_rs01.spr	ma_006_rh_rs01.spr	ma_006_rh_rs01.spr	ma_006_rh_rw.spr	ma_006_rh_rr.spr	ma_006_rh_ra01.spr	ma_006_rh_ra02.spr	ma_006_rh_rm.spr	ma_006_rh_rb.spr	ma_006_rh_rd.spr
armor07	ma_007_rh_es02.spr	ma_007_rh_es02.spr	ma_007_rh_es01.spr	ma_007_rh_ss02.spr	ma_007_rh_ss01.spr	ma_007_rh_ss01.spr	ma_007_rh_ls02.spr	ma_007_rh_ls01.spr	ma_007_rh_ls01.spr	ma_007_rh_ds02.spr	ma_007_rh_ds01.spr	ma_007_rh_ds01.spr	ma_007_rh_ew.spr	ma_007_rh_sw.spr	ma_007_rh_lw.spr	ma_007_rh_dw.spr	ma_007_rh_er.spr	ma_007_rh_sr.spr	ma_007_rh_lr.spr	ma_007_rh_dr.spr	ma_007_rh_eb.spr	ma_007_rh_sb.spr	ma_007_rh_lb.spr	ma_007_rh_db.spr	ma_007_rh_ed.spr	ma_007_rh_sd.spr	ma_007_rh_ld.spr	ma_007_rh_dd.spr	ma_007_rh_ea01.spr	ma_007_rh_ea02.spr	ma_007_rh_sa01.spr	ma_007_rh_sa02.spr	ma_007_rh_la01.spr	ma_007_rh_la02.spr	ma_007_rh_da01.spr	ma_007_rh_da02.spr	ma_007_rh_em.spr	ma_007_rh_sm.spr	ma_007_rh_lm.spr	ma_007_rh_dm.spr	ma_007_rh_zz.spr	ma_007_rh_jp.spr	ma_007_rh_rs01.spr	ma_007_rh_rs01.spr	ma_007_rh_rs01.spr	ma_007_rh_rw.spr	ma_007_rh_rr.spr	ma_007_rh_ra01.spr	ma_007_rh_ra02.spr	ma_007_rh_rm.spr	ma_007_rh_rb.spr	ma_007_rh_rd.spr
armor08	ma_008_rh_es02.spr	ma_008_rh_es02.spr	ma_008_rh_es01.spr	ma_008_rh_ss02.spr	ma_008_rh_ss01.spr	ma_008_rh_ss01.spr	ma_008_rh_ls02.spr	ma_008_rh_ls01.spr	ma_008_rh_ls01.spr	ma_008_rh_ds02.spr	ma_008_rh_ds01.spr	ma_008_rh_ds01.spr	ma_008_rh_ew.spr	ma_008_rh_sw.spr	ma_008_rh_lw.spr	ma_008_rh_dw.spr	ma_008_rh_er.spr	ma_008_rh_sr.spr	ma_008_rh_lr.spr	ma_008_rh_dr.spr	ma_008_rh_eb.spr	ma_008_rh_sb.spr	ma_008_rh_lb.spr	ma_008_rh_db.spr	ma_008_rh_ed.spr	ma_008_rh_sd.spr	ma_008_rh_ld.spr	ma_008_rh_dd.spr	ma_008_rh_ea01.spr	ma_008_rh_ea02.spr	ma_008_rh_sa01.spr	ma_008_rh_sa02.spr	ma_008_rh_la01.spr	ma_008_rh_la02.spr	ma_008_rh_da01.spr	ma_008_rh_da02.spr	ma_008_rh_em.spr	ma_008_rh_sm.spr	ma_008_rh_lm.spr	ma_008_rh_dm.spr	ma_008_rh_zz.spr	ma_008_rh_jp.spr	ma_008_rh_rs01.spr	ma_008_rh_rs01.spr	ma_008_rh_rs01.spr	ma_008_rh_rw.spr	ma_008_rh_rr.spr	ma_008_rh_ra01.spr	ma_008_rh_ra02.spr	ma_008_rh_rm.spr	ma_008_rh_rb.spr	ma_008_rh_rd.spr
armor09	ma_009_rh_es02.spr	ma_009_rh_es02.spr	ma_009_rh_es01.spr	ma_009_rh_ss02.spr	ma_009_rh_ss01.spr	ma_009_rh_ss01.spr	ma_009_rh_ls02.spr	ma_009_rh_ls01.spr	ma_009_rh_ls01.spr	ma_009_rh_ds02.spr	ma_009_rh_ds01.spr	ma_009_rh_ds01.spr	ma_009_rh_ew.spr	ma_009_rh_sw.spr	ma_009_rh_lw.spr	ma_009_rh_dw.spr	ma_009_rh_er.spr	ma_009_rh_sr.spr	ma_009_rh_lr.spr	ma_009_rh_dr.spr	ma_009_rh_eb.spr	ma_009_rh_sb.spr	ma_009_rh_lb.spr	ma_009_rh_db.spr	ma_009_rh_ed.spr	ma_009_rh_sd.spr	ma_009_rh_ld.spr	ma_009_rh_dd.spr	ma_009_rh_ea01.spr	ma_009_rh_ea02.spr	ma_009_rh_sa01.spr	ma_009_rh_sa02.spr	ma_009_rh_la01.spr	ma_009_rh_la02.spr	ma_009_rh_da01.spr	ma_009_rh_da02.spr	ma_009_rh_em.spr	ma_009_rh_sm.spr	ma_009_rh_lm.spr	ma_009_rh_dm.spr	ma_009_rh_zz.spr	ma_009_rh_jp.spr	ma_009_rh_rs01.spr	ma_009_rh_rs01.spr	ma_009_rh_rs01.spr	ma_009_rh_rw.spr	ma_009_rh_rr.spr	ma_009_rh_ra01.spr	ma_009_rh_ra02.spr	ma_009_rh_rm.spr	ma_009_rh_rb.spr	ma_009_rh_rd.spr
