EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
helm00	ma_000_hd_es02.spr	ma_000_hd_es02.spr	ma_000_hd_es01.spr	ma_000_hd_ss02.spr	ma_000_hd_ss01.spr	ma_000_hd_ss01.spr	ma_000_hd_ls02.spr	ma_000_hd_ls01.spr	ma_000_hd_ls01.spr	ma_000_hd_ds02.spr	ma_000_hd_ds01.spr	ma_000_hd_ds01.spr	ma_000_hd_ew.spr	ma_000_hd_sw.spr	ma_000_hd_lw.spr	ma_000_hd_dw.spr	ma_000_hd_er.spr	ma_000_hd_sr.spr	ma_000_hd_lr.spr	ma_000_hd_dr.spr	ma_000_hd_eb.spr	ma_000_hd_sb.spr	ma_000_hd_lb.spr	ma_000_hd_db.spr	ma_000_hd_ed.spr	ma_000_hd_sd.spr	ma_000_hd_ld.spr	ma_000_hd_dd.spr	ma_000_hd_ea01.spr	ma_000_hd_ea02.spr	ma_000_hd_sa01.spr	ma_000_hd_sa02.spr	ma_000_hd_la01.spr	ma_000_hd_la02.spr	ma_000_hd_da01.spr	ma_000_hd_da02.spr	ma_000_hd_em.spr	ma_000_hd_sm.spr	ma_000_hd_lm.spr	ma_000_hd_dm.spr	ma_000_hd_zz.spr	ma_000_hd_jp.spr	ma_000_hd_rs01.spr	ma_000_hd_rs01.spr	ma_000_hd_rs01.spr	ma_000_hd_rw.spr	ma_000_hd_rr.spr	ma_000_hd_ra01.spr	ma_000_hd_ra02.spr	ma_000_hd_rm.spr	ma_000_hd_rb.spr	ma_000_hd_rd.spr
helm01	ma_001_hd_es02.spr	ma_001_hd_es02.spr	ma_001_hd_es01.spr	ma_001_hd_ss02.spr	ma_001_hd_ss01.spr	ma_001_hd_ss01.spr	ma_001_hd_ls02.spr	ma_001_hd_ls01.spr	ma_001_hd_ls01.spr	ma_001_hd_ds02.spr	ma_001_hd_ds01.spr	ma_001_hd_ds01.spr	ma_001_hd_ew.spr	ma_001_hd_sw.spr	ma_001_hd_lw.spr	ma_001_hd_dw.spr	ma_001_hd_er.spr	ma_001_hd_sr.spr	ma_001_hd_lr.spr	ma_001_hd_dr.spr	ma_001_hd_eb.spr	ma_001_hd_sb.spr	ma_001_hd_lb.spr	ma_001_hd_db.spr	ma_001_hd_ed.spr	ma_001_hd_sd.spr	ma_001_hd_ld.spr	ma_001_hd_dd.spr	ma_001_hd_ea01.spr	ma_001_hd_ea02.spr	ma_001_hd_sa01.spr	ma_001_hd_sa02.spr	ma_001_hd_la01.spr	ma_001_hd_la02.spr	ma_001_hd_da01.spr	ma_001_hd_da02.spr	ma_001_hd_em.spr	ma_001_hd_sm.spr	ma_001_hd_lm.spr	ma_001_hd_dm.spr	ma_001_hd_zz.spr	ma_001_hd_jp.spr	ma_001_hd_rs01.spr	ma_001_hd_rs01.spr	ma_001_hd_rs01.spr	ma_001_hd_rw.spr	ma_001_hd_rr.spr	ma_001_hd_ra01.spr	ma_001_hd_ra02.spr	ma_001_hd_rm.spr	ma_001_hd_rb.spr	ma_001_hd_rd.spr
helm02	ma_002_hd_es02.spr	ma_002_hd_es02.spr	ma_002_hd_es01.spr	ma_002_hd_ss02.spr	ma_002_hd_ss01.spr	ma_002_hd_ss01.spr	ma_002_hd_ls02.spr	ma_002_hd_ls01.spr	ma_002_hd_ls01.spr	ma_002_hd_ds02.spr	ma_002_hd_ds01.spr	ma_002_hd_ds01.spr	ma_002_hd_ew.spr	ma_002_hd_sw.spr	ma_002_hd_lw.spr	ma_002_hd_dw.spr	ma_002_hd_er.spr	ma_002_hd_sr.spr	ma_002_hd_lr.spr	ma_002_hd_dr.spr	ma_002_hd_eb.spr	ma_002_hd_sb.spr	ma_002_hd_lb.spr	ma_002_hd_db.spr	ma_002_hd_ed.spr	ma_002_hd_sd.spr	ma_002_hd_ld.spr	ma_002_hd_dd.spr	ma_002_hd_ea01.spr	ma_002_hd_ea02.spr	ma_002_hd_sa01.spr	ma_002_hd_sa02.spr	ma_002_hd_la01.spr	ma_002_hd_la02.spr	ma_002_hd_da01.spr	ma_002_hd_da02.spr	ma_002_hd_em.spr	ma_002_hd_sm.spr	ma_002_hd_lm.spr	ma_002_hd_dm.spr	ma_002_hd_zz.spr	ma_002_hd_jp.spr	ma_002_hd_rs01.spr	ma_002_hd_rs01.spr	ma_002_hd_rs01.spr	ma_002_hd_rw.spr	ma_002_hd_rr.spr	ma_002_hd_ra01.spr	ma_002_hd_ra02.spr	ma_002_hd_rm.spr	ma_002_hd_rb.spr	ma_002_hd_rd.spr
helm03	ma_003_hd_es02.spr	ma_003_hd_es02.spr	ma_003_hd_es01.spr	ma_003_hd_ss02.spr	ma_003_hd_ss01.spr	ma_003_hd_ss01.spr	ma_003_hd_ls02.spr	ma_003_hd_ls01.spr	ma_003_hd_ls01.spr	ma_003_hd_ds02.spr	ma_003_hd_ds01.spr	ma_003_hd_ds01.spr	ma_003_hd_ew.spr	ma_003_hd_sw.spr	ma_003_hd_lw.spr	ma_003_hd_dw.spr	ma_003_hd_er.spr	ma_003_hd_sr.spr	ma_003_hd_lr.spr	ma_003_hd_dr.spr	ma_003_hd_eb.spr	ma_003_hd_sb.spr	ma_003_hd_lb.spr	ma_003_hd_db.spr	ma_003_hd_ed.spr	ma_003_hd_sd.spr	ma_003_hd_ld.spr	ma_003_hd_dd.spr	ma_003_hd_ea01.spr	ma_003_hd_ea02.spr	ma_003_hd_sa01.spr	ma_003_hd_sa02.spr	ma_003_hd_la01.spr	ma_003_hd_la02.spr	ma_003_hd_da01.spr	ma_003_hd_da02.spr	ma_003_hd_em.spr	ma_003_hd_sm.spr	ma_003_hd_lm.spr	ma_003_hd_dm.spr	ma_003_hd_zz.spr	ma_003_hd_jp.spr	ma_003_hd_rs01.spr	ma_003_hd_rs01.spr	ma_003_hd_rs01.spr	ma_003_hd_rw.spr	ma_003_hd_rr.spr	ma_003_hd_ra01.spr	ma_003_hd_ra02.spr	ma_003_hd_rm.spr	ma_003_hd_rb.spr	ma_003_hd_rd.spr
helm04	ma_004_hd_es02.spr	ma_004_hd_es02.spr	ma_004_hd_es01.spr	ma_004_hd_ss02.spr	ma_004_hd_ss01.spr	ma_004_hd_ss01.spr	ma_004_hd_ls02.spr	ma_004_hd_ls01.spr	ma_004_hd_ls01.spr	ma_004_hd_ds02.spr	ma_004_hd_ds01.spr	ma_004_hd_ds01.spr	ma_004_hd_ew.spr	ma_004_hd_sw.spr	ma_004_hd_lw.spr	ma_004_hd_dw.spr	ma_004_hd_er.spr	ma_004_hd_sr.spr	ma_004_hd_lr.spr	ma_004_hd_dr.spr	ma_004_hd_eb.spr	ma_004_hd_sb.spr	ma_004_hd_lb.spr	ma_004_hd_db.spr	ma_004_hd_ed.spr	ma_004_hd_sd.spr	ma_004_hd_ld.spr	ma_004_hd_dd.spr	ma_004_hd_ea01.spr	ma_004_hd_ea02.spr	ma_004_hd_sa01.spr	ma_004_hd_sa02.spr	ma_004_hd_la01.spr	ma_004_hd_la02.spr	ma_004_hd_da01.spr	ma_004_hd_da02.spr	ma_004_hd_em.spr	ma_004_hd_sm.spr	ma_004_hd_lm.spr	ma_004_hd_dm.spr	ma_004_hd_zz.spr	ma_004_hd_jp.spr	ma_004_hd_rs01.spr	ma_004_hd_rs01.spr	ma_004_hd_rs01.spr	ma_004_hd_rw.spr	ma_004_hd_rr.spr	ma_004_hd_ra01.spr	ma_004_hd_ra02.spr	ma_004_hd_rm.spr	ma_004_hd_rb.spr	ma_004_hd_rd.spr
helm05	ma_005_hd_es02.spr	ma_005_hd_es02.spr	ma_005_hd_es01.spr	ma_005_hd_ss02.spr	ma_005_hd_ss01.spr	ma_005_hd_ss01.spr	ma_005_hd_ls02.spr	ma_005_hd_ls01.spr	ma_005_hd_ls01.spr	ma_005_hd_ds02.spr	ma_005_hd_ds01.spr	ma_005_hd_ds01.spr	ma_005_hd_ew.spr	ma_005_hd_sw.spr	ma_005_hd_lw.spr	ma_005_hd_dw.spr	ma_005_hd_er.spr	ma_005_hd_sr.spr	ma_005_hd_lr.spr	ma_005_hd_dr.spr	ma_005_hd_eb.spr	ma_005_hd_sb.spr	ma_005_hd_lb.spr	ma_005_hd_db.spr	ma_005_hd_ed.spr	ma_005_hd_sd.spr	ma_005_hd_ld.spr	ma_005_hd_dd.spr	ma_005_hd_ea01.spr	ma_005_hd_ea02.spr	ma_005_hd_sa01.spr	ma_005_hd_sa02.spr	ma_005_hd_la01.spr	ma_005_hd_la02.spr	ma_005_hd_da01.spr	ma_005_hd_da02.spr	ma_005_hd_em.spr	ma_005_hd_sm.spr	ma_005_hd_lm.spr	ma_005_hd_dm.spr	ma_005_hd_zz.spr	ma_005_hd_jp.spr	ma_005_hd_rs01.spr	ma_005_hd_rs01.spr	ma_005_hd_rs01.spr	ma_005_hd_rw.spr	ma_005_hd_rr.spr	ma_005_hd_ra01.spr	ma_005_hd_ra02.spr	ma_005_hd_rm.spr	ma_005_hd_rb.spr	ma_005_hd_rd.spr
helm06	ma_006_hd_es02.spr	ma_006_hd_es02.spr	ma_006_hd_es01.spr	ma_006_hd_ss02.spr	ma_006_hd_ss01.spr	ma_006_hd_ss01.spr	ma_006_hd_ls02.spr	ma_006_hd_ls01.spr	ma_006_hd_ls01.spr	ma_006_hd_ds02.spr	ma_006_hd_ds01.spr	ma_006_hd_ds01.spr	ma_006_hd_ew.spr	ma_006_hd_sw.spr	ma_006_hd_lw.spr	ma_006_hd_dw.spr	ma_006_hd_er.spr	ma_006_hd_sr.spr	ma_006_hd_lr.spr	ma_006_hd_dr.spr	ma_006_hd_eb.spr	ma_006_hd_sb.spr	ma_006_hd_lb.spr	ma_006_hd_db.spr	ma_006_hd_ed.spr	ma_006_hd_sd.spr	ma_006_hd_ld.spr	ma_006_hd_dd.spr	ma_006_hd_ea01.spr	ma_006_hd_ea02.spr	ma_006_hd_sa01.spr	ma_006_hd_sa02.spr	ma_006_hd_la01.spr	ma_006_hd_la02.spr	ma_006_hd_da01.spr	ma_006_hd_da02.spr	ma_006_hd_em.spr	ma_006_hd_sm.spr	ma_006_hd_lm.spr	ma_006_hd_dm.spr	ma_006_hd_zz.spr	ma_006_hd_jp.spr	ma_006_hd_rs01.spr	ma_006_hd_rs01.spr	ma_006_hd_rs01.spr	ma_006_hd_rw.spr	ma_006_hd_rr.spr	ma_006_hd_ra01.spr	ma_006_hd_ra02.spr	ma_006_hd_rm.spr	ma_006_hd_rb.spr	ma_006_hd_rd.spr
helm07	ma_007_hd_es02.spr	ma_007_hd_es02.spr	ma_007_hd_es01.spr	ma_007_hd_ss02.spr	ma_007_hd_ss01.spr	ma_007_hd_ss01.spr	ma_007_hd_ls02.spr	ma_007_hd_ls01.spr	ma_007_hd_ls01.spr	ma_007_hd_ds02.spr	ma_007_hd_ds01.spr	ma_007_hd_ds01.spr	ma_007_hd_ew.spr	ma_007_hd_sw.spr	ma_007_hd_lw.spr	ma_007_hd_dw.spr	ma_007_hd_er.spr	ma_007_hd_sr.spr	ma_007_hd_lr.spr	ma_007_hd_dr.spr	ma_007_hd_eb.spr	ma_007_hd_sb.spr	ma_007_hd_lb.spr	ma_007_hd_db.spr	ma_007_hd_ed.spr	ma_007_hd_sd.spr	ma_007_hd_ld.spr	ma_007_hd_dd.spr	ma_007_hd_ea01.spr	ma_007_hd_ea02.spr	ma_007_hd_sa01.spr	ma_007_hd_sa02.spr	ma_007_hd_la01.spr	ma_007_hd_la02.spr	ma_007_hd_da01.spr	ma_007_hd_da02.spr	ma_007_hd_em.spr	ma_007_hd_sm.spr	ma_007_hd_lm.spr	ma_007_hd_dm.spr	ma_007_hd_zz.spr	ma_007_hd_jp.spr	ma_007_hd_rs01.spr	ma_007_hd_rs01.spr	ma_007_hd_rs01.spr	ma_007_hd_rw.spr	ma_007_hd_rr.spr	ma_007_hd_ra01.spr	ma_007_hd_ra02.spr	ma_007_hd_rm.spr	ma_007_hd_rb.spr	ma_007_hd_rd.spr
helm08	ma_008_hd_es02.spr	ma_008_hd_es02.spr	ma_008_hd_es01.spr	ma_008_hd_ss02.spr	ma_008_hd_ss01.spr	ma_008_hd_ss01.spr	ma_008_hd_ls02.spr	ma_008_hd_ls01.spr	ma_008_hd_ls01.spr	ma_008_hd_ds02.spr	ma_008_hd_ds01.spr	ma_008_hd_ds01.spr	ma_008_hd_ew.spr	ma_008_hd_sw.spr	ma_008_hd_lw.spr	ma_008_hd_dw.spr	ma_008_hd_er.spr	ma_008_hd_sr.spr	ma_008_hd_lr.spr	ma_008_hd_dr.spr	ma_008_hd_eb.spr	ma_008_hd_sb.spr	ma_008_hd_lb.spr	ma_008_hd_db.spr	ma_008_hd_ed.spr	ma_008_hd_sd.spr	ma_008_hd_ld.spr	ma_008_hd_dd.spr	ma_008_hd_ea01.spr	ma_008_hd_ea02.spr	ma_008_hd_sa01.spr	ma_008_hd_sa02.spr	ma_008_hd_la01.spr	ma_008_hd_la02.spr	ma_008_hd_da01.spr	ma_008_hd_da02.spr	ma_008_hd_em.spr	ma_008_hd_sm.spr	ma_008_hd_lm.spr	ma_008_hd_dm.spr	ma_008_hd_zz.spr	ma_008_hd_jp.spr	ma_008_hd_rs01.spr	ma_008_hd_rs01.spr	ma_008_hd_rs01.spr	ma_008_hd_rw.spr	ma_008_hd_rr.spr	ma_008_hd_ra01.spr	ma_008_hd_ra02.spr	ma_008_hd_rm.spr	ma_008_hd_rb.spr	ma_008_hd_rd.spr
helm09	ma_009_hd_es02.spr	ma_009_hd_es02.spr	ma_009_hd_es01.spr	ma_009_hd_ss02.spr	ma_009_hd_ss01.spr	ma_009_hd_ss01.spr	ma_009_hd_ls02.spr	ma_009_hd_ls01.spr	ma_009_hd_ls01.spr	ma_009_hd_ds02.spr	ma_009_hd_ds01.spr	ma_009_hd_ds01.spr	ma_009_hd_ew.spr	ma_009_hd_sw.spr	ma_009_hd_lw.spr	ma_009_hd_dw.spr	ma_009_hd_er.spr	ma_009_hd_sr.spr	ma_009_hd_lr.spr	ma_009_hd_dr.spr	ma_009_hd_eb.spr	ma_009_hd_sb.spr	ma_009_hd_lb.spr	ma_009_hd_db.spr	ma_009_hd_ed.spr	ma_009_hd_sd.spr	ma_009_hd_ld.spr	ma_009_hd_dd.spr	ma_009_hd_ea01.spr	ma_009_hd_ea02.spr	ma_009_hd_sa01.spr	ma_009_hd_sa02.spr	ma_009_hd_la01.spr	ma_009_hd_la02.spr	ma_009_hd_da01.spr	ma_009_hd_da02.spr	ma_009_hd_em.spr	ma_009_hd_sm.spr	ma_009_hd_lm.spr	ma_009_hd_dm.spr	ma_009_hd_zz.spr	ma_009_hd_jp.spr	ma_009_hd_rs01.spr	ma_009_hd_rs01.spr	ma_009_hd_rs01.spr	ma_009_hd_rw.spr	ma_009_hd_rr.spr	ma_009_hd_ra01.spr	ma_009_hd_ra02.spr	ma_009_hd_rm.spr	ma_009_hd_rb.spr	ma_009_hd_rd.spr
