EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
mantle00																																																				
mantle01	ma_001_sd_es02.spr	ma_001_sd_es02.spr	ma_001_sd_es01.spr	ma_001_sd_ss02.spr	ma_001_sd_ss01.spr	ma_001_sd_ss01.spr	ma_001_sd_ls02.spr	ma_001_sd_ls01.spr	ma_001_sd_ls01.spr	ma_001_sd_ds02.spr	ma_001_sd_ds01.spr	ma_001_sd_ds01.spr	ma_001_sd_ew.spr	ma_001_sd_sw.spr	ma_001_sd_lw.spr	ma_001_sd_dw.spr	ma_001_sd_er.spr	ma_001_sd_sr.spr	ma_001_sd_lr.spr	ma_001_sd_dr.spr	ma_001_sd_eb.spr	ma_001_sd_sb.spr	ma_001_sd_lb.spr	ma_001_sd_db.spr	ma_001_sd_ed.spr	ma_001_sd_sd.spr	ma_001_sd_ld.spr	ma_001_sd_dd.spr	ma_001_sd_ea01.spr	ma_001_sd_ea02.spr	ma_001_sd_sa01.spr	ma_001_sd_sa02.spr	ma_001_sd_la01.spr	ma_001_sd_la02.spr	ma_001_sd_da01.spr	ma_001_sd_da02.spr	ma_001_sd_em.spr	ma_001_sd_sm.spr	ma_001_sd_lm.spr	ma_001_sd_dm.spr	ma_001_sd_zz.spr	ma_001_sd_jp.spr	ma_001_sd_rs01.spr	ma_001_sd_rs01.spr	ma_001_sd_rs01.spr	ma_001_sd_rw.spr	ma_001_sd_rr.spr	ma_001_sd_ra01.spr	ma_001_sd_ra02.spr	ma_001_sd_rm.spr	ma_001_sd_rb.spr	ma_001_sd_rd.spr
mantle02	ma_002_sd_es02.spr	ma_002_sd_es02.spr	ma_002_sd_es01.spr	ma_002_sd_ss02.spr	ma_002_sd_ss01.spr	ma_002_sd_ss01.spr	ma_002_sd_ls02.spr	ma_002_sd_ls01.spr	ma_002_sd_ls01.spr	ma_002_sd_ds02.spr	ma_002_sd_ds01.spr	ma_002_sd_ds01.spr	ma_002_sd_ew.spr	ma_002_sd_sw.spr	ma_002_sd_lw.spr	ma_002_sd_dw.spr	ma_002_sd_er.spr	ma_002_sd_sr.spr	ma_002_sd_lr.spr	ma_002_sd_dr.spr	ma_002_sd_eb.spr	ma_002_sd_sb.spr	ma_002_sd_lb.spr	ma_002_sd_db.spr	ma_002_sd_ed.spr	ma_002_sd_sd.spr	ma_002_sd_ld.spr	ma_002_sd_dd.spr	ma_002_sd_ea01.spr	ma_002_sd_ea02.spr	ma_002_sd_sa01.spr	ma_002_sd_sa02.spr	ma_002_sd_la01.spr	ma_002_sd_la02.spr	ma_002_sd_da01.spr	ma_002_sd_da02.spr	ma_002_sd_em.spr	ma_002_sd_sm.spr	ma_002_sd_lm.spr	ma_002_sd_dm.spr	ma_002_sd_zz.spr	ma_002_sd_jp.spr	ma_002_sd_rs01.spr	ma_002_sd_rs01.spr	ma_002_sd_rs01.spr	ma_002_sd_rw.spr	ma_002_sd_rr.spr	ma_002_sd_ra01.spr	ma_002_sd_ra02.spr	ma_002_sd_rm.spr	ma_002_sd_rb.spr	ma_002_sd_rd.spr
mantle03	ma_003_sd_es02.spr	ma_003_sd_es02.spr	ma_003_sd_es01.spr	ma_003_sd_ss02.spr	ma_003_sd_ss01.spr	ma_003_sd_ss01.spr	ma_003_sd_ls02.spr	ma_003_sd_ls01.spr	ma_003_sd_ls01.spr	ma_003_sd_ds02.spr	ma_003_sd_ds01.spr	ma_003_sd_ds01.spr	ma_003_sd_ew.spr	ma_003_sd_sw.spr	ma_003_sd_lw.spr	ma_003_sd_dw.spr	ma_003_sd_er.spr	ma_003_sd_sr.spr	ma_003_sd_lr.spr	ma_003_sd_dr.spr	ma_003_sd_eb.spr	ma_003_sd_sb.spr	ma_003_sd_lb.spr	ma_003_sd_db.spr	ma_003_sd_ed.spr	ma_003_sd_sd.spr	ma_003_sd_ld.spr	ma_003_sd_dd.spr	ma_003_sd_ea01.spr	ma_003_sd_ea02.spr	ma_003_sd_sa01.spr	ma_003_sd_sa02.spr	ma_003_sd_la01.spr	ma_003_sd_la02.spr	ma_003_sd_da01.spr	ma_003_sd_da02.spr	ma_003_sd_em.spr	ma_003_sd_sm.spr	ma_003_sd_lm.spr	ma_003_sd_dm.spr	ma_003_sd_zz.spr	ma_003_sd_jp.spr	ma_003_sd_rs01.spr	ma_003_sd_rs01.spr	ma_003_sd_rs01.spr	ma_003_sd_rw.spr	ma_003_sd_rr.spr	ma_003_sd_ra01.spr	ma_003_sd_ra02.spr	ma_003_sd_rm.spr	ma_003_sd_rb.spr	ma_003_sd_rd.spr
mantle04	ma_004_sd_es02.spr	ma_004_sd_es02.spr	ma_004_sd_es01.spr	ma_004_sd_ss02.spr	ma_004_sd_ss01.spr	ma_004_sd_ss01.spr	ma_004_sd_ls02.spr	ma_004_sd_ls01.spr	ma_004_sd_ls01.spr	ma_004_sd_ds02.spr	ma_004_sd_ds01.spr	ma_004_sd_ds01.spr	ma_004_sd_ew.spr	ma_004_sd_sw.spr	ma_004_sd_lw.spr	ma_004_sd_dw.spr	ma_004_sd_er.spr	ma_004_sd_sr.spr	ma_004_sd_lr.spr	ma_004_sd_dr.spr	ma_004_sd_eb.spr	ma_004_sd_sb.spr	ma_004_sd_lb.spr	ma_004_sd_db.spr	ma_004_sd_ed.spr	ma_004_sd_sd.spr	ma_004_sd_ld.spr	ma_004_sd_dd.spr	ma_004_sd_ea01.spr	ma_004_sd_ea02.spr	ma_004_sd_sa01.spr	ma_004_sd_sa02.spr	ma_004_sd_la01.spr	ma_004_sd_la02.spr	ma_004_sd_da01.spr	ma_004_sd_da02.spr	ma_004_sd_em.spr	ma_004_sd_sm.spr	ma_004_sd_lm.spr	ma_004_sd_dm.spr	ma_004_sd_zz.spr	ma_004_sd_jp.spr	ma_004_sd_rs01.spr	ma_004_sd_rs01.spr	ma_004_sd_rs01.spr	ma_004_sd_rw.spr	ma_004_sd_rr.spr	ma_004_sd_ra01.spr	ma_004_sd_ra02.spr	ma_004_sd_rm.spr	ma_004_sd_rb.spr	ma_004_sd_rd.spr
mantle05	ma_005_sd_es02.spr	ma_005_sd_es02.spr	ma_005_sd_es01.spr	ma_005_sd_ss02.spr	ma_005_sd_ss01.spr	ma_005_sd_ss01.spr	ma_005_sd_ls02.spr	ma_005_sd_ls01.spr	ma_005_sd_ls01.spr	ma_005_sd_ds02.spr	ma_005_sd_ds01.spr	ma_005_sd_ds01.spr	ma_005_sd_ew.spr	ma_005_sd_sw.spr	ma_005_sd_lw.spr	ma_005_sd_dw.spr	ma_005_sd_er.spr	ma_005_sd_sr.spr	ma_005_sd_lr.spr	ma_005_sd_dr.spr	ma_005_sd_eb.spr	ma_005_sd_sb.spr	ma_005_sd_lb.spr	ma_005_sd_db.spr	ma_005_sd_ed.spr	ma_005_sd_sd.spr	ma_005_sd_ld.spr	ma_005_sd_dd.spr	ma_005_sd_ea01.spr	ma_005_sd_ea02.spr	ma_005_sd_sa01.spr	ma_005_sd_sa02.spr	ma_005_sd_la01.spr	ma_005_sd_la02.spr	ma_005_sd_da01.spr	ma_005_sd_da02.spr	ma_005_sd_em.spr	ma_005_sd_sm.spr	ma_005_sd_lm.spr	ma_005_sd_dm.spr	ma_005_sd_zz.spr	ma_005_sd_jp.spr	ma_005_sd_rs01.spr	ma_005_sd_rs01.spr	ma_005_sd_rs01.spr	ma_005_sd_rw.spr	ma_005_sd_rr.spr	ma_005_sd_ra01.spr	ma_005_sd_ra02.spr	ma_005_sd_rm.spr	ma_005_sd_rb.spr	ma_005_sd_rd.spr
mantle06	pf_002_es02.spr	pf_002_es02.spr	pf_002_es01.spr	pf_002_ss02.spr	pf_002_ss01.spr	pf_002_ss01.spr	pf_002_ls02.spr	pf_002_ls01.spr	pf_002_ls01.spr	pf_002_ds02.spr	pf_002_ds01.spr	pf_002_ds01.spr	pf_002_ew.spr	pf_002_sw.spr	pf_002_lw.spr	pf_002_dw.spr	pf_002_er.spr	pf_002_sr.spr	pf_002_lr.spr	pf_002_dr.spr	pf_002_eb.spr	pf_002_sb.spr	pf_002_lb.spr	pf_002_db.spr	pf_002_ed.spr	pf_002_sd.spr	pf_002_ld.spr	pf_002_dd.spr	pf_002_ea01.spr	pf_002_ea02.spr	pf_002_sa01.spr	pf_002_sa02.spr	pf_002_la01.spr	pf_002_la02.spr	pf_002_da01.spr	pf_002_da02.spr	pf_002_em.spr	pf_002_sm.spr	pf_002_lm.spr	pf_002_dm.spr	pf_002_zz.spr	pf_002_jp.spr	pf_002_rs01.spr	pf_002_rs01.spr	pf_002_rs01.spr	pf_002_rw.spr	pf_002_rr.spr	pf_002_ra01.spr	pf_002_ra02.spr	pf_002_rm.spr	pf_002_rb.spr	pf_002_rd.spr
mantle07	pf_001_es02.spr	pf_001_es02.spr	pf_001_es01.spr	pf_001_ss02.spr	pf_001_ss01.spr	pf_001_ss01.spr	pf_001_ls02.spr	pf_001_ls01.spr	pf_001_ls01.spr	pf_001_ds02.spr	pf_001_ds01.spr	pf_001_ds01.spr	pf_001_ew.spr	pf_001_sw.spr	pf_001_lw.spr	pf_001_dw.spr	pf_001_er.spr	pf_001_sr.spr	pf_001_lr.spr	pf_001_dr.spr	pf_001_eb.spr	pf_001_sb.spr	pf_001_lb.spr	pf_001_db.spr	pf_001_ed.spr	pf_001_sd.spr	pf_001_ld.spr	pf_001_dd.spr	pf_001_ea01.spr	pf_001_ea02.spr	pf_001_sa01.spr	pf_001_sa02.spr	pf_001_la01.spr	pf_001_la02.spr	pf_001_da01.spr	pf_001_da02.spr	pf_001_em.spr	pf_001_sm.spr	pf_001_lm.spr	pf_001_dm.spr	pf_001_zz.spr	pf_001_jp.spr	pf_001_rs01.spr	pf_001_rs01.spr	pf_001_rs01.spr	pf_001_rw.spr	pf_001_rr.spr	pf_001_ra01.spr	pf_001_ra02.spr	pf_001_rm.spr	pf_001_rb.spr	pf_001_rd.spr
mantle08	pf_005_es02.spr	pf_005_es02.spr	pf_005_es01.spr	pf_005_ss02.spr	pf_005_ss01.spr	pf_005_ss01.spr	pf_005_ls02.spr	pf_005_ls01.spr	pf_005_ls01.spr	pf_005_ds02.spr	pf_005_ds01.spr	pf_005_ds01.spr	pf_005_ew.spr	pf_005_sw.spr	pf_005_lw.spr	pf_005_dw.spr	pf_005_er.spr	pf_005_sr.spr	pf_005_lr.spr	pf_005_dr.spr	pf_005_eb.spr	pf_005_sb.spr	pf_005_lb.spr	pf_005_db.spr	pf_005_ed.spr	pf_005_sd.spr	pf_005_ld.spr	pf_005_dd.spr	pf_005_ea01.spr	pf_005_ea02.spr	pf_005_sa01.spr	pf_005_sa02.spr	pf_005_la01.spr	pf_005_la02.spr	pf_005_da01.spr	pf_005_da02.spr	pf_005_em.spr	pf_005_sm.spr	pf_005_lm.spr	pf_005_dm.spr	pf_005_zz.spr	pf_005_jp.spr	pf_005_rs01.spr	pf_005_rs01.spr	pf_005_rs01.spr	pf_005_rw.spr	pf_005_rr.spr	pf_005_ra01.spr	pf_005_ra02.spr	pf_005_rm.spr	pf_005_rb.spr	pf_005_rd.spr
mantle09	pf009_es02.spr	pf009_es02.spr	pf009_es01.spr	pf009_ss02.spr	pf009_ss01.spr	pf009_ss01.spr	pf009_ls02.spr	pf009_ls01.spr	pf009_ls01.spr	pf009_ds02.spr	pf009_ds01.spr	pf009_ds01.spr	pf009_ew.spr	pf009_sw.spr	pf009_lw.spr	pf009_dw.spr	pf009_er.spr	pf009_sr.spr	pf009_lr.spr	pf009_dr.spr	pf009_eb.spr	pf009_sb.spr	pf009_lb.spr	pf009_db.spr	pf009_ed.spr	pf009_sd.spr	pf009_ld.spr	pf009_dd.spr	pf009_ea01.spr	pf009_ea02.spr	pf009_sa01.spr	pf009_sa02.spr	pf009_la01.spr	pf009_la02.spr	pf009_da01.spr	pf009_da02.spr	pf009_em.spr	pf009_sm.spr	pf009_lm.spr	pf009_dm.spr	pf009_zz.spr	pf009_jp.spr	pf009_rs01.spr	pf009_rs01.spr	pf009_rs01.spr	pf009_rw.spr	pf009_rr.spr	pf009_ra01.spr	pf009_ra02.spr	pf009_rm.spr	pf009_rb.spr	pf009_rd.spr
