EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
wind00																																																				
wind01	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr	l_chibang.spr
wind02	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr	wing_lv1_l.spr
wind03	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr	wing_lv2_l.spr
wind04	vipwind_01_es02.spr	vipwind_01_es02.spr	vipwind_01_es02.spr	vipwind_01_ss01.spr	vipwind_01_ss01.spr	vipwind_01_ls02.spr	vipwind_01_ls02.spr	vipwind_01_ls02.spr	vipwind_01_ls02.spr	vipwind_01_ds02.spr	vipwind_01_ds02.spr	vipwind_01_ds02.spr	vipwind_01_ew.spr	vipwind_01_sw.spr	vipwind_01_lw.spr	vipwind_01_dw.spr	vipwind_01_er.spr	vipwind_01_sr.spr	vipwind_01_lr.spr	vipwind_01_dr.spr	vipwind_01_eb.spr	vipwind_01_sb.spr	vipwind_01_lb.spr	vipwind_01_db.spr					vipwind_01_ea01.spr	vipwind_01_ea02.spr	vipwind_01_sa02.spr	vipwind_01_sa02.spr	vipwind_01_la02.spr	vipwind_01_la02.spr	vipwind_01_da01.spr	vipwind_01_da02.spr	vipwind_01_em.spr	vipwind_01_sm.spr	vipwind_01_lm.spr	vipwind_01_dm.spr	vipwind_01_zz.spr	vipwind_01_jp.spr	vipwind_01_rs01.spr	vipwind_01_rs01.spr	vipwind_01_rs01.spr	vipwind_01_rw.spr	vipwind_01_rr.spr	vipwind_01_ra01.spr	vipwind_01_ra02.spr	vipwind_01_rm.spr	vipwind_01_rb.spr	
wind05	vipwind_01_es02.spr	vipwind_01_es02.spr	vipwind_01_es01.spr	vipwind_01_ss02.spr	vipwind_01_ss01.spr	vipwind_01_ss01.spr	vipwind_01_ls02.spr	vipwind_01_ls01.spr	vipwind_01_ls01.spr	vipwind_01_ds02.spr	vipwind_01_ds01.spr	vipwind_01_ds01.spr	vipwind_01_ew.spr	vipwind_01_sw.spr	vipwind_01_lw.spr	vipwind_01_dw.spr	vipwind_01_er.spr	vipwind_01_sr.spr	vipwind_01_lr.spr	vipwind_01_dr.spr	vipwind_01_eb.spr	vipwind_01_sb.spr	vipwind_01_lb.spr	vipwind_01_db.spr	vipwind_01_ed.spr	vipwind_01_sd.spr	vipwind_01_ld.spr	vipwind_01_dd.spr	vipwind_01_ea01.spr	vipwind_01_ea02.spr	vipwind_01_sa01.spr	vipwind_01_sa02.spr	vipwind_01_la01.spr	vipwind_01_la02.spr	vipwind_01_da01.spr	vipwind_01_da02.spr	vipwind_01_em.spr	vipwind_01_sm.spr	vipwind_01_lm.spr	vipwind_01_dm.spr	vipwind_01_zz.spr	vipwind_01_jp.spr	vipwind_01_rs01.spr	vipwind_01_rs01.spr	vipwind_01_rs01.spr	vipwind_01_rw.spr	vipwind_01_rr.spr	vipwind_01_ra01.spr	vipwind_01_ra02.spr	vipwind_01_rm.spr	vipwind_01_rb.spr	vipwind_01_rd.spr
wind06	ma_es02.spr	ma_es02.spr	ma_es01.spr	ma_ss02.spr	ma_ss01.spr	ma_ss01.spr	ma_ls02.spr	ma_ls01.spr	ma_ls01.spr	ma_ds02.spr	ma_ds01.spr	ma_ds01.spr	ma_ew.spr	ma_sw.spr	ma_lw.spr	ma_dw.spr	ma_er.spr	ma_sr.spr	ma_lr.spr	ma_dr.spr	ma_eb.spr	ma_sb.spr	ma_lb.spr	ma_db.spr	ma_ed.spr	ma_sd.spr	ma_ld.spr	ma_dd.spr	ma_ea01.spr	ma_ea02.spr	ma_sa01.spr	ma_sa02.spr	ma_la01.spr	ma_la02.spr	ma_da01.spr	ma_da02.spr	ma_em.spr	ma_sm.spr	ma_lm.spr	ma_dm.spr	ma_zz.spr	ma_jp.spr	ma_rs01.spr	ma_rs01.spr	ma_rs01.spr	ma_rw.spr	ma_rr.spr	ma_ra01.spr	ma_ra02.spr	ma_rm.spr	ma_rb.spr	ma_rd.spr
wind07	2021vip01_es02.spr	2021vip01_es02.spr	2021vip01_es01.spr	2021vip01_ss02.spr	2021vip01_ss01.spr	2021vip01_ss01.spr	2021vip01_ls02.spr	2021vip01_ls01.spr	2021vip01_ls01.spr	2021vip01_ds02.spr	2021vip01_ds01.spr	2021vip01_ds01.spr	2021vip01_ew.spr	2021vip01_sw.spr	2021vip01_lw.spr	2021vip01_dw.spr	2021vip01_er.spr	2021vip01_sr.spr	2021vip01_lr.spr	2021vip01_dr.spr	2021vip01_eb.spr	2021vip01_sb.spr	2021vip01_lb.spr	2021vip01_db.spr	2021vip01_ed.spr	2021vip01_sd.spr	2021vip01_ld.spr	2021vip01_dd.spr	2021vip01_ea01.spr	2021vip01_ea02.spr	2021vip01_sa01.spr	2021vip01_sa02.spr	2021vip01_la01.spr	2021vip01_la02.spr	2021vip01_da01.spr	2021vip01_da02.spr	2021vip01_em.spr	2021vip01_sm.spr	2021vip01_lm.spr	2021vip01_dm.spr	2021vip01_zz.spr	2021vip01_jp.spr	2021vip01_rs01.spr	2021vip01_rs01.spr	2021vip01_rs01.spr	2021vip01_rw.spr	2021vip01_rr.spr	2021vip01_ra01.spr	2021vip01_ra02.spr	2021vip01_rm.spr	2021vip01_rb.spr	2021vip01_rd.spr
wind08	2022wlls_male_es02.spr	2022wlls_male_es02.spr	2022wlls_male_es01.spr	2022wlls_male_ss02.spr	2022wlls_male_ss01.spr	2022wlls_male_ss01.spr	2022wlls_male_ls02.spr	2022wlls_male_ls01.spr	2022wlls_male_ls01.spr	2022wlls_male_ds02.spr	2022wlls_male_ds01.spr	2022wlls_male_ds01.spr	2022wlls_male_ew.spr	2022wlls_male_sw.spr	2022wlls_male_lw.spr	2022wlls_male_dw.spr	2022wlls_male_er.spr	2022wlls_male_sr.spr	2022wlls_male_lr.spr	2022wlls_male_dr.spr	2022wlls_male_eb.spr	2022wlls_male_sb.spr	2022wlls_male_lb.spr	2022wlls_male_db.spr	2022wlls_male_ed.spr	2022wlls_male_sd.spr	2022wlls_male_ld.spr	2022wlls_male_dd.spr	2022wlls_male_ea01.spr	2022wlls_male_ea02.spr	2022wlls_male_sa01.spr	2022wlls_male_sa02.spr	2022wlls_male_la01.spr	2022wlls_male_la02.spr	2022wlls_male_da01.spr	2022wlls_male_da02.spr	2022wlls_male_em.spr	2022wlls_male_sm.spr	2022wlls_male_lm.spr	2022wlls_male_dm.spr	2022wlls_male_zz.spr	2022wlls_male_jp.spr	2022wlls_male_rs01.spr	2022wlls_male_rs01.spr	2022wlls_male_rs01.spr	2022wlls_male_rw.spr	2022wlls_male_rr.spr	2022wlls_male_ra01.spr	2022wlls_male_ra02.spr	2022wlls_male_rm.spr	2022wlls_male_rb.spr	2022wlls_male_rd.spr
wind09	2022topfight_male_es02.spr	2022topfight_male_es02.spr	2022topfight_male_es01.spr	2022topfight_male_ss02.spr	2022topfight_male_ss01.spr	2022topfight_male_ss01.spr	2022topfight_male_ls02.spr	2022topfight_male_ls01.spr	2022topfight_male_ls01.spr	2022topfight_male_ds02.spr	2022topfight_male_ds01.spr	2022topfight_male_ds01.spr	2022topfight_male_ew.spr	2022topfight_male_sw.spr	2022topfight_male_lw.spr	2022topfight_male_dw.spr	2022topfight_male_er.spr	2022topfight_male_sr.spr	2022topfight_male_lr.spr	2022topfight_male_dr.spr	2022topfight_male_eb.spr	2022topfight_male_sb.spr	2022topfight_male_lb.spr	2022topfight_male_db.spr	2022topfight_male_ed.spr	2022topfight_male_sd.spr	2022topfight_male_ld.spr	2022topfight_male_dd.spr	2022topfight_male_ea01.spr	2022topfight_male_ea02.spr	2022topfight_male_sa01.spr	2022topfight_male_sa02.spr	2022topfight_male_la01.spr	2022topfight_male_la02.spr	2022topfight_male_da01.spr	2022topfight_male_da02.spr	2022topfight_male_em.spr	2022topfight_male_sm.spr	2022topfight_male_lm.spr	2022topfight_male_dm.spr	2022topfight_male_zz.spr	2022topfight_male_jp.spr	2022topfight_male_rs01.spr	2022topfight_male_rs01.spr	2022topfight_male_rs01.spr	2022topfight_male_rw.spr	2022topfight_male_rr.spr	2022topfight_male_ra01.spr	2022topfight_male_ra02.spr	2022topfight_male_rm.spr	2022topfight_male_rb.spr	2022topfight_male_rd.spr
