EqType	FightStand	NormalStand1	NormalStand2	FightWalk	NormalWalk	FightRun	NormalRun	Wound	Die	Attack1	Attack2	Magic	SitDown	JunpFly
kongshou	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoujian01	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoujian02	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoujian03	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoujian04	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoujian05	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoujian06	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoudao01	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoudao02	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoudao03	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoudao04	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoudao05	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoudao06	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changqiang01	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changqiang02	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changqiang03	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changqiang04	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changqiang05	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changqiang06	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changgun01	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changgun02	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changgun03	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changgun04	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changgun05	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changgun06	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
shuangchui01	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
shuangchui02	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
shuangchui03	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
shuangchui04	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
shuangchui05	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
shuangchui06	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
chanshou	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
anqi	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideMagic	RideMagic	RideMagic		
Null	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
meigui01	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
meigui02	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoujian07	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoujian08	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoudao07	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
danshoudao08	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
shuangchui07	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
shuangchui08	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
changgun07	RideFightStand	RideNormalStand	RideSepcialStand	RideWalk	RideWalk	RideRun	RideRun	RideWound	RideDie	RideCut	RidePuncture	RideMagic		
