Name	Id	Genre	DetailType	ParticularType	Level	Series	Bind	ReputeCamp	ReputeClass	ReputeLevel	OfficialLevel	TradeLog	honor	timeout	tongfund	tongenergy	fightpowerrank	goodsindex	goodsprice	valuecoinindex	valuecoinprice
Triền Thủ	1	1	1	1	1	1															
Triền Thủ	2	1	1	1	2	1															
Triền Thủ	3	1	1	1	3	1															
Triền Thủ	4	1	1	1	4	1															
Triền Thủ	5	1	1	1	5	1															
Triền Thủ	6	1	1	1	1	2															
Triền Thủ	7	1	1	1	2	2															
Triền Thủ	8	1	1	1	3	2															
Triền Thủ	9	1	1	1	4	2															
Triền Thủ	10	1	1	1	5	2															
Triền Thủ	11	1	1	1	1	3															
Triền Thủ	12	1	1	1	2	3															
Triền Thủ	13	1	1	1	3	3															
Triền Thủ	14	1	1	1	4	3															
Triền Thủ	15	1	1	1	5	3															
Triền Thủ	16	1	1	1	1	4															
Triền Thủ	17	1	1	1	2	4															
Triền Thủ	18	1	1	1	3	4															
Triền Thủ	19	1	1	1	4	4															
Triền Thủ	20	1	1	1	5	4															
Triền Thủ	21	1	1	1	1	5															
Triền Thủ	22	1	1	1	2	5															
Triền Thủ	23	1	1	1	3	5															
Triền Thủ	24	1	1	1	4	5															
Triền Thủ	25	1	1	1	5	5															
Kiếm	26	1	1	2	1	1															
Kiếm	27	1	1	2	2	1															
Kiếm	28	1	1	2	3	1															
Kiếm	29	1	1	2	4	1															
Kiếm	30	1	1	2	5	1															
Kiếm	31	1	1	2	1	2															
Kiếm	32	1	1	2	2	2															
Kiếm	33	1	1	2	3	2															
Kiếm	34	1	1	2	4	2															
Kiếm	35	1	1	2	5	2															
Kiếm	36	1	1	2	1	3															
Kiếm	37	1	1	2	2	3															
Kiếm	38	1	1	2	3	3															
Kiếm	39	1	1	2	4	3															
Kiếm	40	1	1	2	5	3															
Kiếm	41	1	1	2	1	4															
Kiếm	42	1	1	2	2	4															
Kiếm	43	1	1	2	3	4															
Kiếm	44	1	1	2	4	4															
Kiếm	45	1	1	2	5	4															
Kiếm	46	1	1	2	1	5															
Kiếm	47	1	1	2	2	5															
Kiếm	48	1	1	2	3	5															
Kiếm	49	1	1	2	4	5															
Kiếm	50	1	1	2	5	5															
Đao	51	1	1	3	1	1															
Đao	52	1	1	3	2	1															
Đao	53	1	1	3	3	1															
Đao	54	1	1	3	4	1															
Đao	55	1	1	3	5	1															
Đao	56	1	1	3	1	2															
Đao	57	1	1	3	2	2															
Đao	58	1	1	3	3	2															
