MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	Ghi chú
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Vân Trung Trấn
2	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	Long Môn Trấn
3	1	1	1	2	3	3	7	4	7	7	7	7	7	7	7	7	Vĩnh Lạc Trấn
4	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Đạo Hương Thôn
5	1	2	3	3	5	5	5	1	5	5	5	5	5	5	5	5	Giang Tân Thôn
6	1	2	3	3	3	6	6	2	6	6	6	6	6	6	6	6	Thạch Cổ Trấn
7	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Long Tuyền Thôn
8	1	2	2	4	5	5	7	4	7	7	7	7	7	7	8	8	Ba Lăng Huyện
9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9	9	Thiếu Lâm Phái
10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9	9	Thiên Nhẫn Giáo
11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	Tát Mãn Giáo
12	1	1	1	1	2	2	2	1	2	2	2	2	2	2	10	10	Côn Lôn Phái
13	1	1	1	1	2	2	2	2	2	2	2	2	2	2	10	10	Tây Hạ Nhất Phẩm Đường
14	1	1	1	2	3	3	3	1	3	3	3	3	3	3	10	10	Võ Đang Phái
15	1	1	2	2	4	4	4	1	4	4	4	4	4	4	11	11	Cái Bang
16	1	2	3	3	5	5	5	1	5	5	5	5	5	5	11	11	Nga My Phái
17	1	2	3	3	3	6	6	1	6	6	6	6	6	6	12	12	Thúy Yên Môn
18	1	2	3	3	3	6	6	1	6	6	6	6	6	6	12	12	Đường Môn
19	1	2	3	3	3	6	2	1	2	2	2	2	2	2	13	13	Đại Lý Đoàn Thị
20	1	2	2	4	2	4	3	1	3	3	3	3	3	3	13	13	Ngũ Độc Giáo
21	1	2	2	4	2	4	3	3	3	3	3	3	3	3	13	13	Trường Ca Môn
22	1	2	2	4	5	5	7	1	7	7	7	7	7	7	13	13	Thiên Vương Bang
23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Biện Kinh Phủ
24	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	Phượng Tường Phủ
25	1	1	1	2	3	3	7	4	7	7	7	7	7	7	7	7	Tương Dương Phủ
26	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Dương Châu Phủ
27	1	2	3	3	5	5	5	1	5	5	5	5	5	5	5	5	Thành Đô Phủ
29	1	2	3	3	3	6	6	1	6	6	6	6	6	6	6	6	Lâm An Phủ
28	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Đại Lý Phủ
30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Chiến Trường Cổ
31	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Quán Trọ Long Môn
32	1	1	1	2	3	3	7	4	7	7	7	7	7	7	7	7	Quân Mã Trường
33	1	1	2	2	4	4	4	4	4	4	4	4	4	4	1	1	Mai Hoa Lĩnh
34	1	2	3	3	5	5	5	1	5	5	5	5	5	5	2	2	Trường Giang Hà Cốc
35	1	2	3	3	3	6	6	2	6	6	6	6	6	6	14	14	Thị trấn Bạch Tộc
36	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Nhạn Đãng Long Thu
37	1	2	2	4	5	5	7	4	7	7	7	7	7	7	7	7	Bờ Hồ Động Đình
38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Trấn Đông Mộ Viên
39	1	1	1	1	2	2	2	2	2	2	2	2	2	2	15	16	Kỳ Liên Sơn
40	1	1	1	2	3	3	7	4	7	7	7	7	7	7	14	14	Đồng Quan
41	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Hoài Thủy Sa Châu
42	1	2	3	3	5	5	5	1	5	5	5	5	5	5	5	5	Thục Nam Trúc Hải
43	1	2	3	3	3	6	6	2	6	6	6	6	6	6	6	6	Trà Mã Cổ Đạo
44	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Phường Đúc Kiếm
45	1	2	2	4	5	5	7	4	7	7	7	7	7	7	7	7	Nhạc Dương Lâu
46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	8	Cấm Địa Hậu Sơn
47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	8	Cấm Địa Thiên Nhẫn
48	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	9	Kiến Tính Phong
49	1	1	1	2	3	3	3	3	3	3	3	3	3	3	10	10	Thiên Trụ Phong
50	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	11	Cô Tô Thủy Tạ
51	1	2	3	3	5	5	5	1	5	5	5	5	5	5	12	12	Cửu Lão Phong
52	1	2	3	3	3	6	6	2	6	6	6	6	6	6	13	13	Bách Hoa Cốc
53	1	2	3	3	3	6	6	2	6	6	6	6	6	6	13	13	Hồ Phỉ Thúy
54	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	10	Bộ Lạc Nam Di
55	1	2	2	4	5	5	6	2	6	6	6	6	6	6	12	9	Thanh Loa Đảo
56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Đông Tháp Lâm
57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoàng Lăng Kim Quốc 1
58	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mê Cung Băng Huyệt 1
59	1	1	1	2	3	3	2	2	2	2	2	2	2	2	2	2	Đông Long Hổ Huyễn Cảnh
60	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Ngoài Yến Tử Ổ
61	1	2	3	3	5	5	5	1	5	5	5	5	5	5	5	5	Cửu Lão Động 1
62	1	2	3	3	3	6	6	2	6	6	6	6	6	6	6	6	Ngoài Bách Hoa Trận
63	1	2	3	3	3	6	6	2	6	6	6	6	6	6	6	6	Đông Bờ Hồ Trúc Lâm
64	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Đông Rừng Nguyên Sinh
65	1	2	2	4	5	5	7	4	7	7	7	7	7	7	7	7	Đông Nam Lư Vĩ Đãng
66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Tây Tháp Lâm
67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Hoàng Lăng Kim Quốc 2
68	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Mê Cung Băng Huyệt 2
69	1	1	1	2	3	3	2	2	2	2	2	2	2	2	9	2	Tây Long Hổ Huyễn Cảnh
70	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	3	Giữa Yến Tử Ổ
71	1	2	3	3	5	5	5	1	5	5	5	5	5	5	12	5	Cửu Lão Động 2
72	1	2	3	3	3	6	6	2	6	6	6	6	6	6	13	6	Trong Bách Hoa Trận
73	1	2	3	3	3	6	6	2	6	6	6	6	6	6	13	6	Tây Bờ Hồ Trúc Lâm
74	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	3	Tây Rừng Nguyên Sinh
75	1	2	2	4	5	5	5	1	5	5	5	5	5	5	12	5	Tây Bắc Lư Vĩ Đãng
76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Giữa Tháp Lâm
77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoàng Lăng Kim Quốc 3
78	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mê Cung Băng Huyệt 3
79	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Giữa Long Hổ Huyễn Cảnh
80	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Trong Yến Tử Ổ
81	1	2	3	3	5	5	5	1	5	5	5	5	5	5	5	5	Cửu Lão Động 3
82	1	2	3	3	3	6	6	2	6	6	6	6	6	6	6	6	Giữa Bách Hoa Trận
83	1	2	3	3	3	6	6	2	6	6	6	6	6	6	6	6	Giữa Bờ Hồ Trúc Lâm
84	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Giữa Rừng Nguyên Sinh
85	1	2	2	4	5	5	7	4	7	7	7	7	7	7	7	7	Trung Lư Vĩ Đãng
86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Thái Hành Cổ Kính
87	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	2	Đại Tán Quan
88	1	1	1	2	1	3	7	4	7	7	7	7	7	7	8	7	Hán Thủy Cổ Độ
89	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	4	Hàn Sơn Cổ Sát
90	1	2	3	3	5	5	5	1	5	5	5	5	5	5	11	5	Cán Hoa Khê
91	1	2	3	3	3	6	6	2	6	6	6	6	6	6	13	6	Nhĩ Hải Ma Nham
92	1	2	2	4	2	4	3	3	3	3	3	3	3	3	9	3	Thái Thạch Cơ
93	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	Dược Vương Động
94	1	1	1	1	2	2	2	1	2	2	2	2	2	2	9	2	Cư Diên Trạch
95	1	1	1	2	3	3	7	4	7	7	7	7	7	7	7	7	Phục Ngưu Sơn
96	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Hổ Khâu Kiếm Trì
97	1	2	3	3	5	5	5	1	5	5	5	5	5	5	5	5	Hưởng Thủy Động
98	1	2	3	3	3	6	6	2	6	6	6	6	6	6	6	6	Điểm Thương Sơn
99	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Bành Lãi Cổ Trạch
100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phong Lăng Độ
101	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mê Cung Sa Mạc
102	1	1	1	2	3	3	7	4	7	7	7	7	7	7	3	3	Kê Quán Động
103	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	11	Thục Cương Sơn
104	1	2	3	3	5	5	5	1	5	5	5	5	5	5	12	12	Kiếm Các Thục Đạo
105	1	2	3	3	3	6	6	2	6	6	6	6	6	6	13	13	Hoàng Lăng Đoàn Thị
106	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	10	Cửu Nghi Khê
107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	8	Long Môn Thạch Quật
108	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	9	Hoàng Lăng Tây Hạ
109	1	1	1	2	3	3	7	4	7	7	7	7	7	7	6	6	Hoàng Hạc Lâu
110	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Tiến Cúc Động
111	1	2	3	3	5	5	5	1	5	5	5	5	5	5	9	9	Kiếm Môn Quan
112	1	2	3	3	3	6	6	2	6	6	6	6	6	6	6	6	Thiên Long Tự
113	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	10	Bang Nguyên Bí Động
114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	8	Sắc Lặc Xuyên
115	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	9	Gia Dụ Quan
116	1	1	1	2	3	3	7	4	7	7	7	7	7	7	5	5	Hoa Sơn
117	1	1	2	2	4	4	4	4	4	4	4	4	4	4	11	11	Thục Cương Bí Cảnh
118	1	2	3	3	5	5	5	1	5	5	5	5	5	5	12	12	Phong Đô Quỷ Thành
119	1	2	3	3	3	6	6	2	6	6	6	6	6	6	13	13	Miêu Lĩnh
120	1	2	2	4	2	4	3	3	3	3	3	3	3	3	10	10	Vũ Di Sơn
121	1	2	2	4	5	5	7	4	7	7	7	7	7	7	8	8	Vũ Lăng Sơn
122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Mạc Bắc Thảo Nguyên
123	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Đôn Hoàng Cổ Thành
124	1	1	1	2	3	3	7	4	7	7	7	7	7	7	7	7	Hoạt Tử Nhân Mộ
125	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Đại Vũ Đài
126	1	2	3	3	5	5	5	1	5	5	5	5	5	5	5	5	Tam Hiệp Sạn Đạo
127	1	2	3	3	3	6	6	2	6	6	6	6	6	6	6	6	Xi Vưu Động
128	1	2	2	4	2	4	3	3	3	3	3	3	3	3	13	13	Tỏa Vân Uyên
129	1	2	2	4	5	5	7	4	7	7	7	7	7	7	15	16	Phục Lưu Động
130	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	8	Mông Cổ Vương Đình
131	1	1	1	1	2	2	2	2	2	2	2	2	2	2	9	9	Nguyệt Nha Tuyền
132	1	1	1	2	3	3	7	4	7	7	7	7	7	7	7	7	Tàn Tích Cung A Phòng
133	1	1	2	2	4	4	4	1	4	4	4	4	4	4	11	11	Lương Sơn Bạc
134	1	2	3	3	5	5	5	1	5	5	5	5	5	5	13	13	Thần Nữ Phong
135	1	2	3	3	3	6	6	2	6	6	6	6	6	6	13	13	Tàn Tích Dạ Lang
136	1	2	2	4	2	4	3	1	3	3	3	3	3	3	14	14	Cổ Lãng Dữ
137	1	2	2	4	5	5	7	4	7	7	7	7	7	7	14	14	Đào Hoa Nguyên
138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Vân Trung Trấn_Trong
139	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Long Môn Trấn_Trong
140	1	1	1	2	3	3	7	4	7	7	7	7	7	7	7	7	Vĩnh Lạc Trấn_Trong
141	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Đạo Hương Thôn_Trong
142	1	2	3	3	5	5	5	1	5	5	5	5	5	5	5	5	Giang Tân Thôn_Trong
143	1	2	3	3	3	6	6	2	6	6	6	6	6	6	6	6	Giang Tân Thôn_Trong
144	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Long Tuyền Thôn_Trong
145	1	2	2	4	5	5	7	4	7	7	7	7	7	7	7	7	Ba Lăng Huyện_Trong
146	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiếu Lâm Phái_Trong
147	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiên Nhẫn Giáo_Trong
148	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tát Mãn Giáo_Trong
149	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Côn Lôn Phái_Trong
150	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Tây Hạ Nhất Phẩm Đường_Trong
151	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Võ Đang Phái_Trong
152	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Cái Bang_Trong
153	1	2	3	3	5	5	5	1	5	5	5	5	5	5	5	5	Nga My Phái_Trong
154	1	2	3	3	3	6	6	2	6	6	6	6	6	6	6	6	Thúy Yên Môn_Trong
155	1	2	3	3	3	6	6	2	6	6	6	6	6	6	6	6	Đường Môn_Trong
156	1	2	3	3	3	6	2	2	2	2	2	2	2	2	2	2	Đại Lý Đoàn Thị_Trong
157	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Ngũ Độc Giáo_Trong
158	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Trường Ca Môn_Trong
159	1	2	2	4	5	5	7	4	7	7	7	7	7	7	7	7	Thiên Vương Bang_Trong
160	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Biện Kinh Phủ_Trong
161	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	Phượng Tường Phủ_Trong
162	1	1	1	2	3	3	7	4	7	7	7	7	7	7	7	7	Tương Dương Phủ_Trong
163	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Dương Châu Phủ_Trong
164	1	2	3	3	5	5	5	1	5	5	5	5	5	5	5	5	Thành Đô Phủ_Trong
165	1	2	3	3	3	6	6	2	6	6	6	6	6	6	6	6	Đại Lý Phủ_Trong
166	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Lâm An Phủ_Trong
181	1	1	1	1	4	4	4	4	4	4	4	4	4	4	11	11	Báo Danh Chiến Trường_Mông Cổ (Dương Châu 1)
182	1	2	2	2	2	1	2	1	2	2	2	2	2	2	9	9	Báo Danh Chiến Trường_Mông Cổ (Phượng Tường 1)
183	1	2	3	3	5	6	7	4	7	7	7	7	7	7	14	14	Báo Danh Chiến Trường_Mông Cổ (Tương Dương 1)
184	1	1	1	1	4	4	4	4	4	4	4	4	4	4	11	11	Báo Danh Chiến Trường_Tây Hạ (Dương Châu 1)
185	1	2	2	2	2	1	2	1	2	2	2	2	2	2	9	9	Báo Danh Chiến Trường_Tây Hạ (Phượng Tường 1)
186	1	2	3	3	5	6	7	4	7	7	7	7	7	7	14	14	Báo Danh Chiến Trường_Tây Hạ (Tương Dương 1)
